종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
139050,BF랩스,"-","0","0.00","0","24,247,965,555"
418620,E8,"1,328","-18","1.34","279,515,953","26,361,433,456"
214270,FSN,"1,845","25","1.37","340,947,527","80,609,819,355"
046440,KG모빌리언스,"5,480","180","3.40","1,836,623,610","208,299,194,960"
035600,KG이니시스,"11,800","400","3.51","3,431,323,805","325,142,321,200"
418470,KT밀리의서재,"13,790","470","3.53","355,078,670","118,122,230,310"
322180,LS티라유텍,"9,770","300","3.17","5,134,297,230","204,407,783,680"
086960,MDS테크,"1,474","54","3.80","4,091,887,905","149,844,687,960"
104200,NHN벅스,"6,340","240","3.93","1,324,845,960","94,006,667,000"
184230,SGA솔루션즈,"611","17","2.86","119,576,350","54,242,742,723"
357880,SKAI,"1,549","-25","1.59","797,951,030","72,646,578,882"
067160,SOOP,"72,000","1,700","2.42","4,374,640,000","827,623,224,000"
089230,THE E&M,"1,272","2","0.16","908,996,062","38,812,476,216"
079940,가비아,"33,950","1,250","3.82","714,731,250","455,632,221,800"
094480,갤럭시아머니트리,"11,650","430","3.83","11,563,884,365","457,027,612,700"
215000,골프존,"60,000","1,900","3.27","1,806,630,800","376,524,900,000"
242040,나무기술,"2,650","285","12.05","32,084,448,098","91,706,599,600"
094860,네오리진,"1,369","29","2.16","466,896,980","34,375,609,166"
095660,네오위즈,"28,750","650","2.31","4,217,549,925","628,383,460,000"
042420,네오위즈홀딩스,"27,900","550","2.01","311,898,225","233,419,295,700"
153460,네이블,"7,340","240","3.38","1,400,098,640","47,930,302,760"
225570,넥슨게임즈,"12,750","190","1.51","11,120,971,340","839,717,218,500"
205500,넥써쓰,"2,320","-20","0.85","980,454,216","142,012,508,160"
217270,넵튠,"5,030","-20","0.40","561,975,195","235,080,284,290"
486990,노타,"40,550","-1,300","3.11","44,906,409,850","864,689,416,500"
040160,누리플렉스,"4,080","160","4.08","287,359,922","49,186,582,800"
380550,뉴로핏,"35,150","-1,550","4.22","104,797,224,800","409,026,595,450"
463020,뉴엔AI,"16,040","520","3.35","1,416,894,720","142,422,368,000"
064260,다날,"9,620","550","6.06","221,896,278,740","723,226,587,980"
208860,다산디엠씨,"1,948","449","29.95","6,312,178,895","66,134,547,404"
020180,대신정보통신,"998","9","0.91","179,351,139","38,352,057,170"
194480,데브시스터즈,"37,600","1,800","5.03","2,864,976,500","456,056,040,000"
030350,드래곤플라이,"-","0","0.00","0","15,171,092,867"
203650,드림시큐리티,"1,704","5","0.29","788,563,528","162,958,366,176"
376300,디어유,"36,800","1,450","4.10","3,693,281,900","873,573,340,800"
