종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
056730,CNT85,"550","-9","1.61","24,949,958","40,761,152,300"
021320,KCC건설,"5,520","260","4.94","261,634,515","118,128,000,000"
044180,KD,"337","7","2.12","929,262,323","9,003,898,263"
060370,LS마린솔루션,"30,350","800","2.71","7,842,671,075","1,585,449,218,900"
016250,SGC E&C,"14,970","-30","0.20","583,536,350","75,403,680,420"
066620,국보디자인,"22,150","950","4.48","425,345,850","166,125,000,000"
282720,금양그린파워,"10,400","220","2.16","288,356,095","126,042,800,000"
036190,금화피에스시,"32,550","500","1.56","283,201,275","195,300,000,000"
091590,남화토건,"3,615","15","0.42","42,653,300","42,440,100,000"
389260,대명에너지,"17,100","340","2.03","694,359,350","306,369,157,500"
007680,대원,"3,950","5","0.13","37,897,250","53,113,572,300"
025950,동신건설,"18,740","250","1.35","1,841,158,410","157,416,000,000"
013120,동원개발,"2,955","40","1.37","499,422,062","268,337,935,500"
206400,베노티앤알,"1,586","-6","0.38","165,302,967","59,491,110,588"
002290,삼일기업공사,"3,755","-10","0.27","150,368,600","46,562,000,000"
042940,상지건설,"10,810","200","1.89","4,558,515,120","73,818,376,720"
011370,서한,"893","4","0.45","174,574,171","90,099,114,445"
035890,서희건설,"-","0","0.00","0","372,979,125,711"
011560,세보엠이씨,"15,110","580","3.99","547,749,760","159,108,300,000"
036630,세종텔레콤,"8,800","30","0.34","128,110,310","88,000,000,000"
017000,신원종합개발,"3,280","90","2.82","447,517,350","38,271,128,560"
054940,엑사이엔씨,"653","6","0.93","35,717,659","21,662,326,844"
046940,우원개발,"4,245","115","2.78","3,616,700,701","76,725,615,750"
076080,웰크론한텍,"1,328","53","4.16","215,969,795","30,005,039,168"
001840,이화공영,"-","0","0.00","0","36,027,920,805"
094820,일진파워,"15,740","940","6.35","6,118,046,195","237,338,879,660"
026150,특수건설,"7,210","80","1.12","2,668,948,375","126,509,046,510"
041590,플래스크,"-","0","0.00","0","116,064,014,460"
