종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
024840,KBI메탈,"1,732","62","3.71","723,333,449","60,462,732,668"
474610,RF시스템즈,"8,790","570","6.93","4,504,304,340","120,880,897,470"
039240,경남스틸,"2,650","35","1.34","176,194,470","71,495,950,600"
026910,광진실업,"2,380","-10","0.42","63,026,405","15,244,863,900"
060480,국일신동,"1,571","9","0.58","60,269,967","17,422,390,000"
186230,그린플러스,"5,020","-80","1.57","658,625,115","54,819,343,760"
053260,금강철강,"3,935","115","3.01","27,605,957","73,663,200,000"
069140,누리플랜,"2,755","60","2.23","351,385,507","39,679,063,820"
020400,대동금속,"5,640","190","3.49","237,236,705","17,986,896,240"
004780,대륙제관,"3,500","5","0.14","40,746,093","55,661,196,500"
096350,대창솔루션,"2,055","40","1.99","1,062,963,065","75,736,535,910"
140520,대창스틸,"2,070","-5","0.24","38,319,480","43,696,133,010"
021040,대호특수강,"1,210","0","0.00","50,529,158","26,262,776,540"
090410,덕신이피씨,"1,249","44","3.65","550,676,425","57,559,034,655"
100130,동국S&C,"1,825","-30","1.62","524,584,507","104,285,975,000"
005160,동국산업,"2,745","35","1.29","319,180,725","148,901,103,090"
060380,동양에스텍,"1,442","12","0.84","45,351,835","28,407,400,000"
109860,동일금속,"7,580","-30","0.39","14,474,275","68,978,000,000"
023790,동일스틸럭스,"1,251","21","1.71","214,689,623","32,700,660,867"
006910,보성파워텍,"7,760","370","5.01","15,274,916,880","381,247,434,240"
008470,부스타,"4,000","120","3.09","55,910,000","33,619,200,000"
018310,삼목에스폼,"19,410","60","0.31","497,157,980","285,327,000,000"
012210,삼미금속,"17,900","1,750","10.84","307,104,648,615","397,237,014,800"
009620,삼보산업,"1,705","50","3.02","242,629,272","27,938,285,155"
484590,삼양컴텍,"12,580","120","0.96","3,203,067,760","518,427,461,000"
054540,삼영엠텍,"14,500","660","4.77","3,436,058,760","188,500,000,000"
017480,삼현철강,"4,335","55","1.29","39,544,160","68,072,028,150"
014620,성광벤드,"31,750","650","2.09","5,651,219,525","843,196,307,000"
017510,세명전기,"10,030","590","6.25","3,780,864,815","152,917,380,000"
396300,세아메카닉스,"4,555","115","2.59","9,077,404,665","120,659,672,500"
222810,세토피아,"-","0","0.00","0","81,712,098,000"
049830,승일,"7,810","-190","2.38","22,888,920","47,891,794,720"
162300,신스틸,"1,720","33","1.96","63,920,504","71,330,777,040"
138070,신진에스엠,"1,913","22","1.16","78,167,349","33,483,629,252"
037760,쎄니트,"1,759","-17","0.96","30,583,818","59,512,108,039"
354320,알멕,"68,100","3,300","5.09","9,637,542,700","435,253,046,100"
109610,에스와이,"3,005","255","9.27","8,865,586,363","146,966,737,000"
365330,에스와이스틸텍,"4,100","570","16.15","81,137,716,772","205,701,100,000"
295310,에이치브이엠,"91,700","4,400","5.04","48,787,186,150","1,091,407,072,700"
148930,에이치와이티씨,"3,045","-15","0.49","31,959,930","30,983,523,585"
0004V0,엔비알모션,"22,250","1,500","7.23","51,649,684,050","231,499,413,000"
475230,엔알비,"21,000","2,320","12.42","11,143,419,475","220,706,619,000"
007530,와이엠,"2,495","60","2.46","62,270,617","55,524,306,345"
019210,와이지-원,"8,980","980","12.25","15,179,690,475","301,492,894,620"
101970,우양에이치씨,"12,480","560","4.70","566,339,230","184,579,312,320"
012620,원일특강,"8,350","400","5.03","143,674,945","36,740,000,000"
192390,윈하이텍,"2,110","15","0.72","73,245,478","23,278,003,190"
263770,유에스티,"2,195","40","1.86","1,524,922,805","52,021,877,540"
240600,유진테크놀로지,"3,845","0","0.00","146,424,756","26,638,740,595"
146060,율촌,"2,015","-40","1.95","8,948,343,999","48,391,423,925"
009730,이렘,"593","34","6.08","848,934,717","36,693,162,996"
095190,이엠코리아,"2,450","65","2.73","439,481,811","159,888,131,900"
147830,제룡산업,"7,460","370","5.22","6,081,358,405","149,200,000,000"
023440,제이스코홀딩스,"765","35","4.79","425,514,503","67,791,273,660"
038010,제일테크노스,"5,790","10","0.17","170,783,850","52,110,000,000"
024880,케이피에프,"6,200","300","5.08","2,298,615,390","124,102,870,400"
054410,케이피티유,"3,560","80","2.30","35,738,750","20,386,140,640"
258610,케일럼,"1,339","29","2.21","36,427,362","48,853,499,357"
023160,태광,"26,500","300","1.15","6,256,687,550","702,250,000,000"
053620,태양,"6,430","-40","0.62","34,853,340","55,298,000,000"
044490,태웅,"30,400","1,700","5.92","5,009,484,925","608,224,382,400"
073640,테라사이언스,"-","0","0.00","0","69,571,715,580"
081150,티플랙스,"3,045","35","1.16","275,871,618","73,897,284,090"
119500,포메탈,"5,030","215","4.47","2,224,318,138","59,591,576,960"
009520,포스코엠텍,"20,400","650","3.29","10,276,381,500","849,511,141,200"
256630,포인트엔지니어링,"990","5","0.51","100,754,707","57,417,101,280"
093380,풍강,"2,765","50","1.84","30,607,635","27,316,300,445"
128660,피제이메탈,"2,990","20","0.67","204,001,895","74,162,073,310"
101670,하이드로리튬,"2,500","90","3.73","2,534,200,627","141,245,710,000"
013030,하이록코리아,"33,050","1,050","3.28","1,085,165,700","388,937,159,200"
025550,한국선재,"3,320","30","0.91","540,332,111","84,706,493,280"
452280,한선엔지니어링,"10,880","550","5.32","2,274,836,985","187,959,072,000"
198940,한주라이트메탈,"739","21","2.92","179,139,230","28,764,080,742"
079170,한창산업,"6,340","70","1.12","67,204,290","32,968,000,000"
059270,해성에어로보틱스,"14,850","1,100","8.00","14,431,290,245","165,804,690,150"
