종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
265520,AP시스템,"21,150","750","3.68","3,713,559,450","318,324,864,150"
068790,DMS,"-","0","0.00","0","142,869,517,920"
083450,GST,"29,300","2,050","7.52","9,006,878,625","539,999,000,000"
297890,HB솔루션,"2,270","70","3.18","742,692,838","166,029,874,780"
078150,HB테크놀러지,"2,135","85","4.15","3,363,518,623","197,948,480,660"
403870,HPSP,"46,800","4,150","9.73","101,214,262,225","3,931,158,816,000"
101000,KS인더스트리,"1,122","-95","7.81","1,781,956,816","37,527,311,844"
036560,KZ정밀,"13,580","60","0.44","329,156,600","213,885,000,000"
222160,NPX,"-","0","0.00","0","79,551,289,560"
048770,TPC,"4,270","770","22.00","11,117,024,877","67,030,421,570"
098460,고영,"32,550","400","1.24","89,389,210,850","2,234,712,275,250"
420770,기가비스,"53,100","2,000","3.91","6,187,021,500","673,082,749,800"
417010,나노팀,"11,950","1,830","18.08","84,499,248,820","241,064,099,600"
051490,나라엠앤디,"4,025","80","2.03","160,093,715","57,155,000,000"
137080,나래나노텍,"5,080","-80","1.55","360,108,310","56,181,863,760"
459510,나우로보틱스,"30,950","1,150","3.86","6,453,327,625","400,969,072,900"
267320,나인테크,"3,280","40","1.23","3,960,981,733","188,322,167,600"
253590,네오셈,"18,770","4,000","27.08","203,189,340,995","823,424,208,280"
351320,넥사다이내믹스,"1,180","9","0.77","71,329,324","34,012,027,360"
089140,넥스턴앤롤코리아,"2,995","425","16.54","8,315,014,340","44,674,120,830"
348210,넥스틴,"87,600","2,600","3.06","12,472,676,800","917,785,638,000"
348340,뉴로메카,"88,200","5,500","6.65","127,146,216,600","1,057,441,883,400"
144960,뉴파워프라즈마,"6,200","240","4.03","3,318,406,065","270,894,268,800"
323350,다원넥스뷰,"9,430","690","7.89","1,616,038,610","75,541,579,960"
008830,대동기어,"20,800","3,080","17.38","91,902,882,790","186,940,416,000"
317850,대모,"10,300","2,040","24.70","29,885,045,610","85,741,526,000"
129920,대성하이텍,"5,050","215","4.45","865,651,121","69,261,017,650"
224060,더코디,"4,960","690","16.16","1,476,769,628","25,597,181,120"
088130,동아엘텍,"6,250","0","0.00","17,152,941,605","109,283,212,500"
187870,디바이스,"16,060","570","3.68","1,267,363,835","113,007,940,540"
110990,디아이티,"21,700","1,000","4.83","3,370,829,125","410,130,000,000"
109740,디에스케이,"7,620","-90","1.17","965,572,230","195,913,171,800"
196490,디에이테크놀로지,"-","0","0.00","0","36,245,520,080"
104460,디와이피엔에프,"14,470","370","2.62","1,184,186,625","152,196,921,470"
105740,디케이락,"10,350","630","6.48","2,201,946,730","105,244,109,550"
232680,라온로보틱스,"21,750","-450","2.03","43,271,964,800","283,070,486,250"
217500,러셀,"3,800","40","1.06","3,583,943,102","120,885,600,000"
412350,레이저쎌,"2,550","-10","0.39","2,708,769,214","33,218,778,600"
277810,레인보우로보틱스,"756,000","44,000","6.18","308,399,428,500","14,666,292,648,000"
090360,로보스타,"86,000","3,900","4.75","11,821,082,350","838,500,000,000"
108490,로보티즈,"322,000","14,500","4.72","98,757,363,750","4,691,568,336,000"
071280,로체시스템즈,"10,450","460","4.60","3,974,410,985","159,849,501,350"
474650,링크솔루션,"64,200","5,200","8.81","18,150,451,600","361,062,854,400"
417970,모델솔루션,"22,500","600","2.74","1,491,201,325","143,925,750,000"
049950,미래컴퍼니,"18,240","680","3.87","1,647,336,405","160,838,204,160"
177350,베셀,"1,169","3","0.26","142,915,660","22,975,253,623"
089970,브이엠,"30,150","3,000","11.05","26,837,238,250","736,012,604,250"
251630,브이원텍,"7,970","420","5.56","1,136,362,485","127,064,801,420"
141000,비아트론,"8,330","480","6.11","782,079,400","100,915,534,300"
083650,비에이치아이,"73,300","3,700","5.32","28,437,814,550","2,268,222,687,500"
086670,비엠티,"12,550","550","4.58","1,049,242,275","124,569,856,750"
100660,서암기계공업,"5,050","245","5.10","3,924,324,508","63,630,000,000"
019770,서연탑메탈,"3,950","200","5.33","494,692,367","46,017,500,000"
171090,선익시스템,"59,000","400","0.68","16,195,015,850","566,074,674,000"
084180,수성웹툰,"1,729","-706","28.99","7,311,472,559","31,250,435,307"
099440,스맥,"6,310","150","2.44","4,949,134,930","430,615,816,140"
013810,스페코,"2,580","80","3.20","404,196,357","37,811,112,600"
290520,신도기연,"1,810","5","0.28","48,469,684","28,832,145,220"
160980,싸이맥스,"18,410","930","5.32","4,236,769,265","201,115,313,630"
081180,쎄크,"18,300","390","2.18","13,667,625,050","161,507,290,500"
475400,씨메스,"41,950","1,550","3.84","9,849,063,700","490,884,720,900"
222080,씨아이에스,"12,000","90","0.76","34,186,677,905","928,462,068,000"
264660,씨앤지하이테크,"18,250","990","5.74","2,940,128,620","177,411,389,000"
