종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
407400,꿈비,"4,695","70","1.51","384,171,556","68,709,137,130"
285490,노바텍,"29,600","950","3.32","5,801,450,850","313,044,597,600"
073190,듀오백,"1,574","74","4.93","77,575,317","18,837,694,960"
073570,리튬포어스,"918","-1","0.11","312,252,588","55,251,336,438"
365900,브이씨,"2,865","5","0.17","101,344,290","20,944,009,500"
054090,삼진엘앤디,"771","-7","0.90","119,586,492","19,243,567,872"
188260,세니젠,"1,883","-50","2.59","66,854,961","13,611,209,010"
192440,슈피겐코리아,"22,100","150","0.68","179,727,000","137,381,622,300"
475580,에이럭스,"9,850","330","3.47","657,451,870","134,205,265,000"
003800,에이스침대,"34,600","1,350","4.06","1,113,505,850","383,714,000,000"
373200,엑스플러스,"600","-30","4.76","748,797,779","66,003,201,600"
317870,엔바이오니아,"10,120","120","1.20","207,288,470","86,490,772,280"
026040,제이에스티나,"2,935","75","2.62","340,830,984","48,438,623,650"
376180,피코그램,"2,505","130","5.47","210,632,726","46,495,400,190"
263920,휴엠앤씨,"3,720","20","0.54","68,219,937","36,489,576,720"
