종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
290120,DH오토리드,"2,740","80","3.01","158,591,008","43,358,442,260"
024120,KB오토시스,"3,600","70","1.98","143,529,902","41,400,000,000"
151860,KG에코솔루션,"6,380","120","1.92","1,081,939,925","303,707,152,760"
040610,SG&G,"1,831","31","1.72","196,031,146","62,413,655,876"
013720,THE CUBE&,"878","-1","0.11","489,788,321","53,407,109,554"
024910,경창산업,"2,100","20","0.96","1,301,815,008","75,219,910,500"
053270,구영테크,"2,485","30","1.22","503,067,682","68,114,856,425"
478340,나라스페이스테크놀로지,"61,700","6,500","11.78","208,204,223,550","711,622,564,700"
212560,네오오토,"11,980","1,080","9.91","5,355,134,460","141,510,647,180"
085910,네오티스,"12,080","-130","1.06","2,763,414,275","168,332,601,440"
012340,뉴인텍,"471","3","0.64","81,383,022","25,212,411,927"
104040,대성파인텍,"715","-5","0.69","321,582,500","95,858,495,590"
108380,대양전기공업,"29,500","1,700","6.12","1,728,463,950","282,236,323,500"
005710,대원산업,"13,040","320","2.52","153,599,960","261,290,304,000"
099410,동방선기,"5,860","290","5.21","1,444,142,165","82,040,000,000"
310870,디와이씨,"1,255","-19","1.49","172,662,600","25,962,525,105"
113810,디젠스,"775","11","1.44","85,310,775","25,286,739,525"
474170,루미르,"20,250","2,690","15.32","166,689,829,750","360,808,344,000"
054180,메디콕스,"-","0","0.00","0","12,686,716,395"
012860,모베이스전자,"4,235","75","1.80","9,287,434,675","310,143,690,395"
118990,모트렉스,"9,790","440","4.71","2,635,547,085","243,398,882,100"
488900,비츠로넥스텍,"27,750","1,600","6.12","17,935,361,550","804,096,293,250"
122350,삼기,"1,814","-5","0.27","1,278,702,421","69,547,722,392"
419050,삼기에너지솔루션즈,"1,765","18","1.03","677,610,367","100,951,363,600"
053700,삼보모터스,"8,300","190","2.34","12,359,703,075","206,513,188,100"
437730,삼현,"63,300","2,900","4.80","13,487,383,000","2,007,088,991,100"
122690,서진오토모티브,"2,930","30","1.03","712,986,960","67,261,712,880"
015750,성우하이텍,"7,840","140","1.82","6,870,682,930","627,200,000,000"
080470,성창오토텍,"4,375","225","5.42","135,314,930","31,937,500,000"
053060,세동,"1,351","12","0.90","390,913,629","23,855,173,069"
024830,세원물산,"11,290","390","3.58","69,893,090","94,271,500,000"
060240,스타코링크,"-","0","0.00","0","11,502,414,560"
416180,신성에스티,"38,350","1,250","3.37","5,919,440,700","346,675,486,300"
099320,쎄트렉아이,"213,000","25,100","13.36","84,754,509,550","2,332,622,214,000"
067390,아스트,"615","27","4.59","978,834,274","247,941,911,085"
090150,아이윈,"720","7","0.98","80,672,001","30,150,210,960"
013310,아진산업,"3,470","115","3.43","1,408,055,184","134,658,839,540"
123750,알톤,"2,060","115","5.91","469,815,782","26,257,371,820"
097780,에코볼트,"745","-39","4.97","1,243,153,292","50,459,101,810"
128540,에코캡,"2,425","55","2.32","636,744,273","64,724,365,500"
038110,에코플라스틱,"3,200","95","3.06","1,727,384,026","131,741,984,000"
067570,엔브이에이치코리아,"2,270","-10","0.44","488,928,952","95,725,900,000"
123040,엠에스오토텍,"2,215","75","3.50","336,495,215","138,721,682,285"
265560,영화테크,"-","130","1.60","531,485,380","87,980,181,400"
065500,오리엔트정공,"2,330","65","2.87","697,418,027","73,960,984,960"
031510,오스템,"1,017","-11","1.07","75,410,248","28,476,000,000"
067170,오텍,"1,860","0","0.00","104,479,167","44,438,385,300"
215360,우리산업,"8,520","80","0.95","210,359,880","77,806,028,760"
072470,우리산업홀딩스,"3,190","20","0.63","101,022,795","60,250,617,790"
066590,우수AMS,"3,325","285","9.38","6,780,832,910","128,604,140,525"
011320,유니크,"4,115","105","2.62","193,140,682","79,504,659,925"
241690,유니테크노,"3,870","35","0.91","1,305,254,813","94,701,632,220"
462350,이노스페이스,"24,350","2,650","12.21","47,534,494,000","502,828,230,500"
088390,이녹스,"13,630","3,140","29.93","17,106,581,240","127,929,053,720"
452400,이닉스,"10,970","310","2.91","561,357,520","99,513,565,160"
088290,이원컴포텍,"708","0","0.00","99,837,707","28,235,297,712"
101930,인화정공,"42,300","950","2.30","290,933,375","390,550,908,600"
333430,일승,"6,040","340","5.96","1,178,354,965","185,589,551,880"
019540,일지테크,"4,840","155","3.31","643,140,714","65,405,340,000"
071850,캐스텍코리아,"1,499","-13","0.86","3,536,955","36,367,146,062"
105330,케이엔더블유,"5,630","0","0.00","380,868,460","90,417,957,640"
064820,케이프,"11,800","850","7.76","1,745,342,890","364,640,390,400"
274090,켄코아에어로스페이스,"28,200","750","2.73","37,694,847,325","374,768,073,600"
