종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
051500,CJ프레시웨이,"30,850","2,650","9.40","3,485,398,625","366,238,428,100"
050120,ES큐브,"2,610","35","1.36","13,506,196","35,402,264,460"
060560,HC홈센타,"700","7","1.01","69,827,771","88,858,005,600"
115450,HLB테라퓨틱스,"3,005","95","3.26","1,210,494,551","253,568,700,315"
095340,ISC,"149,700","12,500","9.11","39,858,597,200","3,173,199,582,600"
024940,PN풍년,"4,620","150","3.36","259,416,463","46,200,000,000"
099220,SDN,"1,076","19","1.80","274,098,616","69,880,120,600"
051390,YW,"3,815","15","0.39","11,156,155","43,320,728,920"
036620,감성코퍼레이션,"6,710","-50","0.74","5,881,630,660","607,280,303,410"
121440,골프존홀딩스,"4,675","85","1.85","341,853,875","200,262,124,150"
035080,그래디언트,"11,600","310","2.75","257,718,050","158,648,536,800"
019660,글로본,"2,470","5","0.20","67,316,290","34,442,502,510"
405920,나라셀라,"2,345","20","0.86","14,933,470","30,199,088,220"
032190,다우데이타,"26,800","1,750","6.99","8,973,094,625","1,026,440,000,000"
048470,대동스틸,"3,200","95","3.06","328,959,266","32,000,000,000"
065150,대산F&B,"-","0","0.00","0","23,110,448,725"
048910,대원미디어,"7,480","160","2.19","209,000,230","94,090,516,080"
131220,대한과학,"4,665","35","0.76","66,123,769","34,775,195,850"
299170,더블유에스아이,"3,535","90","2.61","3,143,365,822","146,742,403,080"
043090,더테크놀로지,"-","0","0.00","0","4,718,944,500"
263800,데이타솔루션,"5,160","40","0.78","680,732,935","83,707,480,800"
067990,도이치모터스,"4,260","-10","0.23","505,699,025","124,313,403,000"
016670,디모아,"3,930","65","1.68","52,231,405","29,845,339,620"
031860,디에이치엑스컴퍼니,"572","1","0.18","3,346,389,011","10,859,661,956"
219550,디와이디,"1,862","157","9.21","3,450,006,395","58,239,019,678"
033290,로젠,"2,045","20","0.99","78,157,540","114,839,635,545"
012700,리드코프,"3,555","45","1.28","178,678,591","94,016,009,925"
093520,매커스,"24,000","900","3.90","1,985,505,250","339,914,208,000"
014100,메디앙스,"1,665","-1","0.06","32,921,869","19,647,000,000"
080420,모다이노칩,"1,972","66","3.46","34,992,747","157,211,038,584"
254490,미래반도체,"18,940","1,870","10.95","45,095,888,365","273,455,720,000"
018700,바른손,"939","22","2.40","66,851,142","32,977,451,823"
032980,바이온,"-","0","0.00","0","18,354,952,980"
019010,베뉴지,"3,915","250","6.82","664,375,471","188,703,000,000"
250000,보라티알,"7,990","150","1.91","108,252,850","53,938,356,670"
439580,블루엠텍,"4,555","115","2.59","966,917,089","154,171,021,585"
065170,비엘팜텍,"-","0","0.00","0","95,792,059,750"
223310,사토시홀딩스,"2,050","50","2.50","243,907,687","53,347,588,700"
024950,삼천리자전거,"-","0","0.00","0","54,687,137,240"
038070,서린바이오,"6,290","-30","0.47","321,119,055","57,243,252,040"
043710,서울리거,"862","-11","1.26","51,855,152","74,616,883,620"
063170,서울옥션,"8,050","450","5.92","1,760,374,095","143,082,849,350"
140070,서플러스글로벌,"2,090","50","2.45","141,105,421","77,304,920,000"
007720,소노스퀘어,"602","0","0.00","117,191,842","60,681,870,900"
066910,손오공,"619","3","0.49","131,251,056","41,431,628,516"
415380,스튜디오삼익,"2,255","85","3.92","141,161,725","25,803,908,625"
025870,신라에스지,"5,400","0","0.00","41,050,350","21,600,000,000"
257720,실리콘투,"45,850","-6,150","11.83","245,546,604,075","2,804,731,981,800"
013990,아가방컴퍼니,"4,610","95","2.10","494,016,958","151,611,540,960"
066430,아이로보틱스,"2,645","490","22.74","9,676,410,624","103,560,944,020"
065660,안트로젠,"41,500","1,700","4.27","1,086,587,225","415,253,150,000"
109960,앱토크롬,"245","-2","0.81","97,452,874","54,093,370,905"
031330,에스에이엠티,"4,885","320","7.01","6,608,782,734","488,475,902,295"
052020,에스티큐브,"8,050","450","5.92","2,210,945,065","547,265,492,550"
443670,에스피소프트,"5,510","160","2.99","619,309,645","136,325,069,920"
481070,에이유브랜즈,"26,700","150","0.56","1,369,969,175","378,072,000,000"
069920,엑시온그룹,"661","0","0.00","171,162,501","30,725,004,549"
032790,엠젠솔루션,"1,050","21","2.04","185,785,190","53,928,222,600"
053280,예스24,"3,530","10","0.28","95,729,489","88,250,000,000"
052300,오션인더블유,"2,180","5","0.23","72,047,990","36,766,011,740"
342870,오아,"6,970","10","0.14","123,222,880","43,549,354,580"
353590,오토앤,"3,440","145","4.40","319,412,909","44,291,960,800"
046970,우리로,"1,581","64","4.22","2,343,017,744","69,287,323,419"
037400,우리엔터프라이즈,"923","-3","0.32","90,257,127","24,204,148,358"
032940,원익,"14,340","1,340","10.31","20,576,418,545","260,890,918,200"
014190,원익큐브,"1,993","82","4.29","831,153,360","70,552,012,658"
038620,위즈코프,"547","-2","0.36","124,239,505","41,424,017,355"
335870,윙스풋,"1,976","24","1.23","69,624,817","33,098,934,648"
142210,유니트론텍,"6,740","230","3.53","3,151,401,660","141,607,878,540"
044960,이글벳,"4,305","40","0.94","1,562,667,689","54,423,306,315"
080010,이상네트웍스,"6,890","180","2.68","12,520,375","67,763,639,190"
083640,인콘,"494","114","30.00","10,293,185,798","38,393,853,394"
064090,인크레더블버즈,"932","-52","5.28","363,260,609","46,360,238,340"
178780,일월지엠엘,"2,395","-60","2.44","99,318,170","44,640,872,025"
045510,정원엔시스,"864","3","0.35","12,804,409","27,828,828,288"
159580,제로투세븐,"3,750","5","0.13","228,972,627","75,122,385,000"
033320,제이씨현시스템,"4,235","135","3.29","386,096,802","80,949,619,520"
309930,조이웍스앤코,"1,027","1","0.10","96,042,454","25,148,198,296"
000440,중앙에너비스,"15,550","-100","0.64","942,066,225","96,831,871,500"
036180,지더블유바이텍,"-","0","0.00","0","53,929,030,348"
204840,지엘팜텍,"1,063","43","4.22","254,068,996","82,434,593,378"
086060,진바이오텍,"4,535","135","3.07","506,734,819","39,049,012,045"
362320,청담글로벌,"5,790","220","3.95","771,591,380","122,465,969,100"
016920,카스,"1,003","-12","1.18","122,290,489","26,573,018,614"
038530,케이바이오,"289","23","8.65","4,309,027,838","33,441,446,283"
102370,케이옥션,"3,760","160","4.44","396,135,627","102,381,829,600"
036030,케이티알파,"4,695","140","3.07","296,979,985","230,145,533,685"
042040,케이피엠테크,"210","-4","1.87","190,872,470","40,980,570,540"
060280,큐렉소,"19,790","100","0.51","24,057,649,320","813,170,902,100"
051780,큐로홀딩스,"1,023","33","3.33","108,305,584","26,404,903,635"
215480,토박스코리아,"2,065","0","0.00","74,542,319","18,956,700,000"
064800,포니링크,"795","12","1.53","162,916,983","101,606,801,910"
472850,폰드그룹,"5,710","140","2.51","488,200,650","328,734,132,920"
290720,푸드나무,"2,065","83","4.19","114,951,558","70,967,555,575"
051380,피씨디렉트,"1,910","29","1.54","72,239,225","29,299,537,520"
065650,하이퍼코퍼레이션,"1,762","-21","1.18","30,162,595","23,496,650,592"
004590,한국가구,"4,980","20","0.40","500,040,916","74,700,000,000"
039740,한국정보공학,"3,095","55","1.81","49,750,760","24,816,938,715"
308100,형지글로벌,"1,280","34","2.73","279,975,356","30,749,450,240"
064240,홈캐스트,"2,030","210","11.54","438,813,990","70,429,329,530"
024060,흥구석유,"13,140","-470","3.45","20,167,169,380","197,100,000,000"
