종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
060310,3S,"1,405","-11","0.78","543,263,777","74,547,951,200"
225190,LK삼양,"1,857","428","29.95","20,738,663,387","130,859,893,080"
0015G0,그린광학,"38,150","2,750","7.77","56,101,148,075","446,451,939,150"
039860,나노엔텍,"4,965","95","1.95","1,455,703,787","189,132,008,145"
290660,네오펙트,"1,190","28","2.41","24,576,382,138","90,146,368,690"
389650,넥스트바이오메디컬,"80,300","7,800","10.76","13,387,379,850","658,772,045,800"
137940,넥스트아이,"285","-3","1.04","44,513,493","24,330,162,720"
106520,노블엠앤비,"-","0","0.00","0","15,904,036,272"
376930,노을,"1,793","-3","0.17","992,539,562","91,965,342,139"
261200,덴티스,"4,075","45","1.12","341,182,250","64,424,527,500"
240550,동방메디컬,"7,700","380","5.19","1,703,471,785","160,239,002,000"
263690,디알젬,"5,430","40","0.74","156,471,435","61,498,062,300"
214680,디알텍,"1,992","22","1.12","1,075,648,893","166,286,295,552"
039840,디오,"16,000","210","1.33","440,884,390","230,001,392,000"
462510,라메디텍,"5,610","190","3.51","255,500,660","49,384,633,650"
228670,레이,"5,880","380","6.91","1,174,902,025","91,740,054,000"
228850,레이언스,"5,010","20","0.40","28,582,207","83,120,980,140"
199550,레이저옵텍,"6,370","50","0.79","346,981,000","78,133,088,670"
214610,롤링스톤,"3,360","50","1.51","85,834,021","28,167,961,920"
302550,리메드,"2,810","50","1.81","234,490,465","88,502,433,680"
491000,리브스메드,"74,600","4,900","7.03","60,709,481,950","1,841,254,148,600"
305090,마이크로디지탈,"9,830","650","7.08","2,538,718,570","182,789,390,650"
041920,메디아나,"25,600","4,600","21.90","50,909,466,825","476,114,508,800"
058110,멕아이씨에스,"1,823","-14","0.76","82,722,768","29,260,116,190"
452200,민테크,"2,585","65","2.58","379,813,060","61,335,070,500"
314930,바이오다인,"13,680","190","1.41","1,886,247,020","407,172,929,040"
043150,바텍,"20,350","670","3.40","626,328,020","302,284,109,600"
100120,뷰웍스,"27,500","3,850","16.28","23,703,360,825","257,400,000,000"
419540,비스토스,"1,153","3","0.26","377,685,457","26,510,365,183"
065450,빅텍,"3,905","80","2.09","1,383,912,128","111,889,184,000"
258830,세종메디칼,"-","0","0.00","0","27,103,976,612"
053450,세코닉스,"6,270","320","5.38","1,520,210,435","92,750,874,810"
347000,센코,"2,135","40","1.91","277,954,895","80,726,156,210"
208370,셀바스헬스케어,"5,460","250","4.80","3,782,858,400","140,543,479,440"
215090,솔디펜스,"3,050","170","5.90","981,135,052","70,624,766,050"
424960,스마트레이더시스템,"8,230","450","5.78","1,553,326,400","135,672,455,300"
048870,시너지이노베이션,"2,330","40","1.75","743,181,860","205,289,223,790"
269620,시스웍,"-","0","0.00","0","132,090,012,299"
056090,시지메드텍,"1,634","28","1.74","2,287,384,377","168,725,264,824"
458870,씨어스테크놀로지,"172,200","9,200","5.64","11,299,918,800","2,181,064,536,000"
115480,씨유메디칼,"630","22","3.62","242,309,793","38,193,471,540"
450950,아스테라시스,"14,830","270","1.85","3,049,829,445","556,230,174,360"
460470,아이빔테크놀로지,"3,170","290","10.07","14,185,365,234","47,928,402,900"
099190,아이센스,"17,100","-60","0.35","2,201,184,105","472,095,534,600"
043100,알파AI,"2,525","105","4.34","2,376,469,939","50,777,952,000"
238120,얼라인드,"3,875","85","2.24","250,890,508","55,718,222,000"
060540,에스에이티,"1,350","34","2.58","178,782,696","35,279,963,100"
464080,에스오에스랩,"21,750","-250","1.14","33,866,823,675","387,085,511,250"
398120,에스지헬스케어,"3,305","135","4.26","486,755,095","39,060,178,855"
156100,엘앤케이바이오,"14,850","-240","1.59","4,701,852,820","329,275,480,050"
179290,엠아이텍,"7,250","80","1.12","1,167,019,885","234,651,165,500"
347890,엠투아이,"6,700","100","1.52","303,000,615","113,318,466,800"
036220,오상헬스케어,"11,070","20","0.18","226,084,890","160,619,235,120"
226400,오스테오닉,"6,400","340","5.61","2,479,162,570","132,234,246,400"
057540,옴니시스템,"837","19","2.32","373,113,293","49,759,110,135"
082210,옵트론텍,"1,940","82","4.41","293,539,281","64,393,205,560"
336570,원텍,"9,270","100","1.09","10,889,322,490","834,011,675,190"
095270,웨이브일렉트로,"4,560","-50","1.08","184,741,614","65,538,171,360"
348350,위드텍,"9,010","230","2.62","222,564,135","91,754,236,000"
041520,이엘씨,"6,660","60","0.91","99,779,640","81,176,941,800"
063760,이엘피,"2,490","15","0.61","152,961,545","23,219,573,700"
294090,이오플로우,"-","0","0.00","0","61,207,866,450"
041830,인바디,"32,600","850","2.68","1,513,020,425","439,476,753,200"
119610,인터로조,"18,610","600","3.33","1,645,187,980","212,409,831,670"
049630,재영솔루텍,"4,920","195","4.13","43,608,636,577","575,135,995,200"
122310,제노레이,"4,175","60","1.46","102,353,700","60,762,298,700"
0010V0,제이피아이헬스케어,"14,040","370","2.71","527,180,955","71,679,816,000"
446840,지슨,"1,606","26","1.65","131,403,276","88,045,871,298"
363250,진시스템,"5,500","745","15.67","217,386,560","38,735,389,000"
199430,케이엔알시스템,"35,450","3,200","9.92","11,752,258,600","389,880,624,350"
104540,코렌텍,"7,010","0","0.00","1,749,849,990","89,628,037,400"
049430,코메론,"15,240","650","4.46","846,843,235","137,891,520,000"
360350,코셈,"6,680","510","8.27","1,069,961,180","38,262,839,600"
196450,코아시아씨엠,"1,056","3","0.28","7,462,610,423","47,857,478,592"
317690,퀀타매트릭스,"4,200","60","1.45","509,678,891","84,197,244,600"
494120,큐리오시스,"64,700","-2,800","4.15","11,055,410,350","492,786,385,400"
445680,큐리옥스바이오시스템즈,"124,800","8,100","6.94","12,579,078,350","2,136,555,158,400"
214150,클래시스,"74,600","1,900","2.61","25,763,874,000","4,886,722,161,400"
475960,토모큐브,"50,500","2,500","5.21","14,713,948,200","675,855,337,000"
131290,티에스이,"87,600","10,100","13.03","25,859,157,250","968,981,180,400"
368770,파이버프로,"17,900","-100","0.56","57,046,138,590","588,090,627,500"
387570,파인메딕스,"7,300","50","0.69","152,809,170","41,069,070,000"
140860,파크시스템스,"285,000","9,000","3.26","17,404,215,250","1,993,995,945,000"
370090,퓨런티어,"14,940","570","3.97","1,713,321,575","127,839,040,200"
303360,프로티아,"5,070","60","1.20","344,139,537","65,287,480,050"
335810,프리시젼바이오,"2,620","20","0.77","27,882,670","47,049,462,200"
405000,플라즈맵,"5,510","10","0.18","14,137,170","21,149,826,440"
460940,피앤에스로보틱스,"11,630","510","4.59","3,073,480,815","154,161,232,400"
002230,피에스텍,"16,190","-100","0.61","10,040,428,190","312,043,145,800"
147760,피엠티,"3,750","15","0.40","231,628,988","40,574,497,500"
006140,피제이전자,"8,140","180","2.26","1,243,608,410","122,100,000,000"
149980,하이로닉,"-","0","0.00","0","94,645,307,670"
126700,하이비젼시스템,"18,000","1,700","10.43","7,210,449,150","268,958,016,000"
219750,한국비티비,"716","-9","1.24","63,781,318","46,845,649,660"
076610,해성옵틱스,"1,328","28","2.15","3,263,241,524","64,232,369,344"
065510,휴비츠,"8,890","120","1.37","1,154,588,050","102,109,322,070"
