종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
083790,CG인바이츠,"1,226","6","0.49","587,363,276","94,272,267,132"
311690,CJ 바이오사이언스,"8,380","-260","3.01","329,254,000","109,488,571,560"
180400,DXVX,"3,710","-20","0.54","1,448,621,868","365,173,192,720"
245620,EDGC,"-","0","0.00","0","57,474,989,665"
376270,HEM파마,"93,800","4,900","5.51","6,779,415,100","671,394,792,600"
278650,HLB바이오스텝,"1,396","15","1.09","349,293,930","121,459,732,444"
047920,HLB제약,"16,890","660","4.07","2,723,774,480","553,981,122,840"
089600,KT나스미디어,"12,400","150","1.22","155,646,880","143,445,221,200"
063570,NICE인프라,"4,120","60","1.48","123,691,863","140,688,639,360"
048550,SM C&C,"1,265","25","2.02","253,930,370","122,343,994,300"
057030,YBM넷,"2,860","0","0.00","117,361,765","46,654,313,420"
049720,고려신용정보,"10,050","160","1.62","474,576,415","143,715,000,000"
348150,고바이오랩,"6,090","-50","0.81","700,936,390","118,261,034,010"
453450,그리드위즈,"15,880","520","3.39","497,703,720","126,130,870,000"
130580,나이스디앤비,"5,700","30","0.53","27,644,600","87,780,000,000"
168330,내츄럴엔도텍,"2,560","-160","5.88","479,160,250","81,292,544,000"
330860,네패스아크,"18,100","730","4.20","1,517,167,480","220,531,214,500"
104620,노랑풍선,"5,130","130","2.60","707,583,935","86,238,131,760"
032860,더라미,"1,757","27","1.56","452,675,148","70,975,531,291"
373160,데이원컴퍼니,"4,460","-10","0.22","123,657,465","61,571,276,740"
131970,두산테스나,"65,100","2,600","4.16","20,669,687,400","1,258,203,193,800"
223250,드림씨아이에스,"6,220","470","8.17","1,195,954,010","148,031,795,280"
362990,드림인사이트,"1,699","-1","0.06","44,370,906","28,544,175,226"
347850,디앤디파마텍,"90,300","1,300","1.46","43,609,026,550","3,931,249,329,000"
068930,디지털대성,"8,160","10","0.12","538,608,760","225,830,790,720"
187220,디티앤씨,"2,405","5","0.21","88,918,907","28,133,740,505"
383930,디티앤씨알오,"2,480","55","2.27","285,454,110","31,704,637,440"
084650,랩지노믹스,"1,765","-33","1.84","1,558,119,903","131,033,582,350"
038390,레드캡투어,"12,760","290","2.33","583,338,495","213,357,688,720"
443250,레뷰코퍼레이션,"10,820","-80","0.73","168,647,020","120,510,563,200"
141080,리가켐바이오,"193,400","700","0.36","95,277,184,500","7,080,439,369,200"
038290,마크로젠,"18,670","670","3.72","2,175,282,240","202,408,938,000"
067280,멀티캠퍼스,"28,650","-1,050","3.54","982,037,775","169,802,218,350"
215200,메가스터디교육,"46,550","3,600","8.38","1,963,266,350","482,500,804,800"
133750,메가엠디,"1,828","-8","0.44","88,169,880","42,788,136,756"
235980,메드팩토,"6,560","-1,140","14.81","12,230,131,995","224,844,793,760"
408920,메쎄이상,"3,375","85","2.58","685,606,426","145,909,535,625"
140410,메지온,"156,900","-1,000","0.63","49,342,514,200","4,764,098,106,600"
080160,모두투어,"11,890","390","3.39","1,985,467,480","224,721,000,000"
363260,모비데이즈,"1,624","22","1.37","195,815,765","52,233,960,856"
142760,모아라이프플러스,"1,643","43","2.69","406,094,998","65,553,084,344"
199730,바이오인프라,"4,640","100","2.20","25,772,539","22,570,662,880"
086040,바이오톡스텍,"2,560","-10","0.39","74,877,137","40,853,112,320"
308080,바이젠셀,"8,040","220","2.81","2,064,593,900","164,814,050,400"
323990,박셀바이오,"10,020","100","1.01","2,320,890,190","233,038,596,900"
310210,보로노이,"228,000","14,000","6.54","30,306,796,750","4,193,722,788,000"
050090,비케이홀딩스,"794","-6","0.75","81,641,352","15,709,079,590"
006730,서부T&D,"18,170","780","4.49","26,773,429,120","1,179,722,190,910"
