종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
211270,AP위성,"21,250","1,200","5.99","43,915,640,325","320,498,960,000"
065770,CS,"781","4","0.51","782,625,424","15,160,092,530"
099520,DGI,"-","0","0.00","0","58,141,862,016"
025440,DH오토웨어,"1,051","13","1.25","274,531,589","51,269,066,424"
024850,HLB이노베이션,"2,865","300","11.70","5,177,785,036","420,823,940,655"
060720,KH바텍,"18,590","490","2.71","20,553,417,750","440,163,646,780"
061970,LB세미콘,"4,490","160","3.70","1,722,543,739","260,792,696,940"
417200,LS머트리얼즈,"16,510","560","3.51","17,918,130,900","1,116,945,400,090"
332570,PS일렉트로닉스,"7,700","560","7.84","22,931,415,405","337,180,890,200"
218410,RFHIC,"50,600","2,500","5.20","21,750,970,775","1,341,074,165,200"
327260,RF머트리얼즈,"37,800","4,600","13.86","13,321,770,775","318,776,131,800"
091340,S&K폴리텍,"2,310","25","1.09","69,496,122","27,035,595,510"
036540,SFA반도체,"7,560","590","8.46","48,652,975,815","1,243,319,890,680"
032540,TJ미디어,"5,680","80","1.43","81,304,920","79,131,539,120"
078890,가온그룹,"6,510","120","1.88","1,709,528,185","117,485,136,720"
399720,가온칩스,"68,900","3,100","4.71","13,391,974,850","799,268,938,000"
114190,강원에너지,"16,370","170","1.05","5,323,181,350","427,634,132,060"
029480,광무,"2,190","-30","1.35","788,240,220","135,516,902,160"
402490,그린리소스,"8,750","480","5.80","1,482,322,035","144,948,020,000"
049080,기가레인,"543","19","3.63","121,553,794","46,091,657,421"
035460,기산텔레콤,"2,000","60","3.09","102,494,387","29,154,680,000"
247660,나노씨엠에스,"5,200","90","1.76","76,043,550","22,588,384,000"
190510,나무가,"26,300","2,200","9.13","14,796,042,425","369,391,837,100"
033640,네패스,"18,310","590","3.33","2,259,315,825","422,213,988,620"
396270,넥스트칩,"4,025","555","15.99","17,488,731,454","132,295,837,275"
085670,뉴프렉스,"6,800","350","5.43","2,358,372,090","166,265,174,800"
