종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
060310,3S,"1,405","-11","0.78","543,263,777","74,547,951,200"
265520,AP시스템,"21,150","750","3.68","3,713,559,450","318,324,864,150"
211270,AP위성,"21,250","1,200","5.99","43,915,640,325","320,498,960,000"
126600,BGF에코머티리얼즈,"4,065","100","2.52","330,432,365","255,147,444,435"
058820,CMG제약,"1,994","10","0.50","2,332,471,598","294,797,312,902"
065770,CS,"781","4","0.51","782,625,424","15,160,092,530"
083660,CSA 코스믹,"545","12","2.25","190,465,467","34,242,055,155"
099520,DGI,"-","0","0.00","0","58,141,862,016"
290120,DH오토리드,"2,740","80","3.01","158,591,008","43,358,442,260"
025440,DH오토웨어,"1,051","13","1.25","274,531,589","51,269,066,424"
068790,DMS,"-","0","0.00","0","142,869,517,920"
037370,EG,"5,800","0","0.00","237,663,230","50,024,837,600"
130500,GH신소재,"2,545","20","0.79","121,314,656","37,017,157,340"
083450,GST,"29,300","2,050","7.52","9,006,878,625","539,999,000,000"
297890,HB솔루션,"2,270","70","3.18","742,692,838","166,029,874,780"
078150,HB테크놀러지,"2,135","85","4.15","3,363,518,623","197,948,480,660"
225530,HC보광산업,"2,830","60","2.17","97,978,047","102,838,597,410"
195940,HK이노엔,"54,400","100","0.18","13,615,745,350","1,541,146,070,400"
028300,HLB,"56,100","1,900","3.51","58,280,862,900","7,464,874,187,100"
067630,HLB생명과학,"4,205","135","3.32","1,446,418,508","512,661,228,890"
024850,HLB이노베이션,"2,865","300","11.70","5,177,785,036","420,823,940,655"
187420,HLB제넥스,"2,650","40","1.53","96,169,059","77,308,749,450"
046210,HLB파나진,"1,705","40","2.40","253,540,435","77,527,465,070"
196300,HLB펩,"8,160","560","7.37","301,931,740","75,834,127,680"
403870,HPSP,"46,800","4,150","9.73","101,214,262,225","3,931,158,816,000"
036640,HRS,"5,090","95","1.90","349,733,640","83,245,932,000"
067290,JW신약,"2,050","108","5.56","2,495,749,957","114,876,061,150"
318000,KBG,"4,500","50","1.12","87,664,070","39,331,003,500"
024840,KBI메탈,"1,732","62","3.71","723,333,449","60,462,732,668"
024120,KB오토시스,"3,600","70","1.98","143,529,902","41,400,000,000"
151860,KG에코솔루션,"6,380","120","1.92","1,081,939,925","303,707,152,760"
060720,KH바텍,"18,590","490","2.71","20,553,417,750","440,163,646,780"
101000,KS인더스트리,"1,122","-95","7.81","1,781,956,816","37,527,311,844"
052900,KX하이텍,"1,315","215","19.55","21,034,161,251","85,967,409,640"
036560,KZ정밀,"13,580","60","0.44","329,156,600","213,885,000,000"
061970,LB세미콘,"4,490","160","3.70","1,722,543,739","260,792,696,940"
225190,LK삼양,"1,857","428","29.95","20,738,663,387","130,859,893,080"
417200,LS머트리얼즈,"16,510","560","3.51","17,918,130,900","1,116,945,400,090"
222160,NPX,"-","0","0.00","0","79,551,289,560"
332570,PS일렉트로닉스,"7,700","560","7.84","22,931,415,405","337,180,890,200"
218410,RFHIC,"50,600","2,500","5.20","21,750,970,775","1,341,074,165,200"
327260,RF머트리얼즈,"37,800","4,600","13.86","13,321,770,775","318,776,131,800"
474610,RF시스템즈,"8,790","570","6.93","4,504,304,340","120,880,897,470"
091340,S&K폴리텍,"2,310","25","1.09","69,496,122","27,035,595,510"
246960,SCL사이언스,"2,115","5","0.24","113,633,501","71,946,054,405"
036540,SFA반도체,"7,560","590","8.46","48,652,975,815","1,243,319,890,680"
255220,SG,"3,240","590","22.26","78,603,404,544","336,758,763,600"
040610,SG&G,"1,831","31","1.72","196,031,146","62,413,655,876"
063440,SM Life Design,"1,643","43","2.69","197,166,994","75,625,900,022"
013720,THE CUBE&,"878","-1","0.11","489,788,321","53,407,109,554"
032540,TJ미디어,"5,680","80","1.43","81,304,920","79,131,539,120"
048770,TPC,"4,270","770","22.00","11,117,024,877","67,030,421,570"
317240,TS트릴리온,"423","-16","3.64","1,561,890,969","59,722,829,406"
078890,가온그룹,"6,510","120","1.88","1,709,528,185","117,485,136,720"
399720,가온칩스,"68,900","3,100","4.71","13,391,974,850","799,268,938,000"
198440,강동씨앤엘,"1,045","20","1.95","70,071,741","63,673,831,320"
217730,강스템바이오텍,"2,090","-55","2.56","1,109,121,036","196,573,171,410"
114190,강원에너지,"16,370","170","1.05","5,323,181,350","427,634,132,060"
039240,경남스틸,"2,650","35","1.34","176,194,470","71,495,950,600"
053950,경남제약,"629","14","2.28","230,620,341","49,154,688,182"
011040,경동제약,"5,580","-20","0.36","414,815,970","171,689,714,280"
024910,경창산업,"2,100","20","0.96","1,301,815,008","75,219,910,500"
014570,고려제약,"4,020","20","0.50","98,148,866","44,220,000,000"
098460,고영,"32,550","400","1.24","89,389,210,850","2,234,712,275,250"
366030,공구우먼,"6,200","460","8.01","2,171,297,250","140,453,870,000"
029480,광무,"2,190","-30","1.35","788,240,220","135,516,902,160"
026910,광진실업,"2,380","-10","0.42","63,026,405","15,244,863,900"
053270,구영테크,"2,485","30","1.22","503,067,682","68,114,856,425"
043650,국순당,"3,940","30","0.77","186,789,652","70,361,717,760"
006050,국영지앤엠,"1,348","0","0.00","266,960,972","47,038,787,564"
060480,국일신동,"1,571","9","0.58","60,269,967","17,422,390,000"
078130,국일제지,"350","-2","0.57","249,639,502","394,592,054,850"
307750,국전약품,"3,105","25","0.81","500,762,977","155,797,659,900"
318060,그래피,"54,000","-3,300","5.76","33,396,494,500","600,359,958,000"
204020,그리티,"2,050","15","0.74","110,158,484","39,874,205,600"
0015G0,그린광학,"38,150","2,750","7.77","56,101,148,075","446,451,939,150"
402490,그린리소스,"8,750","480","5.80","1,482,322,035","144,948,020,000"
114450,그린생명과학,"2,905","-120","3.97","1,931,493,425","58,100,000,000"
186230,그린플러스,"5,020","-80","1.57","658,625,115","54,819,343,760"
053260,금강철강,"3,935","115","3.01","27,605,957","73,663,200,000"
049080,기가레인,"543","19","3.63","121,553,794","46,091,657,421"
420770,기가비스,"53,100","2,000","3.91","6,187,021,500","673,082,749,800"
035460,기산텔레콤,"2,000","60","3.09","102,494,387","29,154,680,000"
407400,꿈비,"4,695","70","1.51","384,171,556","68,709,137,130"
187790,나노,"3,850","220","6.06","1,488,063,770","118,737,195,500"
121600,나노신소재,"70,900","3,600","5.35","12,072,429,100","865,773,441,900"
286750,나노실리칸첨단소재,"1,595","-39","2.39","191,187,233","51,086,026,915"
247660,나노씨엠에스,"5,200","90","1.76","76,043,550","22,588,384,000"
039860,나노엔텍,"4,965","95","1.95","1,455,703,787","189,132,008,145"
091970,나노캠텍,"588","16","2.80","43,211,729","22,152,254,964"
417010,나노팀,"11,950","1,830","18.08","84,499,248,820","241,064,099,600"
478340,나라스페이스테크놀로지,"61,700","6,500","11.78","208,204,223,550","711,622,564,700"
051490,나라엠앤디,"4,025","80","2.03","160,093,715","57,155,000,000"
137080,나래나노텍,"5,080","-80","1.55","360,108,310","56,181,863,760"
190510,나무가,"26,300","2,200","9.13","14,796,042,425","369,391,837,100"
459510,나우로보틱스,"30,950","1,150","3.86","6,453,327,625","400,969,072,900"
138610,나이벡,"34,350","1,150","3.46","3,402,428,050","390,386,719,500"
267320,나인테크,"3,280","40","1.23","3,960,981,733","188,322,167,600"
253590,네오셈,"18,770","4,000","27.08","203,189,340,995","823,424,208,280"
212560,네오오토,"11,980","1,080","9.91","5,355,134,460","141,510,647,180"
311390,네오크레마,"4,880","-35","0.71","871,930,188","61,750,490,320"
085910,네오티스,"12,080","-130","1.06","2,763,414,275","168,332,601,440"
092730,네오팜,"19,880","-320","1.58","4,045,034,400","318,636,421,320"
290660,네오펙트,"1,190","28","2.41","24,576,382,138","90,146,368,690"
007390,네이처셀,"23,850","-650","2.65","17,738,353,325","1,536,776,085,600"
033640,네패스,"18,310","590","3.33","2,259,315,825","422,213,988,620"
351320,넥사다이내믹스,"1,180","9","0.77","71,329,324","34,012,027,360"
089140,넥스턴앤롤코리아,"2,995","425","16.54","8,315,014,340","44,674,120,830"
389650,넥스트바이오메디컬,"80,300","7,800","10.76","13,387,379,850","658,772,045,800"
137940,넥스트아이,"285","-3","1.04","44,513,493","24,330,162,720"
396270,넥스트칩,"4,025","555","15.99","17,488,731,454","132,295,837,275"
348210,넥스틴,"87,600","2,600","3.06","12,472,676,800","917,785,638,000"
194700,노바렉스,"14,580","700","5.04","2,234,677,710","273,445,683,840"
285490,노바텍,"29,600","950","3.32","5,801,450,850","313,044,597,600"
145170,노브랜드,"3,780","55","1.48","172,821,407","63,913,770,900"
106520,노블엠앤비,"-","0","0.00","0","15,904,036,272"
376930,노을,"1,793","-3","0.17","992,539,562","91,965,342,139"
142280,녹십자엠에스,"3,885","110","2.91","200,565,715","84,467,382,510"
234690,녹십자웰빙,"9,640","260","2.77","1,171,693,085","171,131,940,640"
069140,누리플랜,"2,755","60","2.23","351,385,507","39,679,063,820"
332290,누보,"1,141","61","5.65","2,211,573,852","45,530,924,964"
348340,뉴로메카,"88,200","5,500","6.65","127,146,216,600","1,057,441,883,400"
060260,뉴보텍,"1,069","1","0.09","138,122,211","14,444,337,621"
123840,뉴온,"916","21","2.35","34,930,241","58,307,345,212"
012340,뉴인텍,"471","3","0.64","81,383,022","25,212,411,927"
462310,뉴키즈온,"4,570","5","0.11","110,704,397","37,406,002,970"
270870,뉴트리,"4,845","60","1.25","60,887,250","44,575,085,280"
144960,뉴파워프라즈마,"6,200","240","4.03","3,318,406,065","270,894,268,800"
085670,뉴프렉스,"6,800","350","5.43","2,358,372,090","166,265,174,800"
340360,다보링크,"1,613","177","12.33","4,412,817,805","82,283,822,217"
