종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
035760,CJ ENM,"69,300","1,300","1.91","7,739,307,650","1,519,690,372,200"
195940,HK이노엔,"54,400","100","0.18","13,615,745,350","1,541,146,070,400"
028300,HLB,"56,100","1,900","3.51","58,280,862,900","7,464,874,187,100"
403870,HPSP,"46,800","4,150","9.73","101,214,262,225","3,931,158,816,000"
095340,ISC,"149,700","12,500","9.11","39,858,597,200","3,173,199,582,600"
035900,JYP Ent.,"71,800","1,900","2.72","28,488,411,400","2,551,232,925,600"
060370,LS마린솔루션,"30,350","800","2.71","7,842,671,075","1,585,449,218,900"
417200,LS머트리얼즈,"16,510","560","3.51","17,918,130,900","1,116,945,400,090"
060250,NHN KCP,"23,750","1,000","4.40","47,744,855,950","953,814,511,250"
218410,RFHIC,"50,600","2,500","5.20","21,750,970,775","1,341,074,165,200"
036540,SFA반도체,"7,560","590","8.46","48,652,975,815","1,243,319,890,680"
067160,SOOP,"72,000","1,700","2.42","4,374,640,000","827,623,224,000"
399720,가온칩스,"68,900","3,100","4.71","13,391,974,850","799,268,938,000"
036620,감성코퍼레이션,"6,710","-50","0.74","5,881,630,660","607,280,303,410"
098460,고영,"32,550","400","1.24","89,389,210,850","2,234,712,275,250"
215000,골프존,"60,000","1,900","3.27","1,806,630,800","376,524,900,000"
121600,나노신소재,"70,900","3,600","5.35","12,072,429,100","865,773,441,900"
253590,네오셈,"18,770","4,000","27.08","203,189,340,995","823,424,208,280"
095660,네오위즈,"28,750","650","2.31","4,217,549,925","628,383,460,000"
007390,네이처셀,"23,850","-650","2.65","17,738,353,325","1,536,776,085,600"
348210,넥스틴,"87,600","2,600","3.06","12,472,676,800","917,785,638,000"
225570,넥슨게임즈,"12,750","190","1.51","11,120,971,340","839,717,218,500"
032190,다우데이타,"26,800","1,750","6.99","8,973,094,625","1,026,440,000,000"
078600,대주전자재료,"76,600","900","1.19","17,910,893,350","1,185,813,423,800"
213420,덕산네오룩스,"39,050","1,700","4.55","5,537,150,825","969,657,539,950"
194480,데브시스터즈,"37,600","1,800","5.03","2,864,976,500","456,056,040,000"
086450,동국제약,"18,170","270","1.51","5,254,135,075","821,836,731,400"
033500,동성화인텍,"27,500","900","3.38","4,735,828,675","824,711,085,000"
005290,동진쎄미켐,"55,200","4,200","8.24","47,459,099,150","2,838,080,068,800"
025900,동화기업,"10,600","400","3.92","1,821,403,785","535,907,221,000"
131970,두산테스나,"65,100","2,600","4.16","20,669,687,400","1,258,203,193,800"
347850,디앤디파마텍,"90,300","1,300","1.46","43,609,026,550","3,931,249,329,000"
376300,디어유,"36,800","1,450","4.10","3,693,281,900","873,573,340,800"
281740,레이크머티리얼즈,"25,650","-850","3.21","53,126,496,050","1,685,988,556,200"
277810,레인보우로보틱스,"756,000","44,000","6.18","308,399,428,500","14,666,292,648,000"
108490,로보티즈,"322,000","14,500","4.72","98,757,363,750","4,691,568,336,000"
328130,루닛,"40,750","1,350","3.43","27,602,803,400","1,192,212,399,500"
141080,리가켐바이오,"193,400","700","0.36","95,277,184,500","7,080,439,369,200"
058470,리노공업,"96,600","1,900","2.01","219,730,358,500","7,362,064,710,000"
215200,메가스터디교육,"46,550","3,600","8.38","1,963,266,350","482,500,804,800"
086900,메디톡스,"131,400","3,400","2.66","5,978,091,700","959,022,505,800"
140410,메지온,"156,900","-1,000","0.63","49,342,514,200","4,764,098,106,600"
059090,미코,"17,760","200","1.14","14,006,287,405","593,481,977,280"
053030,바이넥스,"15,800","240","1.54","4,012,176,760","516,410,170,400"
310210,보로노이,"228,000","14,000","6.54","30,306,796,750","4,193,722,788,000"
018290,브이티,"19,920","100","0.50","9,019,663,500","696,041,412,960"
083650,비에이치아이,"73,300","3,700","5.32","28,437,814,550","2,268,222,687,500"
000250,삼천당제약,"529,000","65,000","14.01","202,430,829,000","12,409,002,688,000"
006730,서부T&D,"18,170","780","4.49","26,773,429,120","1,179,722,190,910"
046890,서울반도체,"7,320","200","2.81","2,557,014,825","426,795,528,000"
178320,서진시스템,"36,450","450","1.25","24,742,190,050","2,036,581,019,550"
171090,선익시스템,"59,000","400","0.68","16,195,015,850","566,074,674,000"
014620,성광벤드,"31,750","650","2.09","5,651,219,525","843,196,307,000"
015750,성우하이텍,"7,840","140","1.82","6,870,682,930","627,200,000,000"
365340,성일하이텍,"65,800","1,500","2.33","6,059,354,200","805,092,346,800"
108860,셀바스AI,"12,850","170","1.34","4,049,397,490","345,855,051,500"
068760,셀트리온제약,"70,000","1,100","1.60","10,840,021,100","3,057,734,400,000"
357780,솔브레인,"441,000","21,500","5.13","39,556,341,500","3,430,347,606,000"
036830,솔브레인홀딩스,"51,800","1,300","2.57","8,275,181,800","1,085,938,100,800"
304100,솔트룩스,"29,500","900","3.15","3,213,543,375","371,518,722,500"
253450,스튜디오드래곤,"45,950","750","1.66","4,957,791,575","1,381,187,983,100"
025320,시노펙스,"7,770","230","3.05","7,384,902,975","715,768,538,310"
065350,신성델타테크,"78,500","5,000","6.80","19,705,492,950","2,157,489,918,000"
257720,실리콘투,"45,850","-6,150","11.83","245,546,604,075","2,804,731,981,800"
222800,심텍,"62,500","2,900","4.87","66,023,764,050","2,333,888,625,000"
050890,쏠리드,"8,630","310","3.73","10,493,061,160","524,328,888,420"
222080,씨아이에스,"12,000","90","0.76","34,186,677,905","928,462,068,000"
352480,씨앤씨인터내셔널,"36,550","1,100","3.10","1,148,865,250","498,172,881,550"
096530,씨젠,"27,800","1,000","3.73","7,729,307,200","1,451,882,633,200"
025980,아난티,"8,250","310","3.90","7,156,972,375","781,271,172,000"
214430,아이쓰리시스템,"129,900","10,900","9.16","9,641,742,000","949,207,228,500"
053800,안랩,"63,900","1,200","1.91","2,867,438,050","710,983,733,400"
196170,알테오젠,"403,000","9,000","2.28","211,378,265,000","21,562,832,564,000"
101490,에스앤에스텍,"89,500","6,300","7.57","36,783,186,100","1,909,471,670,500"
056190,에스에프에이,"32,200","0","0.00","6,913,932,600","1,156,262,072,000"
041510,에스엠,"108,700","2,900","2.74","17,001,977,750","2,488,652,803,000"
237690,에스티팜,"160,600","7,100","4.63","37,705,854,950","3,325,043,288,600"
058610,에스피지,"156,300","7,800","5.25","79,214,218,800","3,466,321,368,000"
298380,에이비엘바이오,"201,500","3,200","1.61","245,072,612,900","11,142,490,177,000"
101360,에코앤드림,"21,250","0","0.00","4,267,621,025","377,954,922,500"
086520,에코프로,"169,800","7,300","4.49","664,775,406,000","23,054,790,609,600"
247540,에코프로비엠,"219,000","4,500","2.10","233,566,733,750","21,418,494,336,000"
383310,에코프로에이치엔,"39,100","300","0.77","14,963,282,500","820,119,841,200"
036810,에프에스티,"44,450","1,700","3.98","13,059,036,450","975,959,668,600"
348370,엔켐,"84,400","1,900","2.30","33,422,357,550","1,844,151,478,400"
290650,엘앤씨바이오,"89,500","1,700","1.94","50,463,770,150","2,223,364,638,500"
058970,엠로,"41,100","1,550","3.92","2,382,398,850","508,033,154,400"
039200,오스코텍,"52,000","1,000","1.96","17,850,224,450","1,989,425,152,000"
226950,올릭스,"137,700","6,900","5.28","42,785,363,350","2,780,146,889,100"
232140,와이씨,"20,000","2,030","11.30","28,052,573,460","1,640,907,000,000"
122870,와이지엔터테인먼트,"71,900","2,000","2.86","16,156,933,550","1,343,886,423,100"
032820,우리기술,"9,170","400","4.56","112,879,161,490","1,529,159,764,300"
041190,우리기술투자,"8,390","590","7.56","10,732,968,650","704,760,000,000"
240810,원익IPS,"114,700","12,900","12.67","104,993,685,600","5,629,923,444,700"
074600,원익QnC,"28,650","2,050","7.71","12,767,127,925","753,151,200,000"
336570,원텍,"9,270","100","1.09","10,889,322,490","834,011,675,190"
069080,웹젠,"15,300","310","2.07","2,743,409,910","529,393,525,200"
112040,위메이드,"29,500","-400","1.34","7,849,864,100","1,001,480,248,500"
101730,위메이드맥스,"7,050","60","0.86","873,427,300","590,813,166,300"
388720,유일로보틱스,"132,900","4,100","3.18","27,337,630,900","1,554,504,055,500"
056080,유진로봇,"32,750","450","1.39","23,819,148,425","1,228,522,978,000"
084370,유진테크,"104,200","4,800","4.83","34,094,788,750","2,387,851,576,400"
179900,유티아이,"23,800","300","1.28","1,909,159,175","471,011,805,600"
272290,이녹스첨단소재,"38,200","2,700","7.61","76,296,403,125","761,236,535,600"
039030,이오테크닉스,"396,000","41,500","11.71","54,101,871,500","4,878,541,800,000"
211050,인카금융서비스,"13,910","-720","4.92","4,140,600,695","685,257,468,870"
189300,인텔리안테크,"107,100","9,600","9.85","56,543,344,050","1,149,540,071,400"
033100,제룡전기,"47,650","4,000","9.16","23,035,699,450","765,373,788,850"
079370,제우스,"19,740","1,250","6.76","15,798,753,150","612,275,382,600"
204270,제이앤티씨,"23,300","600","2.64","7,231,113,150","1,347,869,257,800"
080220,제주반도체,"41,200","2,000","5.10","130,189,062,750","1,419,044,719,600"
082270,젬백스,"43,800","5,300","13.77","19,593,410,700","1,869,401,038,200"
036930,주성엔지니어링,"44,900","4,050","9.91","63,243,678,975","2,122,347,612,900"
358570,지아이이노베이션,"14,960","460","3.17","9,551,336,200","955,539,945,360"
085660,차바이오텍,"21,100","300","1.44","32,427,861,375","1,690,312,749,900"
278280,천보,"56,200","1,100","2.00","6,579,144,550","661,521,489,000"
293490,카카오게임즈,"16,170","-140","0.86","8,668,478,075","1,451,854,350,870"
042000,카페24,"40,100","4,200","11.70","8,557,266,400","972,547,465,400"
078340,컴투스,"35,550","350","0.99","2,792,062,100","429,846,177,150"
214370,케어젠,"120,100","13,800","12.98","28,058,355,300","6,451,171,500,000"
032500,케이엠더블유,"19,020","950","5.26","7,297,168,500","778,490,673,180"
052400,코나아이,"60,300","3,200","5.60","6,684,302,800","878,166,447,300"
183300,코미코,"116,300","3,100","2.74","21,522,983,050","1,216,577,549,200"
241710,코스메카코리아,"103,000","3,600","3.62","17,778,489,700","1,100,040,000,000"
200130,콜마비앤에이치,"14,700","560","3.96","1,258,408,065","432,408,702,600"
060280,큐렉소,"19,790","100","0.51","24,057,649,320","813,170,902,100"
214150,클래시스,"74,600","1,900","2.61","25,763,874,000","4,886,722,161,400"
466100,클로봇,"72,000","2,000","2.86","40,274,403,700","1,799,434,008,000"
323280,태성,"74,600","1,600","2.19","46,462,599,600","2,278,133,308,000"
095610,테스,"70,300","3,000","4.46","25,701,691,300","1,389,706,287,800"
089030,테크윙,"47,000","1,800","3.98","44,676,671,950","1,741,521,315,000"
064760,티씨케이,"221,500","14,500","7.00","16,580,908,250","2,476,240,644,000"
131290,티에스이,"87,600","10,100","13.03","25,859,157,250","968,981,180,400"
214450,파마리서치,"450,000","27,500","6.51","96,638,188,000","4,675,341,600,000"
140860,파크시스템스,"285,000","9,000","3.26","17,404,215,250","1,993,995,945,000"
263750,펄어비스,"52,500","-2,800","5.06","48,129,332,750","3,373,012,387,500"
251970,펌텍코리아,"61,900","-1,100","1.75","5,683,935,200","767,560,000,000"
087010,펩트론,"290,000","3,000","1.05","62,541,986,750","6,762,031,500,000"
009520,포스코엠텍,"20,400","650","3.29","10,276,381,500","849,511,141,200"
319660,피에스케이,"60,300","4,800","8.65","19,513,635,250","1,746,692,854,200"
031980,피에스케이홀딩스,"77,900","4,300","5.84","15,044,614,200","1,679,710,570,500"
137400,피엔티,"53,600","2,700","5.30","21,593,692,000","1,269,823,020,800"
161580,필옵틱스,"55,300","2,200","4.14","25,570,942,150","1,294,171,909,100"
067310,하나마이크론,"36,950","600","1.65","80,134,128,350","2,453,042,179,450"
166090,하나머티리얼즈,"64,800","4,300","7.11","13,087,444,000","1,281,593,275,200"
003380,하림지주,"15,090","1,180","8.48","90,184,092,480","1,690,164,820,890"
160190,하이젠알앤엠,"75,100","100","0.13","20,249,422,550","2,319,688,800,000"
030520,한글과컴퓨터,"25,450","850","3.46","4,179,751,475","615,374,484,800"
