종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
060370,LS마린솔루션,"30,350","800","2.71","7,842,671,075","1,585,449,218,900"
417200,LS머트리얼즈,"16,510","560","3.51","17,918,130,900","1,116,945,400,090"
277810,레인보우로보틱스,"756,000","44,000","6.18","308,399,428,500","14,666,292,648,000"
083650,비에이치아이,"73,300","3,700","5.32","28,437,814,550","2,268,222,687,500"
014620,성광벤드,"31,750","650","2.09","5,651,219,525","843,196,307,000"
365340,성일하이텍,"65,800","1,500","2.33","6,059,354,200","805,092,346,800"
065350,신성델타테크,"78,500","5,000","6.80","19,705,492,950","2,157,489,918,000"
222080,씨아이에스,"12,000","90","0.76","34,186,677,905","928,462,068,000"
056190,에스에프에이,"32,200","0","0.00","6,913,932,600","1,156,262,072,000"
058610,에스피지,"156,300","7,800","5.25","79,214,218,800","3,466,321,368,000"
086520,에코프로,"169,800","7,300","4.49","664,775,406,000","23,054,790,609,600"
247540,에코프로비엠,"219,000","4,500","2.10","233,566,733,750","21,418,494,336,000"
383310,에코프로에이치엔,"39,100","300","0.77","14,963,282,500","820,119,841,200"
388720,유일로보틱스,"132,900","4,100","3.18","27,337,630,900","1,554,504,055,500"
033100,제룡전기,"47,650","4,000","9.16","23,035,699,450","765,373,788,850"
137400,피엔티,"53,600","2,700","5.30","21,593,692,000","1,269,823,020,800"
160190,하이젠알앤엠,"75,100","100","0.13","20,249,422,550","2,319,688,800,000"
