종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
121600,나노신소재,"70,900","3,600","5.35","12,072,429,100","865,773,441,900"
033500,동성화인텍,"27,500","900","3.38","4,735,828,675","824,711,085,000"
005290,동진쎄미켐,"55,200","4,200","8.24","47,459,099,150","2,838,080,068,800"
025900,동화기업,"10,600","400","3.92","1,821,403,785","535,907,221,000"
281740,레이크머티리얼즈,"25,650","-850","3.21","53,126,496,050","1,685,988,556,200"
357780,솔브레인,"441,000","21,500","5.13","39,556,341,500","3,430,347,606,000"
036830,솔브레인홀딩스,"51,800","1,300","2.57","8,275,181,800","1,085,938,100,800"
348370,엔켐,"84,400","1,900","2.30","33,422,357,550","1,844,151,478,400"
278280,천보,"56,200","1,100","2.00","6,579,144,550","661,521,489,000"
251970,펌텍코리아,"61,900","-1,100","1.75","5,683,935,200","767,560,000,000"
009520,포스코엠텍,"20,400","650","3.29","10,276,381,500","849,511,141,200"
