종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
035760,CJ ENM,"69,300","1,300","1.91","7,739,307,650","1,519,690,372,200"
035900,JYP Ent.,"71,800","1,900","2.72","28,488,411,400","2,551,232,925,600"
067160,SOOP,"72,000","1,700","2.42","4,374,640,000","827,623,224,000"
095660,네오위즈,"28,750","650","2.31","4,217,549,925","628,383,460,000"
225570,넥슨게임즈,"12,750","190","1.51","11,120,971,340","839,717,218,500"
194480,데브시스터즈,"37,600","1,800","5.03","2,864,976,500","456,056,040,000"
376300,디어유,"36,800","1,450","4.10","3,693,281,900","873,573,340,800"
253450,스튜디오드래곤,"45,950","750","1.66","4,957,791,575","1,381,187,983,100"
041510,에스엠,"108,700","2,900","2.74","17,001,977,750","2,488,652,803,000"
122870,와이지엔터테인먼트,"71,900","2,000","2.86","16,156,933,550","1,343,886,423,100"
069080,웹젠,"15,300","310","2.07","2,743,409,910","529,393,525,200"
112040,위메이드,"29,500","-400","1.34","7,849,864,100","1,001,480,248,500"
101730,위메이드맥스,"7,050","60","0.86","873,427,300","590,813,166,300"
293490,카카오게임즈,"16,170","-140","0.86","8,668,478,075","1,451,854,350,870"
078340,컴투스,"35,550","350","0.99","2,792,062,100","429,846,177,150"
263750,펄어비스,"52,500","-2,800","5.06","48,129,332,750","3,373,012,387,500"
