종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
195940,HK이노엔,"54,400","100","0.18","13,615,745,350","1,541,146,070,400"
028300,HLB,"56,100","1,900","3.51","58,280,862,900","7,464,874,187,100"
007390,네이처셀,"23,850","-650","2.65","17,738,353,325","1,536,776,085,600"
086450,동국제약,"18,170","270","1.51","5,254,135,075","821,836,731,400"
347850,디앤디파마텍,"90,300","1,300","1.46","43,609,026,550","3,931,249,329,000"
328130,루닛,"40,750","1,350","3.43","27,602,803,400","1,192,212,399,500"
141080,리가켐바이오,"193,400","700","0.36","95,277,184,500","7,080,439,369,200"
086900,메디톡스,"131,400","3,400","2.66","5,978,091,700","959,022,505,800"
140410,메지온,"156,900","-1,000","0.63","49,342,514,200","4,764,098,106,600"
053030,바이넥스,"15,800","240","1.54","4,012,176,760","516,410,170,400"
310210,보로노이,"228,000","14,000","6.54","30,306,796,750","4,193,722,788,000"
000250,삼천당제약,"529,000","65,000","14.01","202,430,829,000","12,409,002,688,000"
068760,셀트리온제약,"70,000","1,100","1.60","10,840,021,100","3,057,734,400,000"
096530,씨젠,"27,800","1,000","3.73","7,729,307,200","1,451,882,633,200"
196170,알테오젠,"403,000","9,000","2.28","211,378,265,000","21,562,832,564,000"
237690,에스티팜,"160,600","7,100","4.63","37,705,854,950","3,325,043,288,600"
298380,에이비엘바이오,"201,500","3,200","1.61","245,072,612,900","11,142,490,177,000"
290650,엘앤씨바이오,"89,500","1,700","1.94","50,463,770,150","2,223,364,638,500"
039200,오스코텍,"52,000","1,000","1.96","17,850,224,450","1,989,425,152,000"
226950,올릭스,"137,700","6,900","5.28","42,785,363,350","2,780,146,889,100"
336570,원텍,"9,270","100","1.09","10,889,322,490","834,011,675,190"
358570,지아이이노베이션,"14,960","460","3.17","9,551,336,200","955,539,945,360"
085660,차바이오텍,"21,100","300","1.44","32,427,861,375","1,690,312,749,900"
214370,케어젠,"120,100","13,800","12.98","28,058,355,300","6,451,171,500,000"
214150,클래시스,"74,600","1,900","2.61","25,763,874,000","4,886,722,161,400"
214450,파마리서치,"450,000","27,500","6.51","96,638,188,000","4,675,341,600,000"
087010,펩트론,"290,000","3,000","1.05","62,541,986,750","6,762,031,500,000"
145020,휴젤,"260,000","-7,500","2.80","27,580,228,250","3,199,048,580,000"
