종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
060310,3S,"1,405","-11","0.78","543,263,777","74,547,951,200"
054620,APS,"4,410","160","3.76","201,638,500","81,118,514,610"
265520,AP시스템,"21,150","750","3.68","3,713,559,450","318,324,864,150"
211270,AP위성,"21,250","1,200","5.99","43,915,640,325","320,498,960,000"
139050,BF랩스,"-","0","0.00","0","24,247,965,555"
126600,BGF에코머티리얼즈,"4,065","100","2.52","330,432,365","255,147,444,435"
083790,CG인바이츠,"1,226","6","0.49","587,363,276","94,272,267,132"
035760,CJ ENM,"69,300","1,300","1.91","7,739,307,650","1,519,690,372,200"
311690,CJ 바이오사이언스,"8,380","-260","3.01","329,254,000","109,488,571,560"
051500,CJ프레시웨이,"30,850","2,650","9.40","3,485,398,625","366,238,428,100"
058820,CMG제약,"1,994","10","0.50","2,332,471,598","294,797,312,902"
056730,CNT85,"550","-9","1.61","24,949,958","40,761,152,300"
065770,CS,"781","4","0.51","782,625,424","15,160,092,530"
083660,CSA 코스믹,"545","12","2.25","190,465,467","34,242,055,155"
477760,DB금융스팩12호,"2,205","5","0.23","8,974,545","12,877,200,000"
099520,DGI,"-","0","0.00","0","58,141,862,016"
290120,DH오토리드,"2,740","80","3.01","158,591,008","43,358,442,260"
025440,DH오토웨어,"1,051","13","1.25","274,531,589","51,269,066,424"
068790,DMS,"-","0","0.00","0","142,869,517,920"
241520,DSC인베스트먼트,"8,390","420","5.27","12,339,130,220","226,530,000,000"
180400,DXVX,"3,710","-20","0.54","1,448,621,868","365,173,192,720"
418620,E8,"1,328","-18","1.34","279,515,953","26,361,433,456"
245620,EDGC,"-","0","0.00","0","57,474,989,665"
037370,EG,"5,800","0","0.00","237,663,230","50,024,837,600"
050120,ES큐브,"2,610","35","1.36","13,506,196","35,402,264,460"
214270,FSN,"1,845","25","1.37","340,947,527","80,609,819,355"
130500,GH신소재,"2,545","20","0.79","121,314,656","37,017,157,340"
083450,GST,"29,300","2,050","7.52","9,006,878,625","539,999,000,000"
297890,HB솔루션,"2,270","70","3.18","742,692,838","166,029,874,780"
440290,HB인베스트먼트,"2,105","50","2.43","244,737,775","57,901,035,150"
078150,HB테크놀러지,"2,135","85","4.15","3,363,518,623","197,948,480,660"
225530,HC보광산업,"2,830","60","2.17","97,978,047","102,838,597,410"
060560,HC홈센타,"700","7","1.01","69,827,771","88,858,005,600"
376270,HEM파마,"93,800","4,900","5.51","6,779,415,100","671,394,792,600"
195940,HK이노엔,"54,400","100","0.18","13,615,745,350","1,541,146,070,400"
028300,HLB,"56,100","1,900","3.51","58,280,862,900","7,464,874,187,100"
278650,HLB바이오스텝,"1,396","15","1.09","349,293,930","121,459,732,444"
067630,HLB생명과학,"4,205","135","3.32","1,446,418,508","512,661,228,890"
024850,HLB이노베이션,"2,865","300","11.70","5,177,785,036","420,823,940,655"
187420,HLB제넥스,"2,650","40","1.53","96,169,059","77,308,749,450"
047920,HLB제약,"16,890","660","4.07","2,723,774,480","553,981,122,840"
115450,HLB테라퓨틱스,"3,005","95","3.26","1,210,494,551","253,568,700,315"
046210,HLB파나진,"1,705","40","2.40","253,540,435","77,527,465,070"
196300,HLB펩,"8,160","560","7.37","301,931,740","75,834,127,680"
403870,HPSP,"46,800","4,150","9.73","101,214,262,225","3,931,158,816,000"
036640,HRS,"5,090","95","1.90","349,733,640","83,245,932,000"
467930,IBKS제23호스팩,"2,210","20","0.91","39,167,755","9,348,300,000"
469480,IBKS제24호스팩,"2,270","20","0.89","24,762,155","9,602,100,000"
0099X0,IBKS제25호스팩,"2,170","30","1.40","120,441,025","12,976,600,000"
095340,ISC,"149,700","12,500","9.11","39,858,597,200","3,173,199,582,600"
067290,JW신약,"2,050","108","5.56","2,495,749,957","114,876,061,150"
035900,JYP Ent.,"71,800","1,900","2.72","28,488,411,400","2,551,232,925,600"
318000,KBG,"4,500","50","1.12","87,664,070","39,331,003,500"
024840,KBI메탈,"1,732","62","3.71","723,333,449","60,462,732,668"
024120,KB오토시스,"3,600","70","1.98","143,529,902","41,400,000,000"
464680,KB제27호스팩,"2,080","0","0.00","17,415,407","26,842,400,000"
478390,KB제29호스팩,"2,085","15","0.72","42,741,990","12,968,700,000"
486630,KB제30호스팩,"2,070","10","0.49","3,574,065","10,991,700,000"
492220,KB제31호스팩,"2,055","20","0.98","37,712,355","12,761,550,000"
0037T0,KB제32호스팩,"2,025","0","0.00","5,295,640","12,818,250,000"
0072Z0,KB제33호스팩,"1,999","1","0.05","50,744,260","15,762,115,000"
021320,KCC건설,"5,520","260","4.94","261,634,515","118,128,000,000"
044180,KD,"337","7","2.12","929,262,323","9,003,898,263"
046440,KG모빌리언스,"5,480","180","3.40","1,836,623,610","208,299,194,960"
151860,KG에코솔루션,"6,380","120","1.92","1,081,939,925","303,707,152,760"
035600,KG이니시스,"11,800","400","3.51","3,431,323,805","325,142,321,200"
060720,KH바텍,"18,590","490","2.71","20,553,417,750","440,163,646,780"
058400,KNN,"697","5","0.72","67,067,923","92,303,514,840"
101000,KS인더스트리,"1,122","-95","7.81","1,781,956,816","37,527,311,844"
089600,KT나스미디어,"12,400","150","1.22","155,646,880","143,445,221,200"
418470,KT밀리의서재,"13,790","470","3.53","355,078,670","118,122,230,310"
043610,KT지니뮤직,"1,879","0","0.00","250,951,356","109,198,908,002"
122450,KX,"3,510","135","4.00","7,530,182,986","157,317,617,340"
052900,KX하이텍,"1,315","215","19.55","21,034,161,251","85,967,409,640"
036560,KZ정밀,"13,580","60","0.44","329,156,600","213,885,000,000"
061970,LB세미콘,"4,490","160","3.70","1,722,543,739","260,792,696,940"
309960,LB인베스트먼트,"6,190","280","4.74","605,174,715","143,714,709,410"
225190,LK삼양,"1,857","428","29.95","20,738,663,387","130,859,893,080"
060370,LS마린솔루션,"30,350","800","2.71","7,842,671,075","1,585,449,218,900"
417200,LS머트리얼즈,"16,510","560","3.51","17,918,130,900","1,116,945,400,090"
078020,LS증권,"5,580","280","5.28","2,074,487,970","309,585,040,200"
322180,LS티라유텍,"9,770","300","3.17","5,134,297,230","204,407,783,680"
476080,M83,"8,260","320","4.03","588,689,135","66,385,620,000"
086960,MDS테크,"1,474","54","3.80","4,091,887,905","149,844,687,960"
160550,NEW,"2,320","65","2.88","279,350,802","64,742,165,920"
053290,NE능률,"1,895","55","2.99","54,062,108","31,317,351,765"
060250,NHN KCP,"23,750","1,000","4.40","47,744,855,950","953,814,511,250"
104200,NHN벅스,"6,340","240","3.93","1,324,845,960","94,006,667,000"
063570,NICE인프라,"4,120","60","1.48","123,691,863","140,688,639,360"
222160,NPX,"-","0","0.00","0","79,551,289,560"
024940,PN풍년,"4,620","150","3.36","259,416,463","46,200,000,000"
332570,PS일렉트로닉스,"7,700","560","7.84","22,931,415,405","337,180,890,200"
218410,RFHIC,"50,600","2,500","5.20","21,750,970,775","1,341,074,165,200"
327260,RF머트리얼즈,"37,800","4,600","13.86","13,321,770,775","318,776,131,800"
474610,RF시스템즈,"8,790","570","6.93","4,504,304,340","120,880,897,470"
091340,S&K폴리텍,"2,310","25","1.09","69,496,122","27,035,595,510"
419530,SAMG엔터,"38,300","2,200","6.09","2,309,512,325","376,278,924,500"
019550,SBI인베스트먼트,"762","31","4.24","481,227,240","123,494,730,150"
246960,SCL사이언스,"2,115","5","0.24","113,633,501","71,946,054,405"
099220,SDN,"1,076","19","1.80","274,098,616","69,880,120,600"
036540,SFA반도체,"7,560","590","8.46","48,652,975,815","1,243,319,890,680"
255220,SG,"3,240","590","22.26","78,603,404,544","336,758,763,600"
040610,SG&G,"1,831","31","1.72","196,031,146","62,413,655,876"
184230,SGA솔루션즈,"611","17","2.86","119,576,350","54,242,742,723"
016250,SGC E&C,"14,970","-30","0.20","583,536,350","75,403,680,420"
357880,SKAI,"1,549","-25","1.59","797,951,030","72,646,578,882"
048550,SM C&C,"1,265","25","2.02","253,930,370","122,343,994,300"
063440,SM Life Design,"1,643","43","2.69","197,166,994","75,625,900,022"
067160,SOOP,"72,000","1,700","2.42","4,374,640,000","827,623,224,000"
289080,SV인베스트먼트,"2,595","115","4.64","2,400,587,381","140,950,855,590"
013720,THE CUBE&,"878","-1","0.11","489,788,321","53,407,109,554"
089230,THE E&M,"1,272","2","0.16","908,996,062","38,812,476,216"
032540,TJ미디어,"5,680","80","1.43","81,304,920","79,131,539,120"
048770,TPC,"4,270","770","22.00","11,117,024,877","67,030,421,570"
246690,TS인베스트먼트,"1,420","72","5.34","361,681,673","63,433,693,300"
317240,TS트릴리온,"423","-16","3.64","1,561,890,969","59,722,829,406"
057030,YBM넷,"2,860","0","0.00","117,361,765","46,654,313,420"
040300,YTN,"3,530","-50","1.40","575,286,369","168,299,739,400"
051390,YW,"3,815","15","0.39","11,156,155","43,320,728,920"
052220,iMBC,"3,420","-25","0.73","858,769,802","78,660,000,000"
079940,가비아,"33,950","1,250","3.82","714,731,250","455,632,221,800"
078890,가온그룹,"6,510","120","1.88","1,709,528,185","117,485,136,720"
399720,가온칩스,"68,900","3,100","4.71","13,391,974,850","799,268,938,000"
036620,감성코퍼레이션,"6,710","-50","0.74","5,881,630,660","607,280,303,410"
198440,강동씨앤엘,"1,045","20","1.95","70,071,741","63,673,831,320"
217730,강스템바이오텍,"2,090","-55","2.56","1,109,121,036","196,573,171,410"
114190,강원에너지,"16,370","170","1.05","5,323,181,350","427,634,132,060"
094480,갤럭시아머니트리,"11,650","430","3.83","11,563,884,365","457,027,612,700"
039240,경남스틸,"2,650","35","1.34","176,194,470","71,495,950,600"
053950,경남제약,"629","14","2.28","230,620,341","49,154,688,182"
011040,경동제약,"5,580","-20","0.36","414,815,970","171,689,714,280"
024910,경창산업,"2,100","20","0.96","1,301,815,008","75,219,910,500"
049720,고려신용정보,"10,050","160","1.62","474,576,415","143,715,000,000"
014570,고려제약,"4,020","20","0.50","98,148,866","44,220,000,000"
348150,고바이오랩,"6,090","-50","0.81","700,936,390","118,261,034,010"
098460,고영,"32,550","400","1.24","89,389,210,850","2,234,712,275,250"
035290,골드앤에스,"658","16","2.49","60,415,259","15,685,561,920"
215000,골프존,"60,000","1,900","3.27","1,806,630,800","376,524,900,000"
121440,골프존홀딩스,"4,675","85","1.85","341,853,875","200,262,124,150"
366030,공구우먼,"6,200","460","8.01","2,171,297,250","140,453,870,000"
029480,광무,"2,190","-30","1.35","788,240,220","135,516,902,160"
026910,광진실업,"2,380","-10","0.42","63,026,405","15,244,863,900"
456490,교보14호스팩,"2,120","5","0.24","201,323,145","8,904,000,000"
465320,교보15호스팩,"-","0","0.00","0","8,896,350,000"
482520,교보16호스팩,"-","0","0.00","0","12,779,500,000"
489210,교보17호스팩,"2,150","10","0.47","6,228,870","11,137,000,000"
0041B0,교보18호스팩,"2,090","0","0.00","1,724,420","10,533,600,000"
0098T0,교보19호스팩,"2,045","15","0.74","79,510,520","11,043,000,000"
053270,구영테크,"2,485","30","1.22","503,067,682","68,114,856,425"
066620,국보디자인,"22,150","950","4.48","425,345,850","166,125,000,000"
043650,국순당,"3,940","30","0.77","186,789,652","70,361,717,760"
