종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
035760,CJ ENM,"69,300","1,300","1.91","7,739,307,650","1,519,690,372,200"
195940,HK이노엔,"54,400","100","0.18","13,615,745,350","1,541,146,070,400"
403870,HPSP,"46,800","4,150","9.73","101,214,262,225","3,931,158,816,000"
095340,ISC,"149,700","12,500","9.11","39,858,597,200","3,173,199,582,600"
035900,JYP Ent.,"71,800","1,900","2.72","28,488,411,400","2,551,232,925,600"
067160,SOOP,"72,000","1,700","2.42","4,374,640,000","827,623,224,000"
215000,골프존,"60,000","1,900","3.27","1,806,630,800","376,524,900,000"
348210,넥스틴,"87,600","2,600","3.06","12,472,676,800","917,785,638,000"
393890,더블유씨피,"8,920","40","0.45","4,659,038,860","301,880,844,480"
213420,덕산네오룩스,"39,050","1,700","4.55","5,537,150,825","969,657,539,950"
086450,동국제약,"18,170","270","1.51","5,254,135,075","821,836,731,400"
025900,동화기업,"10,600","400","3.92","1,821,403,785","535,907,221,000"
131970,두산테스나,"65,100","2,600","4.16","20,669,687,400","1,258,203,193,800"
141080,리가켐바이오,"193,400","700","0.36","95,277,184,500","7,080,439,369,200"
058470,리노공업,"96,600","1,900","2.01","219,730,358,500","7,362,064,710,000"
215200,메가스터디교육,"46,550","3,600","8.38","1,963,266,350","482,500,804,800"
046890,서울반도체,"7,320","200","2.81","2,557,014,825","426,795,528,000"
357780,솔브레인,"441,000","21,500","5.13","39,556,341,500","3,430,347,606,000"
036830,솔브레인홀딩스,"51,800","1,300","2.57","8,275,181,800","1,085,938,100,800"
253450,스튜디오드래곤,"45,950","750","1.66","4,957,791,575","1,381,187,983,100"
222800,심텍,"62,500","2,900","4.87","66,023,764,050","2,333,888,625,000"
222080,씨아이에스,"12,000","90","0.76","34,186,677,905","928,462,068,000"
084850,아이티엠반도체,"10,230","-20","0.20","775,500,540","232,046,414,820"
196170,알테오젠,"403,000","9,000","2.28","211,378,265,000","21,562,832,564,000"
056190,에스에프에이,"32,200","0","0.00","6,913,932,600","1,156,262,072,000"
041510,에스엠,"108,700","2,900","2.74","17,001,977,750","2,488,652,803,000"
237690,에스티팜,"160,600","7,100","4.63","37,705,854,950","3,325,043,288,600"
086520,에코프로,"169,800","7,300","4.49","664,775,406,000","23,054,790,609,600"
247540,에코프로비엠,"219,000","4,500","2.10","233,566,733,750","21,418,494,336,000"
240810,원익IPS,"114,700","12,900","12.67","104,993,685,600","5,629,923,444,700"
074600,원익QnC,"28,650","2,050","7.71","12,767,127,925","753,151,200,000"
069080,웹젠,"15,300","310","2.07","2,743,409,910","529,393,525,200"
272290,이녹스첨단소재,"38,200","2,700","7.61","76,296,403,125","761,236,535,600"
039030,이오테크닉스,"396,000","41,500","11.71","54,101,871,500","4,878,541,800,000"
036930,주성엔지니어링,"44,900","4,050","9.91","63,243,678,975","2,122,347,612,900"
293490,카카오게임즈,"16,170","-140","0.86","8,668,478,075","1,451,854,350,870"
078340,컴투스,"35,550","350","0.99","2,792,062,100","429,846,177,150"
183300,코미코,"116,300","3,100","2.74","21,522,983,050","1,216,577,549,200"
200130,콜마비앤에이치,"14,700","560","3.96","1,258,408,065","432,408,702,600"
214150,클래시스,"74,600","1,900","2.61","25,763,874,000","4,886,722,161,400"
064760,티씨케이,"221,500","14,500","7.00","16,580,908,250","2,476,240,644,000"
214450,파마리서치,"450,000","27,500","6.51","96,638,188,000","4,675,341,600,000"
140860,파크시스템스,"285,000","9,000","3.26","17,404,215,250","1,993,995,945,000"
091700,파트론,"7,150","220","3.17","2,020,744,755","393,250,000,000"
263750,펄어비스,"52,500","-2,800","5.06","48,129,332,750","3,373,012,387,500"
009520,포스코엠텍,"20,400","650","3.29","10,276,381,500","849,511,141,200"
319660,피에스케이,"60,300","4,800","8.65","19,513,635,250","1,746,692,854,200"
137400,피엔티,"53,600","2,700","5.30","21,593,692,000","1,269,823,020,800"
166090,하나머티리얼즈,"64,800","4,300","7.11","13,087,444,000","1,281,593,275,200"
003380,하림지주,"15,090","1,180","8.48","90,184,092,480","1,690,164,820,890"
030520,한글과컴퓨터,"25,450","850","3.46","4,179,751,475","615,374,484,800"
145020,휴젤,"260,000","-7,500","2.80","27,580,228,250","3,199,048,580,000"
