종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
311690,CJ 바이오사이언스,"8,380","-260","3.01","329,254,000","109,488,571,560"
418620,E8,"1,328","-18","1.34","279,515,953","26,361,433,456"
376270,HEM파마,"93,800","4,900","5.51","6,779,415,100","671,394,792,600"
187420,HLB제넥스,"2,650","40","1.53","96,169,059","77,308,749,450"
047920,HLB제약,"16,890","660","4.07","2,723,774,480","553,981,122,840"
419530,SAMG엔터,"38,300","2,200","6.09","2,309,512,325","376,278,924,500"
246960,SCL사이언스,"2,115","5","0.24","113,633,501","71,946,054,405"
357880,SKAI,"1,549","-25","1.59","797,951,030","72,646,578,882"
217730,강스템바이오텍,"2,090","-55","2.56","1,109,121,036","196,573,171,410"
348150,고바이오랩,"6,090","-50","0.81","700,936,390","118,261,034,010"
318060,그래피,"54,000","-3,300","5.76","33,396,494,500","600,359,958,000"
0015G0,그린광학,"38,150","2,750","7.77","56,101,148,075","446,451,939,150"
402490,그린리소스,"8,750","480","5.80","1,482,322,035","144,948,020,000"
286750,나노실리칸첨단소재,"1,595","-39","2.39","191,187,233","51,086,026,915"
247660,나노씨엠에스,"5,200","90","1.76","76,043,550","22,588,384,000"
478340,나라스페이스테크놀로지,"61,700","6,500","11.78","208,204,223,550","711,622,564,700"
242040,나무기술,"2,650","285","12.05","32,084,448,098","91,706,599,600"
459510,나우로보틱스,"30,950","1,150","3.86","6,453,327,625","400,969,072,900"
138610,나이벡,"34,350","1,150","3.46","3,402,428,050","390,386,719,500"
290660,네오펙트,"1,190","28","2.41","24,576,382,138","90,146,368,690"
389650,넥스트바이오메디컬,"80,300","7,800","10.76","13,387,379,850","658,772,045,800"
473980,노머스,"22,900","1,050","4.81","2,148,328,625","253,212,673,800"
376930,노을,"1,793","-3","0.17","992,539,562","91,965,342,139"
486990,노타,"40,550","-1,300","3.11","44,906,409,850","864,689,416,500"
348340,뉴로메카,"88,200","5,500","6.65","127,146,216,600","1,057,441,883,400"
380550,뉴로핏,"35,150","-1,550","4.22","104,797,224,800","409,026,595,450"
463020,뉴엔AI,"16,040","520","3.35","1,416,894,720","142,422,368,000"
323350,다원넥스뷰,"9,430","690","7.89","1,616,038,610","75,541,579,960"
464580,닷밀,"2,655","155","6.20","328,378,417","48,868,166,295"
393890,더블유씨피,"8,920","40","0.45","4,659,038,860","301,880,844,480"
373160,데이원컴퍼니,"4,460","-10","0.22","123,657,465","61,571,276,740"
206560,덱스터,"3,765","0","0.00","502,851,414","95,675,186,040"
176750,듀켐바이오,"10,300","-90","0.87","1,514,837,315","293,088,766,000"
347850,디앤디파마텍,"90,300","1,300","1.46","43,609,026,550","3,931,249,329,000"
315640,딥노이드,"3,510","60","1.74","1,337,902,029","103,096,534,320"
317120,라닉스,"2,180","75","3.56","296,599,612","33,266,800,000"
462510,라메디텍,"5,610","190","3.51","255,500,660","49,384,633,650"
232680,라온로보틱스,"21,750","-450","2.03","43,271,964,800","283,070,486,250"
418420,라온텍,"6,510","790","13.81","6,835,664,885","198,420,295,080"
214260,라파스,"12,000","50","0.42","973,077,925","107,069,556,000"
412350,레이저쎌,"2,550","-10","0.39","2,708,769,214","33,218,778,600"
277810,레인보우로보틱스,"756,000","44,000","6.18","308,399,428,500","14,666,292,648,000"
108490,로보티즈,"322,000","14,500","4.72","98,757,363,750","4,691,568,336,000"
376900,로킷헬스케어,"59,300","-900","1.50","17,114,955,950","928,726,297,700"
328130,루닛,"40,750","1,350","3.43","27,602,803,400","1,192,212,399,500"
474170,루미르,"20,250","2,690","15.32","166,689,829,750","360,808,344,000"
141080,리가켐바이오,"193,400","700","0.36","95,277,184,500","7,080,439,369,200"
302550,리메드,"2,810","50","1.81","234,490,465","88,502,433,680"
491000,리브스메드,"74,600","4,900","7.03","60,709,481,950","1,841,254,148,600"
474650,링크솔루션,"64,200","5,200","8.81","18,150,451,600","361,062,854,400"
219420,링크제니시스,"5,930","360","6.46","1,171,812,825","68,014,176,510"
377480,마음AI,"18,550","520","2.88","1,486,863,445","131,895,601,250"
305090,마이크로디지탈,"9,830","650","7.08","2,538,718,570","182,789,390,650"
424980,마이크로투나노,"14,810","680","4.81","1,978,910,840","87,658,760,900"
235980,메드팩토,"6,560","-1,140","14.81","12,230,131,995","224,844,793,760"
058110,멕아이씨에스,"1,823","-14","0.76","82,722,768","29,260,116,190"
434480,모니터랩,"3,930","95","2.48","221,783,925","48,379,479,000"
250060,모비스,"4,470","-305","6.39","15,084,033,390","143,805,773,580"
288980,모아데이타,"826","2","0.24","114,202,015","28,543,720,212"
142760,모아라이프플러스,"1,643","43","2.69","406,094,998","65,553,084,344"
452200,민테크,"2,585","65","2.58","379,813,060","61,335,070,500"
301300,바이브컴퍼니,"3,170","100","3.26","122,379,689","41,700,437,040"
314930,바이오다인,"13,680","190","1.41","1,886,247,020","407,172,929,040"
086820,바이오솔루션,"7,400","10","0.14","862,292,800","179,762,664,800"
251120,바이오에프디엔씨,"15,700","500","3.29","410,222,405","136,522,490,000"
308080,바이젠셀,"8,040","220","2.81","2,064,593,900","164,814,050,400"
323990,박셀바이오,"10,020","100","1.01","2,320,890,190","233,038,596,900"
199480,뱅크웨어글로벌,"5,740","110","1.95","780,987,510","58,528,415,120"
438700,버넥트,"3,910","100","2.62","259,997,995","43,576,519,900"
310210,보로노이,"228,000","14,000","6.54","30,306,796,750","4,193,722,788,000"
338220,뷰노,"20,500","350","1.74","3,060,009,865","287,037,371,500"
439580,블루엠텍,"4,555","115","2.59","966,917,089","154,171,021,585"
488900,비츠로넥스텍,"27,750","1,600","6.12","17,935,361,550","804,096,293,250"
148780,비큐AI,"1,571","46","3.02","400,257,816","49,401,233,975"
377030,비트맥스,"1,624","-18","1.10","1,353,898,496","68,105,856,896"
452430,사피엔반도체,"39,950","2,200","5.83","4,679,441,150","328,310,937,700"
361670,삼영에스앤씨,"3,485","-15","0.43","30,288,955","19,751,788,130"
437730,삼현,"63,300","2,900","4.80","13,487,383,000","2,007,088,991,100"
411080,샌즈랩,"7,410","300","4.22","622,897,630","113,133,197,580"
252990,샘씨엔에스,"11,140","1,060","10.52","35,401,158,915","650,443,021,820"
378800,샤페론,"1,825","8","0.44","1,518,404,864","84,393,531,575"
294630,서남,"2,945","35","1.20","1,240,416,525","77,648,809,455"
357550,석경에이티,"56,700","1,400","2.53","577,811,200","309,298,500,000"
067370,선바이오,"5,400","120","2.27","67,961,835","65,845,197,000"
365340,성일하이텍,"65,800","1,500","2.33","6,059,354,200","805,092,346,800"
188260,세니젠,"1,883","-50","2.59","66,854,961","13,611,209,010"
490470,세미파이브,"29,050","2,450","9.21","20,310,901,500","979,289,037,300"
321370,센서뷰,"3,960","195","5.18","16,028,524,218","183,894,630,480"
347000,센코,"2,135","40","1.91","277,954,895","80,726,156,210"
331920,셀레믹스,"3,870","890","29.87","3,781,261,477","31,595,252,760"
299660,셀리드,"3,205","215","7.19","6,192,510,276","94,557,041,285"
308430,셀비온,"25,050","350","1.42","3,241,164,150","321,429,325,500"
304100,솔트룩스,"29,500","900","3.15","3,213,543,375","371,518,722,500"
424960,스마트레이더시스템,"8,230","450","5.78","1,553,326,400","135,672,455,300"
