종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
035760,CJ ENM,"69,300","1,300","1.91","7,739,307,650","1,519,690,372,200"
195940,HK이노엔,"54,400","100","0.18","13,615,745,350","1,541,146,070,400"
028300,HLB,"56,100","1,900","3.51","58,280,862,900","7,464,874,187,100"
403870,HPSP,"46,800","4,150","9.73","101,214,262,225","3,931,158,816,000"
095340,ISC,"149,700","12,500","9.11","39,858,597,200","3,173,199,582,600"
035900,JYP Ent.,"71,800","1,900","2.72","28,488,411,400","2,551,232,925,600"
060370,LS마린솔루션,"30,350","800","2.71","7,842,671,075","1,585,449,218,900"
417200,LS머트리얼즈,"16,510","560","3.51","17,918,130,900","1,116,945,400,090"
218410,RFHIC,"50,600","2,500","5.20","21,750,970,775","1,341,074,165,200"
419530,SAMG엔터,"38,300","2,200","6.09","2,309,512,325","376,278,924,500"
067160,SOOP,"72,000","1,700","2.42","4,374,640,000","827,623,224,000"
098460,고영,"32,550","400","1.24","89,389,210,850","2,234,712,275,250"
078130,국일제지,"350","-2","0.57","249,639,502","394,592,054,850"
007390,네이처셀,"23,850","-650","2.65","17,738,353,325","1,536,776,085,600"
225570,넥슨게임즈,"12,750","190","1.51","11,120,971,340","839,717,218,500"
078600,대주전자재료,"76,600","900","1.19","17,910,893,350","1,185,813,423,800"
213420,덕산네오룩스,"39,050","1,700","4.55","5,537,150,825","969,657,539,950"
086450,동국제약,"18,170","270","1.51","5,254,135,075","821,836,731,400"
033500,동성화인텍,"27,500","900","3.38","4,735,828,675","824,711,085,000"
005290,동진쎄미켐,"55,200","4,200","8.24","47,459,099,150","2,838,080,068,800"
347850,디앤디파마텍,"90,300","1,300","1.46","43,609,026,550","3,931,249,329,000"
376300,디어유,"36,800","1,450","4.10","3,693,281,900","873,573,340,800"
281740,레이크머티리얼즈,"25,650","-850","3.21","53,126,496,050","1,685,988,556,200"
277810,레인보우로보틱스,"756,000","44,000","6.18","308,399,428,500","14,666,292,648,000"
108490,로보티즈,"322,000","14,500","4.72","98,757,363,750","4,691,568,336,000"
328130,루닛,"40,750","1,350","3.43","27,602,803,400","1,192,212,399,500"
141080,리가켐바이오,"193,400","700","0.36","95,277,184,500","7,080,439,369,200"
058470,리노공업,"96,600","1,900","2.01","219,730,358,500","7,362,064,710,000"
086900,메디톡스,"131,400","3,400","2.66","5,978,091,700","959,022,505,800"
140410,메지온,"156,900","-1,000","0.63","49,342,514,200","4,764,098,106,600"
310210,보로노이,"228,000","14,000","6.54","30,306,796,750","4,193,722,788,000"
018290,브이티,"19,920","100","0.50","9,019,663,500","696,041,412,960"
083650,비에이치아이,"73,300","3,700","5.32","28,437,814,550","2,268,222,687,500"
082920,비츠로셀,"20,950","600","2.95","4,104,350,200","949,862,043,150"
000250,삼천당제약,"529,000","65,000","14.01","202,430,829,000","12,409,002,688,000"
178320,서진시스템,"36,450","450","1.25","24,742,190,050","2,036,581,019,550"
014620,성광벤드,"31,750","650","2.09","5,651,219,525","843,196,307,000"
068760,셀트리온제약,"70,000","1,100","1.60","10,840,021,100","3,057,734,400,000"
357780,솔브레인,"441,000","21,500","5.13","39,556,341,500","3,430,347,606,000"
036830,솔브레인홀딩스,"51,800","1,300","2.57","8,275,181,800","1,085,938,100,800"
253450,스튜디오드래곤,"45,950","750","1.66","4,957,791,575","1,381,187,983,100"
065350,신성델타테크,"78,500","5,000","6.80","19,705,492,950","2,157,489,918,000"
257720,실리콘투,"45,850","-6,150","11.83","245,546,604,075","2,804,731,981,800"
222800,심텍,"62,500","2,900","4.87","66,023,764,050","2,333,888,625,000"
096530,씨젠,"27,800","1,000","3.73","7,729,307,200","1,451,882,633,200"
025980,아난티,"8,250","310","3.90","7,156,972,375","781,271,172,000"
214430,아이쓰리시스템,"129,900","10,900","9.16","9,641,742,000","949,207,228,500"
053800,안랩,"63,900","1,200","1.91","2,867,438,050","710,983,733,400"
196170,알테오젠,"403,000","9,000","2.28","211,378,265,000","21,562,832,564,000"
101490,에스앤에스텍,"89,500","6,300","7.57","36,783,186,100","1,909,471,670,500"
056190,에스에프에이,"32,200","0","0.00","6,913,932,600","1,156,262,072,000"
041510,에스엠,"108,700","2,900","2.74","17,001,977,750","2,488,652,803,000"
237690,에스티팜,"160,600","7,100","4.63","37,705,854,950","3,325,043,288,600"
298380,에이비엘바이오,"201,500","3,200","1.61","245,072,612,900","11,142,490,177,000"
086520,에코프로,"169,800","7,300","4.49","664,775,406,000","23,054,790,609,600"
247540,에코프로비엠,"219,000","4,500","2.10","233,566,733,750","21,418,494,336,000"
348370,엔켐,"84,400","1,900","2.30","33,422,357,550","1,844,151,478,400"
290650,엘앤씨바이오,"89,500","1,700","1.94","50,463,770,150","2,223,364,638,500"
039200,오스코텍,"52,000","1,000","1.96","17,850,224,450","1,989,425,152,000"
226950,올릭스,"137,700","6,900","5.28","42,785,363,350","2,780,146,889,100"
232140,와이씨,"20,000","2,030","11.30","28,052,573,460","1,640,907,000,000"
122870,와이지엔터테인먼트,"71,900","2,000","2.86","16,156,933,550","1,343,886,423,100"
041190,우리기술투자,"8,390","590","7.56","10,732,968,650","704,760,000,000"
240810,원익IPS,"114,700","12,900","12.67","104,993,685,600","5,629,923,444,700"
336570,원텍,"9,270","100","1.09","10,889,322,490","834,011,675,190"
112040,위메이드,"29,500","-400","1.34","7,849,864,100","1,001,480,248,500"
388720,유일로보틱스,"132,900","4,100","3.18","27,337,630,900","1,554,504,055,500"
084370,유진테크,"104,200","4,800","4.83","34,094,788,750","2,387,851,576,400"
039030,이오테크닉스,"396,000","41,500","11.71","54,101,871,500","4,878,541,800,000"
204270,제이앤티씨,"23,300","600","2.64","7,231,113,150","1,347,869,257,800"
082270,젬백스,"43,800","5,300","13.77","19,593,410,700","1,869,401,038,200"
036930,주성엔지니어링,"44,900","4,050","9.91","63,243,678,975","2,122,347,612,900"
358570,지아이이노베이션,"14,960","460","3.17","9,551,336,200","955,539,945,360"
085660,차바이오텍,"21,100","300","1.44","32,427,861,375","1,690,312,749,900"
293490,카카오게임즈,"16,170","-140","0.86","8,668,478,075","1,451,854,350,870"
042000,카페24,"40,100","4,200","11.70","8,557,266,400","972,547,465,400"
214370,케어젠,"120,100","13,800","12.98","28,058,355,300","6,451,171,500,000"
052400,코나아이,"60,300","3,200","5.60","6,684,302,800","878,166,447,300"
183300,코미코,"116,300","3,100","2.74","21,522,983,050","1,216,577,549,200"
241710,코스메카코리아,"103,000","3,600","3.62","17,778,489,700","1,100,040,000,000"
214150,클래시스,"74,600","1,900","2.61","25,763,874,000","4,886,722,161,400"
323280,태성,"74,600","1,600","2.19","46,462,599,600","2,278,133,308,000"
044490,태웅,"30,400","1,700","5.92","5,009,484,925","608,224,382,400"
089030,테크윙,"47,000","1,800","3.98","44,676,671,950","1,741,521,315,000"
064760,티씨케이,"221,500","14,500","7.00","16,580,908,250","2,476,240,644,000"
214450,파마리서치,"450,000","27,500","6.51","96,638,188,000","4,675,341,600,000"
140860,파크시스템스,"285,000","9,000","3.26","17,404,215,250","1,993,995,945,000"
263750,펄어비스,"52,500","-2,800","5.06","48,129,332,750","3,373,012,387,500"
251970,펌텍코리아,"61,900","-1,100","1.75","5,683,935,200","767,560,000,000"
087010,펩트론,"290,000","3,000","1.05","62,541,986,750","6,762,031,500,000"
031980,피에스케이홀딩스,"77,900","4,300","5.84","15,044,614,200","1,679,710,570,500"
137400,피엔티,"53,600","2,700","5.30","21,593,692,000","1,269,823,020,800"
161580,필옵틱스,"55,300","2,200","4.14","25,570,942,150","1,294,171,909,100"
067310,하나마이크론,"36,950","600","1.65","80,134,128,350","2,453,042,179,450"
003380,하림지주,"15,090","1,180","8.48","90,184,092,480","1,690,164,820,890"
160190,하이젠알앤엠,"75,100","100","0.13","20,249,422,550","2,319,688,800,000"
030520,한글과컴퓨터,"25,450","850","3.46","4,179,751,475","615,374,484,800"
460930,현대힘스,"17,350","340","2.00","3,694,223,810","616,110,141,850"
145020,휴젤,"260,000","-7,500","2.80","27,580,228,250","3,199,048,580,000"
