종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
060310,3S,"1,405","-11","0.78","543,263,777","74,547,951,200"
083790,CG인바이츠,"1,226","6","0.49","587,363,276","94,272,267,132"
056730,CNT85,"550","-9","1.61","24,949,958","40,761,152,300"
065770,CS,"781","4","0.51","782,625,424","15,160,092,530"
037370,EG,"5,800","0","0.00","237,663,230","50,024,837,600"
046210,HLB파나진,"1,705","40","2.40","253,540,435","77,527,465,070"
318000,KBG,"4,500","50","1.12","87,664,070","39,331,003,500"
060720,KH바텍,"18,590","490","2.71","20,553,417,750","440,163,646,780"
309960,LB인베스트먼트,"6,190","280","4.74","605,174,715","143,714,709,410"
322180,LS티라유텍,"9,770","300","3.17","5,134,297,230","204,407,783,680"
024940,PN풍년,"4,620","150","3.36","259,416,463","46,200,000,000"
332570,PS일렉트로닉스,"7,700","560","7.84","22,931,415,405","337,180,890,200"
327260,RF머트리얼즈,"37,800","4,600","13.86","13,321,770,775","318,776,131,800"
474610,RF시스템즈,"8,790","570","6.93","4,504,304,340","120,880,897,470"
019550,SBI인베스트먼트,"762","31","4.24","481,227,240","123,494,730,150"
184230,SGA솔루션즈,"611","17","2.86","119,576,350","54,242,742,723"
048770,TPC,"4,270","770","22.00","11,117,024,877","67,030,421,570"
317240,TS트릴리온,"423","-16","3.64","1,561,890,969","59,722,829,406"
453450,그리드위즈,"15,880","520","3.39","497,703,720","126,130,870,000"
186230,그린플러스,"5,020","-80","1.57","658,625,115","54,819,343,760"
049080,기가레인,"543","19","3.63","121,553,794","46,091,657,421"
420770,기가비스,"53,100","2,000","3.91","6,187,021,500","673,082,749,800"
035460,기산텔레콤,"2,000","60","3.09","102,494,387","29,154,680,000"
407400,꿈비,"4,695","70","1.51","384,171,556","68,709,137,130"
187790,나노,"3,850","220","6.06","1,488,063,770","118,737,195,500"
417010,나노팀,"11,950","1,830","18.08","84,499,248,820","241,064,099,600"
137080,나래나노텍,"5,080","-80","1.55","360,108,310","56,181,863,760"
293580,나우IB,"1,837","-25","1.34","8,670,664,344","174,386,318,150"
267320,나인테크,"3,280","40","1.23","3,960,981,733","188,322,167,600"
168330,내츄럴엔도텍,"2,560","-160","5.88","479,160,250","81,292,544,000"
311390,네오크레마,"4,880","-35","0.71","871,930,188","61,750,490,320"
089140,넥스턴앤롤코리아,"2,995","425","16.54","8,315,014,340","44,674,120,830"
285490,노바텍,"29,600","950","3.32","5,801,450,850","313,044,597,600"
332290,누보,"1,141","61","5.65","2,211,573,852","45,530,924,964"
060260,뉴보텍,"1,069","1","0.09","138,122,211","14,444,337,621"
012340,뉴인텍,"471","3","0.64","81,383,022","25,212,411,927"
068240,다원시스,"2,960","-130","4.21","3,792,710,708","112,963,773,520"
317850,대모,"10,300","2,040","24.70","29,885,045,610","85,741,526,000"
027830,대성창투,"1,670","55","3.41","573,079,788","90,180,000,000"
104040,대성파인텍,"715","-5","0.69","321,582,500","95,858,495,590"
129920,대성하이텍,"5,050","215","4.45","865,651,121","69,261,017,650"
393970,대진첨단소재,"3,900","75","1.96","907,863,207","69,579,198,000"
096350,대창솔루션,"2,055","40","1.99","1,062,963,065","75,736,535,910"
131220,대한과학,"4,665","35","0.76","66,123,769","34,775,195,850"
194480,데브시스터즈,"37,600","1,800","5.03","2,864,976,500","456,056,040,000"
