종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
060310,3S,"1,405","-11","0.78","543,263,777","74,547,951,200"
054620,APS,"4,410","160","3.76","201,638,500","81,118,514,610"
211270,AP위성,"21,250","1,200","5.99","43,915,640,325","320,498,960,000"
139050,BF랩스,"-","0","0.00","0","24,247,965,555"
126600,BGF에코머티리얼즈,"4,065","100","2.52","330,432,365","255,147,444,435"
083790,CG인바이츠,"1,226","6","0.49","587,363,276","94,272,267,132"
311690,CJ 바이오사이언스,"8,380","-260","3.01","329,254,000","109,488,571,560"
056730,CNT85,"550","-9","1.61","24,949,958","40,761,152,300"
065770,CS,"781","4","0.51","782,625,424","15,160,092,530"
083660,CSA 코스믹,"545","12","2.25","190,465,467","34,242,055,155"
477760,DB금융스팩12호,"2,205","5","0.23","8,974,545","12,877,200,000"
099520,DGI,"-","0","0.00","0","58,141,862,016"
290120,DH오토리드,"2,740","80","3.01","158,591,008","43,358,442,260"
025440,DH오토웨어,"1,051","13","1.25","274,531,589","51,269,066,424"
068790,DMS,"-","0","0.00","0","142,869,517,920"
241520,DSC인베스트먼트,"8,390","420","5.27","12,339,130,220","226,530,000,000"
180400,DXVX,"3,710","-20","0.54","1,448,621,868","365,173,192,720"
418620,E8,"1,328","-18","1.34","279,515,953","26,361,433,456"
245620,EDGC,"-","0","0.00","0","57,474,989,665"
037370,EG,"5,800","0","0.00","237,663,230","50,024,837,600"
050120,ES큐브,"2,610","35","1.36","13,506,196","35,402,264,460"
214270,FSN,"1,845","25","1.37","340,947,527","80,609,819,355"
130500,GH신소재,"2,545","20","0.79","121,314,656","37,017,157,340"
297890,HB솔루션,"2,270","70","3.18","742,692,838","166,029,874,780"
440290,HB인베스트먼트,"2,105","50","2.43","244,737,775","57,901,035,150"
078150,HB테크놀러지,"2,135","85","4.15","3,363,518,623","197,948,480,660"
225530,HC보광산업,"2,830","60","2.17","97,978,047","102,838,597,410"
060560,HC홈센타,"700","7","1.01","69,827,771","88,858,005,600"
376270,HEM파마,"93,800","4,900","5.51","6,779,415,100","671,394,792,600"
278650,HLB바이오스텝,"1,396","15","1.09","349,293,930","121,459,732,444"
187420,HLB제넥스,"2,650","40","1.53","96,169,059","77,308,749,450"
046210,HLB파나진,"1,705","40","2.40","253,540,435","77,527,465,070"
196300,HLB펩,"8,160","560","7.37","301,931,740","75,834,127,680"
036640,HRS,"5,090","95","1.90","349,733,640","83,245,932,000"
467930,IBKS제23호스팩,"2,210","20","0.91","39,167,755","9,348,300,000"
469480,IBKS제24호스팩,"2,270","20","0.89","24,762,155","9,602,100,000"
067290,JW신약,"2,050","108","5.56","2,495,749,957","114,876,061,150"
318000,KBG,"4,500","50","1.12","87,664,070","39,331,003,500"
024840,KBI메탈,"1,732","62","3.71","723,333,449","60,462,732,668"
024120,KB오토시스,"3,600","70","1.98","143,529,902","41,400,000,000"
464680,KB제27호스팩,"2,080","0","0.00","17,415,407","26,842,400,000"
478390,KB제29호스팩,"2,085","15","0.72","42,741,990","12,968,700,000"
486630,KB제30호스팩,"2,070","10","0.49","3,574,065","10,991,700,000"
492220,KB제31호스팩,"2,055","20","0.98","37,712,355","12,761,550,000"
021320,KCC건설,"5,520","260","4.94","261,634,515","118,128,000,000"
044180,KD,"337","7","2.12","929,262,323","9,003,898,263"
046440,KG모빌리언스,"5,480","180","3.40","1,836,623,610","208,299,194,960"
058400,KNN,"697","5","0.72","67,067,923","92,303,514,840"
101000,KS인더스트리,"1,122","-95","7.81","1,781,956,816","37,527,311,844"
089600,KT나스미디어,"12,400","150","1.22","155,646,880","143,445,221,200"
418470,KT밀리의서재,"13,790","470","3.53","355,078,670","118,122,230,310"
043610,KT지니뮤직,"1,879","0","0.00","250,951,356","109,198,908,002"
122450,KX,"3,510","135","4.00","7,530,182,986","157,317,617,340"
052900,KX하이텍,"1,315","215","19.55","21,034,161,251","85,967,409,640"
309960,LB인베스트먼트,"6,190","280","4.74","605,174,715","143,714,709,410"
225190,LK삼양,"1,857","428","29.95","20,738,663,387","130,859,893,080"
322180,LS티라유텍,"9,770","300","3.17","5,134,297,230","204,407,783,680"
476080,M83,"8,260","320","4.03","588,689,135","66,385,620,000"
086960,MDS테크,"1,474","54","3.80","4,091,887,905","149,844,687,960"
160550,NEW,"2,320","65","2.88","279,350,802","64,742,165,920"
053290,NE능률,"1,895","55","2.99","54,062,108","31,317,351,765"
104200,NHN벅스,"6,340","240","3.93","1,324,845,960","94,006,667,000"
063570,NICE인프라,"4,120","60","1.48","123,691,863","140,688,639,360"
222160,NPX,"-","0","0.00","0","79,551,289,560"
024940,PN풍년,"4,620","150","3.36","259,416,463","46,200,000,000"
332570,PS일렉트로닉스,"7,700","560","7.84","22,931,415,405","337,180,890,200"
327260,RF머트리얼즈,"37,800","4,600","13.86","13,321,770,775","318,776,131,800"
474610,RF시스템즈,"8,790","570","6.93","4,504,304,340","120,880,897,470"
091340,S&K폴리텍,"2,310","25","1.09","69,496,122","27,035,595,510"
019550,SBI인베스트먼트,"762","31","4.24","481,227,240","123,494,730,150"
246960,SCL사이언스,"2,115","5","0.24","113,633,501","71,946,054,405"
099220,SDN,"1,076","19","1.80","274,098,616","69,880,120,600"
040610,SG&G,"1,831","31","1.72","196,031,146","62,413,655,876"
184230,SGA솔루션즈,"611","17","2.86","119,576,350","54,242,742,723"
016250,SGC E&C,"14,970","-30","0.20","583,536,350","75,403,680,420"
357880,SKAI,"1,549","-25","1.59","797,951,030","72,646,578,882"
048550,SM C&C,"1,265","25","2.02","253,930,370","122,343,994,300"
063440,SM Life Design,"1,643","43","2.69","197,166,994","75,625,900,022"
289080,SV인베스트먼트,"2,595","115","4.64","2,400,587,381","140,950,855,590"
013720,THE CUBE&,"878","-1","0.11","489,788,321","53,407,109,554"
089230,THE E&M,"1,272","2","0.16","908,996,062","38,812,476,216"
032540,TJ미디어,"5,680","80","1.43","81,304,920","79,131,539,120"
048770,TPC,"4,270","770","22.00","11,117,024,877","67,030,421,570"
246690,TS인베스트먼트,"1,420","72","5.34","361,681,673","63,433,693,300"
317240,TS트릴리온,"423","-16","3.64","1,561,890,969","59,722,829,406"
057030,YBM넷,"2,860","0","0.00","117,361,765","46,654,313,420"
040300,YTN,"3,530","-50","1.40","575,286,369","168,299,739,400"
051390,YW,"3,815","15","0.39","11,156,155","43,320,728,920"
052220,iMBC,"3,420","-25","0.73","858,769,802","78,660,000,000"
078890,가온그룹,"6,510","120","1.88","1,709,528,185","117,485,136,720"
198440,강동씨앤엘,"1,045","20","1.95","70,071,741","63,673,831,320"
217730,강스템바이오텍,"2,090","-55","2.56","1,109,121,036","196,573,171,410"
039240,경남스틸,"2,650","35","1.34","176,194,470","71,495,950,600"
053950,경남제약,"629","14","2.28","230,620,341","49,154,688,182"
011040,경동제약,"5,580","-20","0.36","414,815,970","171,689,714,280"
024910,경창산업,"2,100","20","0.96","1,301,815,008","75,219,910,500"
049720,고려신용정보,"10,050","160","1.62","474,576,415","143,715,000,000"
014570,고려제약,"4,020","20","0.50","98,148,866","44,220,000,000"
348150,고바이오랩,"6,090","-50","0.81","700,936,390","118,261,034,010"
035290,골드앤에스,"658","16","2.49","60,415,259","15,685,561,920"
366030,공구우먼,"6,200","460","8.01","2,171,297,250","140,453,870,000"
029480,광무,"2,190","-30","1.35","788,240,220","135,516,902,160"
026910,광진실업,"2,380","-10","0.42","63,026,405","15,244,863,900"
456490,교보14호스팩,"2,120","5","0.24","201,323,145","8,904,000,000"
465320,교보15호스팩,"-","0","0.00","0","8,896,350,000"
482520,교보16호스팩,"-","0","0.00","0","12,779,500,000"
489210,교보17호스팩,"2,150","10","0.47","6,228,870","11,137,000,000"
053270,구영테크,"2,485","30","1.22","503,067,682","68,114,856,425"
066620,국보디자인,"22,150","950","4.48","425,345,850","166,125,000,000"
043650,국순당,"3,940","30","0.77","186,789,652","70,361,717,760"
006050,국영지앤엠,"1,348","0","0.00","266,960,972","47,038,787,564"
060480,국일신동,"1,571","9","0.58","60,269,967","17,422,390,000"
307750,국전약품,"3,105","25","0.81","500,762,977","155,797,659,900"
035080,그래디언트,"11,600","310","2.75","257,718,050","158,648,536,800"
453450,그리드위즈,"15,880","520","3.39","497,703,720","126,130,870,000"
204020,그리티,"2,050","15","0.74","110,158,484","39,874,205,600"
402490,그린리소스,"8,750","480","5.80","1,482,322,035","144,948,020,000"
114450,그린생명과학,"2,905","-120","3.97","1,931,493,425","58,100,000,000"
186230,그린플러스,"5,020","-80","1.57","658,625,115","54,819,343,760"
019660,글로본,"2,470","5","0.20","67,316,290","34,442,502,510"
053260,금강철강,"3,935","115","3.01","27,605,957","73,663,200,000"
282720,금양그린파워,"10,400","220","2.16","288,356,095","126,042,800,000"
036190,금화피에스시,"32,550","500","1.56","283,201,275","195,300,000,000"
049080,기가레인,"543","19","3.63","121,553,794","46,091,657,421"
035460,기산텔레콤,"2,000","60","3.09","102,494,387","29,154,680,000"
407400,꿈비,"4,695","70","1.51","384,171,556","68,709,137,130"
187790,나노,"3,850","220","6.06","1,488,063,770","118,737,195,500"
286750,나노실리칸첨단소재,"1,595","-39","2.39","191,187,233","51,086,026,915"
247660,나노씨엠에스,"5,200","90","1.76","76,043,550","22,588,384,000"
039860,나노엔텍,"4,965","95","1.95","1,455,703,787","189,132,008,145"
091970,나노캠텍,"588","16","2.80","43,211,729","22,152,254,964"
417010,나노팀,"11,950","1,830","18.08","84,499,248,820","241,064,099,600"
405920,나라셀라,"2,345","20","0.86","14,933,470","30,199,088,220"
051490,나라엠앤디,"4,025","80","2.03","160,093,715","57,155,000,000"
137080,나래나노텍,"5,080","-80","1.55","360,108,310","56,181,863,760"
242040,나무기술,"2,650","285","12.05","32,084,448,098","91,706,599,600"
293580,나우IB,"1,837","-25","1.34","8,670,664,344","174,386,318,150"
130580,나이스디앤비,"5,700","30","0.53","27,644,600","87,780,000,000"
111710,남화산업,"4,125","-55","1.32","41,711,420","84,925,500,000"
091590,남화토건,"3,615","15","0.42","42,653,300","42,440,100,000"
168330,내츄럴엔도텍,"2,560","-160","5.88","479,160,250","81,292,544,000"
094860,네오리진,"1,369","29","2.16","466,896,980","34,375,609,166"
212560,네오오토,"11,980","1,080","9.91","5,355,134,460","141,510,647,180"
311390,네오크레마,"4,880","-35","0.71","871,930,188","61,750,490,320"
085910,네오티스,"12,080","-130","1.06","2,763,414,275","168,332,601,440"
290660,네오펙트,"1,190","28","2.41","24,576,382,138","90,146,368,690"
153460,네이블,"7,340","240","3.38","1,400,098,640","47,930,302,760"
330860,네패스아크,"18,100","730","4.20","1,517,167,480","220,531,214,500"
351320,넥사다이내믹스,"1,180","9","0.77","71,329,324","34,012,027,360"
089140,넥스턴앤롤코리아,"2,995","425","16.54","8,315,014,340","44,674,120,830"
137940,넥스트아이,"285","-3","1.04","44,513,493","24,330,162,720"
396270,넥스트칩,"4,025","555","15.99","17,488,731,454","132,295,837,275"
104620,노랑풍선,"5,130","130","2.60","707,583,935","86,238,131,760"
285490,노바텍,"29,600","950","3.32","5,801,450,850","313,044,597,600"
