종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
265520,AP시스템,"21,150","750","3.68","3,713,559,450","318,324,864,150"
211270,AP위성,"21,250","1,200","5.99","43,915,640,325","320,498,960,000"
126600,BGF에코머티리얼즈,"4,065","100","2.52","330,432,365","255,147,444,435"
051500,CJ프레시웨이,"30,850","2,650","9.40","3,485,398,625","366,238,428,100"
290120,DH오토리드,"2,740","80","3.01","158,591,008","43,358,442,260"
130500,GH신소재,"2,545","20","0.79","121,314,656","37,017,157,340"
083450,GST,"29,300","2,050","7.52","9,006,878,625","539,999,000,000"
297890,HB솔루션,"2,270","70","3.18","742,692,838","166,029,874,780"
078150,HB테크놀러지,"2,135","85","4.15","3,363,518,623","197,948,480,660"
225530,HC보광산업,"2,830","60","2.17","97,978,047","102,838,597,410"
195940,HK이노엔,"54,400","100","0.18","13,615,745,350","1,541,146,070,400"
403870,HPSP,"46,800","4,150","9.73","101,214,262,225","3,931,158,816,000"
036640,HRS,"5,090","95","1.90","349,733,640","83,245,932,000"
095340,ISC,"149,700","12,500","9.11","39,858,597,200","3,173,199,582,600"
035900,JYP Ent.,"71,800","1,900","2.72","28,488,411,400","2,551,232,925,600"
021320,KCC건설,"5,520","260","4.94","261,634,515","118,128,000,000"
046440,KG모빌리언스,"5,480","180","3.40","1,836,623,610","208,299,194,960"
151860,KG에코솔루션,"6,380","120","1.92","1,081,939,925","303,707,152,760"
035600,KG이니시스,"11,800","400","3.51","3,431,323,805","325,142,321,200"
058400,KNN,"697","5","0.72","67,067,923","92,303,514,840"
089600,KT나스미디어,"12,400","150","1.22","155,646,880","143,445,221,200"
043610,KT지니뮤직,"1,879","0","0.00","250,951,356","109,198,908,002"
052900,KX하이텍,"1,315","215","19.55","21,034,161,251","85,967,409,640"
036560,KZ정밀,"13,580","60","0.44","329,156,600","213,885,000,000"
060370,LS마린솔루션,"30,350","800","2.71","7,842,671,075","1,585,449,218,900"
078020,LS증권,"5,580","280","5.28","2,074,487,970","309,585,040,200"
060250,NHN KCP,"23,750","1,000","4.40","47,744,855,950","953,814,511,250"
063570,NICE인프라,"4,120","60","1.48","123,691,863","140,688,639,360"
218410,RFHIC,"50,600","2,500","5.20","21,750,970,775","1,341,074,165,200"
036540,SFA반도체,"7,560","590","8.46","48,652,975,815","1,243,319,890,680"
067160,SOOP,"72,000","1,700","2.42","4,374,640,000","827,623,224,000"
032540,TJ미디어,"5,680","80","1.43","81,304,920","79,131,539,120"
079940,가비아,"33,950","1,250","3.82","714,731,250","455,632,221,800"
399720,가온칩스,"68,900","3,100","4.71","13,391,974,850","799,268,938,000"
036620,감성코퍼레이션,"6,710","-50","0.74","5,881,630,660","607,280,303,410"
114190,강원에너지,"16,370","170","1.05","5,323,181,350","427,634,132,060"
039240,경남스틸,"2,650","35","1.34","176,194,470","71,495,950,600"
024910,경창산업,"2,100","20","0.96","1,301,815,008","75,219,910,500"
049720,고려신용정보,"10,050","160","1.62","474,576,415","143,715,000,000"
014570,고려제약,"4,020","20","0.50","98,148,866","44,220,000,000"
098460,고영,"32,550","400","1.24","89,389,210,850","2,234,712,275,250"
