종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
054620,APS,"4,410","160","3.76","201,638,500","81,118,514,610"
035760,CJ ENM,"69,300","1,300","1.91","7,739,307,650","1,519,690,372,200"
058820,CMG제약,"1,994","10","0.50","2,332,471,598","294,797,312,902"
083660,CSA 코스믹,"545","12","2.25","190,465,467","34,242,055,155"
025440,DH오토웨어,"1,051","13","1.25","274,531,589","51,269,066,424"
241520,DSC인베스트먼트,"8,390","420","5.27","12,339,130,220","226,530,000,000"
050120,ES큐브,"2,610","35","1.36","13,506,196","35,402,264,460"
214270,FSN,"1,845","25","1.37","340,947,527","80,609,819,355"
440290,HB인베스트먼트,"2,105","50","2.43","244,737,775","57,901,035,150"
060560,HC홈센타,"700","7","1.01","69,827,771","88,858,005,600"
028300,HLB,"56,100","1,900","3.51","58,280,862,900","7,464,874,187,100"
278650,HLB바이오스텝,"1,396","15","1.09","349,293,930","121,459,732,444"
024850,HLB이노베이션,"2,865","300","11.70","5,177,785,036","420,823,940,655"
115450,HLB테라퓨틱스,"3,005","95","3.26","1,210,494,551","253,568,700,315"
067290,JW신약,"2,050","108","5.56","2,495,749,957","114,876,061,150"
024840,KBI메탈,"1,732","62","3.71","723,333,449","60,462,732,668"
024120,KB오토시스,"3,600","70","1.98","143,529,902","41,400,000,000"
044180,KD,"337","7","2.12","929,262,323","9,003,898,263"
101000,KS인더스트리,"1,122","-95","7.81","1,781,956,816","37,527,311,844"
418470,KT밀리의서재,"13,790","470","3.53","355,078,670","118,122,230,310"
122450,KX,"3,510","135","4.00","7,530,182,986","157,317,617,340"
061970,LB세미콘,"4,490","160","3.70","1,722,543,739","260,792,696,940"
225190,LK삼양,"1,857","428","29.95","20,738,663,387","130,859,893,080"
417200,LS머트리얼즈,"16,510","560","3.51","17,918,130,900","1,116,945,400,090"
476080,M83,"8,260","320","4.03","588,689,135","66,385,620,000"
086960,MDS테크,"1,474","54","3.80","4,091,887,905","149,844,687,960"
160550,NEW,"2,320","65","2.88","279,350,802","64,742,165,920"
104200,NHN벅스,"6,340","240","3.93","1,324,845,960","94,006,667,000"
091340,S&K폴리텍,"2,310","25","1.09","69,496,122","27,035,595,510"
099220,SDN,"1,076","19","1.80","274,098,616","69,880,120,600"
255220,SG,"3,240","590","22.26","78,603,404,544","336,758,763,600"
040610,SG&G,"1,831","31","1.72","196,031,146","62,413,655,876"
016250,SGC E&C,"14,970","-30","0.20","583,536,350","75,403,680,420"
048550,SM C&C,"1,265","25","2.02","253,930,370","122,343,994,300"
063440,SM Life Design,"1,643","43","2.69","197,166,994","75,625,900,022"
289080,SV인베스트먼트,"2,595","115","4.64","2,400,587,381","140,950,855,590"
013720,THE CUBE&,"878","-1","0.11","489,788,321","53,407,109,554"
