종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
265520,AP시스템,"21,150","750","3.68","3,713,559,450","318,324,864,150"
051500,CJ프레시웨이,"30,850","2,650","9.40","3,485,398,625","366,238,428,100"
058820,CMG제약,"1,994","10","0.50","2,332,471,598","294,797,312,902"
083450,GST,"29,300","2,050","7.52","9,006,878,625","539,999,000,000"
067630,HLB생명과학,"4,205","135","3.32","1,446,418,508","512,661,228,890"
024850,HLB이노베이션,"2,865","300","11.70","5,177,785,036","420,823,940,655"
047920,HLB제약,"16,890","660","4.07","2,723,774,480","553,981,122,840"
115450,HLB테라퓨틱스,"3,005","95","3.26","1,210,494,551","253,568,700,315"
151860,KG에코솔루션,"6,380","120","1.92","1,081,939,925","303,707,152,760"
035600,KG이니시스,"11,800","400","3.51","3,431,323,805","325,142,321,200"
060720,KH바텍,"18,590","490","2.71","20,553,417,750","440,163,646,780"
036560,KZ정밀,"13,580","60","0.44","329,156,600","213,885,000,000"
061970,LB세미콘,"4,490","160","3.70","1,722,543,739","260,792,696,940"
078020,LS증권,"5,580","280","5.28","2,074,487,970","309,585,040,200"
060250,NHN KCP,"23,750","1,000","4.40","47,744,855,950","953,814,511,250"
036540,SFA반도체,"7,560","590","8.46","48,652,975,815","1,243,319,890,680"
255220,SG,"3,240","590","22.26","78,603,404,544","336,758,763,600"
079940,가비아,"33,950","1,250","3.82","714,731,250","455,632,221,800"
399720,가온칩스,"68,900","3,100","4.71","13,391,974,850","799,268,938,000"
036620,감성코퍼레이션,"6,710","-50","0.74","5,881,630,660","607,280,303,410"
114190,강원에너지,"16,370","170","1.05","5,323,181,350","427,634,132,060"
094480,갤럭시아머니트리,"11,650","430","3.83","11,563,884,365","457,027,612,700"
215000,골프존,"60,000","1,900","3.27","1,806,630,800","376,524,900,000"
121440,골프존홀딩스,"4,675","85","1.85","341,853,875","200,262,124,150"
204620,글로벌텍스프리,"4,930","275","5.91","9,759,941,423","346,496,816,900"
420770,기가비스,"53,100","2,000","3.91","6,187,021,500","673,082,749,800"
121600,나노신소재,"70,900","3,600","5.35","12,072,429,100","865,773,441,900"
190510,나무가,"26,300","2,200","9.13","14,796,042,425","369,391,837,100"
