종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
012030,DB,"1,743","4","0.23","2,833,038,345","350,646,165,219"
058850,KTcs,"2,765","65","2.41","807,295,484","118,024,025,000"
058860,KTis,"2,785","5","0.18","244,720,775","96,923,570,000"
064400,LG씨엔에스,"69,600","2,400","3.57","79,941,708,300","6,743,261,980,800"
035420,NAVER,"269,000","1,000","0.37","507,696,355,500","42,193,359,622,000"
181710,NHN,"32,050","1,050","3.39","1,135,985,125","1,049,738,104,950"
030190,NICE평가정보,"16,360","-200","1.21","1,031,166,050","963,792,581,720"
037270,YG PLUS,"7,140","300","4.39","4,951,192,175","454,554,605,400"
251270,넷마블,"51,700","1,000","1.97","8,152,111,650","4,443,796,053,400"
023590,다우기술,"50,400","2,350","4.89","7,077,633,425","2,261,277,496,800"
192080,더블유게임즈,"52,400","1,400","2.75","2,837,071,000","1,109,489,723,200"
012510,더존비즈온,"94,500","3,000","3.28","14,413,276,700","2,871,173,088,000"
286940,롯데이노베이트,"23,850","2,000","9.15","6,099,180,425","360,835,402,950"
007120,미래아이앤지,"1,099","42","3.97","404,151,300","31,737,590,192"
018260,삼성에스디에스,"171,300","3,400","2.03","29,193,094,800","13,254,817,140,000"
462870,시프트업,"33,750","450","1.35","3,707,526,600","1,989,948,600,000"
035510,신세계 I&C,"17,930","190","1.07","2,090,188,700","250,677,537,000"
267850,아시아나IDT,"10,730","50","0.47","110,028,440","119,103,000,000"
031820,아이티센씨티에스,"607","18","3.06","188,000,088","73,478,239,862"
036570,엔씨소프트,"213,500","-6,500","2.95","54,596,230,750","4,599,648,697,000"
072130,유엔젤,"4,650","140","3.10","533,227,177","59,963,861,100"
035720,카카오,"59,200","800","1.37","117,541,133,350","26,195,717,024,000"
259960,크래프톤,"245,500","-3,500","1.41","35,634,131,500","11,637,640,510,500"
020120,키다리스튜디오,"3,200","80","2.56","250,685,625","118,604,051,200"
078000,텔코웨어,"15,630","230","1.49","168,054,410","144,422,403,510"
307950,현대오토에버,"442,000","12,000","2.79","72,962,749,000","12,121,400,044,000"
