종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
006840,AK홀딩스,"7,660","20","0.26","123,078,000","101,476,317,260"
027410,BGF,"4,015","95","2.42","441,738,727","384,302,915,865"
138930,BNK금융지주,"17,500","1,030","6.25","18,551,826,405","5,430,723,077,500"
001040,CJ,"212,000","1,000","0.47","47,498,109,500","6,185,523,576,000"
000590,CS홀딩스,"83,300","-900","1.07","138,782,450","96,168,350,600"
005830,DB손해보험,"141,100","200","0.14","39,122,993,350","9,790,082,400,000"
016610,DB증권,"13,600","740","5.75","2,508,122,890","577,270,890,400"
007700,F&F홀딩스,"20,250","300","1.50","640,307,010","792,065,931,750"
078930,GS,"68,100","3,700","5.75","19,849,620,150","6,327,537,241,800"
499790,GS피앤엘,"53,900","4,150","8.34","18,945,384,650","1,068,882,329,900"
012630,HDC,"21,000","1,670","8.64","6,399,797,685","1,254,576,141,000"
009540,HD한국조선해양,"417,500","16,000","3.99","63,801,087,658","29,547,775,930,000"
267250,HD현대,"233,500","10,500","4.71","43,809,399,250","18,444,885,347,500"
060980,HL홀딩스,"45,900","1,500","3.38","1,110,212,300","422,898,594,300"
487570,HS효성,"64,000","4,500","7.56","2,345,234,650","238,459,328,000"
175330,JB금융지주,"26,500","1,200","4.74","15,372,803,025","5,031,941,926,500"
096760,JW홀딩스,"3,960","80","2.06","1,500,283,202","292,742,770,320"
105560,KB금융,"138,800","5,100","3.81","127,240,145,050","52,946,939,896,400"
415640,KB발해인프라,"10,030","20","0.20","1,179,094,215","1,229,131,846,440"
009440,KC그린홀딩스,"-","0","0.00","0","17,568,790,596"
003550,LG,"91,500","3,600","4.10","24,300,667,900","14,111,275,027,500"
006260,LS,"215,500","18,800","9.56","61,691,212,000","6,831,350,000,000"
229640,LS에코에너지,"40,950","2,150","5.54","6,559,735,675","1,254,088,795,050"
383800,LX홀딩스,"8,620","150","1.77","1,746,123,985","657,539,547,800"
005940,NH투자증권,"27,050","1,900","7.55","31,170,755,425","9,639,115,181,450"
010060,OCI홀딩스,"118,000","7,300","6.59","19,035,659,100","2,203,087,376,000"
034730,SK,"324,000","24,500","8.18","80,356,755,000","23,490,875,772,000"
006120,SK디스커버리,"55,100","900","1.66","3,549,986,750","1,010,966,810,500"
402340,SK스퀘어,"546,000","41,000","8.12","740,106,474,784","72,119,564,790,000"
001510,SK증권,"954","84","9.66","123,246,995,346","450,851,023,134"
036530,SNT홀딩스,"55,500","3,700","7.14","1,313,789,700","904,865,673,000"
139130,iM금융지주,"16,000","630","4.10","18,260,847,130","2,569,993,328,000"
012320,경동인베스트,"63,700","3,900","6.52","2,491,194,050","150,651,965,100"
