종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
005830,DB손해보험,"141,100","200","0.14","39,122,993,350","9,790,082,400,000"
082640,동양생명,"7,200","300","4.35","1,755,573,075","1,161,781,812,000"
000400,롯데손해보험,"1,690","52","3.17","537,796,748","524,468,380,800"
085620,미래에셋생명,"9,390","220","2.40","812,031,260","1,662,182,014,710"
032830,삼성생명,"186,300","7,300","4.08","50,305,808,850","37,260,000,000,000"
000810,삼성화재,"491,500","10,000","2.08","47,309,989,250","22,614,482,682,500"
031210,서울보증보험,"50,500","800","1.61","3,276,593,250","3,525,990,699,000"
003690,코리안리,"11,770","300","2.62","9,078,708,480","2,293,043,534,870"
088350,한화생명,"3,635","245","7.23","27,196,185,033","3,157,106,550,000"
000370,한화손해보험,"6,300","450","7.69","5,696,330,385","735,455,164,500"
001450,현대해상,"28,400","850","3.09","14,779,936,200","2,538,960,000,000"
000540,흥국화재,"3,620","105","2.99","279,759,764","232,558,374,900"
