종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
365550,ESR켄달스퀘어리츠,"4,365","-5","0.11","1,152,188,650","1,074,178,485,000"
432320,KB스타리츠,"3,415","10","0.29","280,793,592","346,329,783,275"
400760,NH올원리츠,"3,305","25","0.76","506,067,400","181,541,253,875"
338100,NH프라임리츠,"4,385","20","0.46","238,754,877","81,824,100,000"
210980,SK디앤디,"12,660","60","0.48","237,311,710","235,696,056,120"
395400,SK리츠,"5,610","70","1.26","1,123,276,520","1,685,736,389,700"
377190,디앤디플랫폼리츠,"3,280","0","0.00","732,138,289","289,952,000,000"
330590,롯데리츠,"4,375","100","2.34","1,142,948,078","1,264,238,867,500"
357430,마스턴프리미어리츠,"1,579","4","0.25","49,072,456","48,167,879,753"
396690,미래에셋글로벌리츠,"2,570","30","1.18","207,778,661","101,787,265,800"
357250,미래에셋맵스리츠,"2,530","30","1.20","111,278,388","63,237,615,650"
448730,삼성FN리츠,"4,945","65","1.33","274,136,265","450,242,250,000"
204210,스타에스엠리츠,"-","0","0.00","0","15,927,568,525"
404990,신한서부티엔디리츠,"3,795","15","0.40","239,734,732","224,300,848,860"
293940,신한알파리츠,"5,670","-40","0.70","1,546,776,095","685,730,497,410"
140910,에이리츠,"-","0","0.00","0","13,969,290,160"
088260,이리츠코크렙,"4,685","-10","0.21","171,508,569","296,755,349,150"
015020,이스타코,"557","-7","1.24","85,399,446","23,868,341,200"
350520,이지스레지던스리츠,"3,795","5","0.13","211,301,665","139,907,236,590"
334890,이지스밸류플러스리츠,"4,140","10","0.24","412,360,787","287,517,547,620"
317400,자이에스앤디,"4,350","150","3.57","827,118,527","168,703,962,000"
348950,제이알글로벌리츠,"2,320","5","0.22","1,949,722,747","457,912,320,000"
145270,케이탑리츠,"916","8","0.88","30,788,452","44,023,668,984"
417310,코람코더원리츠,"8,820","80","0.92","1,161,260,885","356,328,000,000"
357120,코람코라이프인프라리츠,"4,515","5","0.11","515,180,315","439,469,123,310"
451800,한화리츠,"4,585","0","0.00","802,812,821","823,466,000,000"
