종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
079160,CJ CGV,"5,980","100","1.70","2,350,176,455","990,179,271,640"
114090,GKL,"12,910","180","1.41","3,570,702,375","798,556,699,700"
037560,LG헬로비전,"2,320","45","1.98","389,834,495","179,676,726,800"
034120,SBS,"18,410","90","0.49","431,237,265","341,528,291,580"
035250,강원랜드,"17,270","210","1.23","14,179,403,900","3,694,752,435,000"
011420,갤럭시아에스엠,"1,984","61","3.17","245,454,863","54,658,493,696"
100220,비상교육,"5,140","140","2.80","369,299,985","66,803,248,740"
068290,삼성출판사,"10,500","160","1.55","192,282,425","105,000,000,000"
053210,스카이라이프,"4,815","25","0.52","280,727,566","228,823,028,325"
012170,아센디오,"1,724","-80","4.43","285,372,324","18,746,332,932"
036420,콘텐트리중앙,"7,080","140","2.02","656,515,975","136,377,140,640"
034230,파라다이스,"18,550","1,130","6.49","26,412,963,525","1,714,123,119,450"
352820,하이브,"368,500","11,500","3.22","84,726,158,000","15,746,966,416,500"
