종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
095570,AJ네트웍스,"5,460","170","3.21","3,716,305,635","247,080,064,140"
443060,HD현대마린솔루션,"185,400","11,200","6.43","25,989,582,350","8,311,729,509,000"
035000,HS애드,"8,170","30","0.37","93,826,450","132,416,451,480"
015360,INVENI,"79,000","1,900","2.46","458,807,650","450,300,000,000"
034310,NICE,"13,650","60","0.44","535,343,490","501,735,193,050"
326030,SK바이오팜,"115,100","3,600","3.23","24,192,691,550","9,013,855,075,000"
005250,녹십자홀딩스,"15,100","250","1.68","1,190,204,805","710,125,971,000"
019680,대교,"1,721","1","0.06","77,711,132","145,773,604,850"
016710,대성홀딩스,"8,550","40","0.47","256,978,600","137,564,874,450"
002150,도화엔지니어링,"6,330","270","4.46","1,117,812,405","213,447,600,000"
032350,롯데관광개발,"24,400","-500","2.01","37,031,307,000","1,940,763,409,600"
089860,롯데렌탈,"31,100","700","2.30","2,443,472,700","1,129,221,966,800"
070960,모나용평,"3,180","50","1.60","372,483,728","153,063,998,940"
028050,삼성E&A,"31,650","850","2.76","39,395,132,850","6,203,400,000,000"
000180,성창기업지주,"1,396","28","2.05","312,841,539","97,373,233,600"
031440,신세계푸드,"47,500","150","0.32","229,391,050","183,942,800,000"
403550,쏘카,"11,840","130","1.11","78,262,740","388,848,119,680"
002030,아세아,"289,000","6,000","2.12","441,720,250","598,994,694,000"
012750,에스원,"84,100","3,700","4.60","5,660,508,700","3,195,730,869,800"
016880,웅진,"2,360","85","3.74","2,071,711,109","188,627,908,800"
095720,웅진씽크빅,"1,156","3","0.26","265,889,999","133,524,918,660"
000700,유수홀딩스,"5,790","20","0.35","254,385,635","150,782,091,480"
214320,이노션,"18,810","270","1.46","3,183,081,615","752,400,000,000"
030000,제일기획,"20,900","-200","0.95","12,717,449,675","2,404,361,602,500"
002620,제일파마홀딩스,"8,090","50","0.62","59,084,000","129,224,441,950"
021240,코웨이,"84,700","1,100","1.32","46,227,563,870","6,090,703,565,100"
284740,쿠쿠홈시스,"23,450","250","1.08","289,915,525","526,155,388,500"
022100,포스코DX,"38,750","1,250","3.33","24,450,671,950","5,891,345,748,750"
039130,하나투어,"46,000","900","2.00","2,460,419,175","712,536,872,000"
023350,한국종합기술,"4,620","125","2.78","136,826,390","50,589,000,000"
053690,한미글로벌,"19,820","1,620","8.90","6,920,132,135","217,178,641,000"
052690,한전기술,"132,100","6,700","5.34","32,443,799,000","5,048,862,000,000"
130660,한전산업,"13,360","410","3.17","3,693,349,740","435,536,000,000"
094280,효성ITX,"12,590","140","1.12","364,616,895","145,517,738,000"
