종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
001460,BYC,"44,450","2,750","6.59","341,613,950","277,641,367,500"
011150,CJ씨푸드,"2,805","40","1.45","660,731,733","100,785,818,265"
097950,CJ제일제당,"212,000","1,500","0.71","16,443,378,250","3,191,487,432,000"
000480,CR홀딩스,"4,700","25","0.53","108,090,451","220,385,303,000"
000990,DB하이텍,"112,900","9,900","9.61","60,696,292,800","4,911,667,985,200"
000300,DH오토넥스,"-","0","0.00","0","174,035,631,000"
015590,DKME,"-","0","0.00","0","122,045,495,160"
000210,DL,"43,000","2,750","6.83","6,048,726,350","901,103,012,000"
007340,DN오토모티브,"25,450","1,250","5.17","3,850,054,650","1,489,101,514,250"
004840,DRB동일,"5,740","0","0.00","1,006,020,210","114,398,200,000"
155660,DSR,"3,890","50","1.30","20,220,585","62,240,000,000"
069730,DSR제강,"3,845","85","2.26","150,806,595","55,368,000,000"
017860,DS단석,"19,020","430","2.31","1,559,195,655","334,451,712,240"
092780,DYP,"5,910","150","2.60","2,016,722,585","77,825,598,600"
383220,F&F,"70,900","100","0.14","6,292,145,750","2,715,971,617,500"
089470,HDC현대EP,"5,140","730","16.55","3,168,455,699","163,966,000,000"
267270,HD건설기계,"135,900","28,600","26.65","308,829,486,550","6,519,682,636,200"
071970,HD현대마린엔진,"87,100","3,100","3.69","25,192,282,750","2,954,562,214,500"
322000,HD현대에너지솔루션,"54,300","3,700","7.31","9,314,155,500","608,160,000,000"
267260,HD현대일렉트릭,"889,000","53,000","6.34","154,704,242,000","32,045,903,015,000"
329180,HD현대중공업,"582,000","33,000","6.01","117,493,869,000","61,087,432,950,000"
204320,HL만도,"62,900","1,500","2.44","64,890,927,100","2,953,602,848,000"
298050,HS효성첨단소재,"261,000","30,000","12.99","14,789,506,500","1,169,266,428,000"
234080,JW생명과학,"12,740","280","2.25","856,066,580","201,732,217,960"
001060,JW중외제약,"33,200","2,850","9.39","13,268,257,025","773,092,876,000"
