종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
016610,DB증권,"13,600","740","5.75","2,508,122,890","577,270,890,400"
005940,NH투자증권,"27,050","1,900","7.55","31,170,755,425","9,639,115,181,450"
001510,SK증권,"954","84","9.66","123,246,995,346","450,851,023,134"
030610,교보증권,"11,930","780","7.00","2,080,638,010","1,359,578,124,730"
030210,다올투자증권,"4,000","190","4.99","1,133,298,286","243,644,424,000"
003540,대신증권,"31,900","2,450","8.32","10,423,922,975","1,619,671,460,000"
006800,미래에셋증권,"49,950","9,900","24.72","911,638,977,175","28,325,932,413,300"
001270,부국증권,"77,900","6,200","8.65","7,332,980,000","807,814,119,400"
016360,삼성증권,"93,000","9,300","11.11","75,271,521,150","8,304,900,000,000"
001290,상상인증권,"755","52","7.40","2,179,706,084","81,794,525,600"
001720,신영증권,"192,000","19,400","11.24","13,226,993,800","3,156,480,000,000"
003470,유안타증권,"4,510","280","6.62","4,667,314,850","900,180,557,760"
001200,유진투자증권,"4,275","305","7.68","8,397,978,577","414,103,936,950"
003460,유화증권,"2,980","110","3.83","387,227,205","168,973,196,700"
039490,키움증권,"455,000","38,000","9.11","85,100,482,750","12,305,778,030,000"
001750,한양증권,"20,700","1,250","6.43","1,255,971,540","263,480,653,800"
003530,한화투자증권,"6,820","770","12.73","123,648,871,170","1,463,215,825,500"
001500,현대차증권,"9,500","600","6.74","2,540,627,590","587,413,918,000"
