종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
329180,HD현대중공업,"582,000","33,000","6.01","117,493,869,000","61,087,432,950,000"
105560,KB금융,"138,800","5,100","3.81","127,240,145,050","52,946,939,896,400"
373220,LG에너지솔루션,"391,000","11,000","2.89","105,214,004,500","91,494,000,000,000"
000660,SK하이닉스,"907,000","77,000","9.28","4,709,002,033,767","660,298,145,055,000"
000270,기아,"154,000","3,900","2.60","203,707,017,050","60,123,601,692,000"
034020,두산에너빌리티,"91,200","5,000","5.80","417,808,549,700","58,419,176,515,200"
207940,삼성바이오로직스,"1,749,000","38,000","2.22","87,157,472,500","80,962,873,299,000"
005930,삼성전자,"167,500","17,100","11.37","5,927,187,709,457","991,539,351,935,000"
012450,한화에어로스페이스,"1,299,000","60,000","4.84","263,753,031,500","66,980,857,899,000"
005380,현대차,"491,500","13,500","2.82","1,107,562,522,460","100,638,441,989,000"
