종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
000210,DL,"43,000","2,750","6.83","6,048,726,350","901,103,012,000"
375500,DL이앤씨,"45,800","2,250","5.17","19,275,701,125","1,772,167,933,400"
006360,GS건설,"19,200","900","4.92","22,941,132,220","1,643,164,608,000"
002380,KCC,"497,500","23,500","4.96","14,635,553,750","4,421,019,322,500"
047040,대우건설,"5,120","265","5.46","22,660,069,528","2,127,987,906,560"
028050,삼성E&A,"31,650","850","2.76","39,395,132,850","6,203,400,000,000"
028260,삼성물산,"315,000","24,000","8.25","108,699,570,500","53,542,611,360,000"
300720,한일시멘트,"17,480","560","3.31","2,821,171,575","1,285,570,253,320"
052690,한전기술,"132,100","6,700","5.34","32,443,799,000","5,048,862,000,000"
000720,현대건설,"108,600","9,800","9.92","159,215,964,400","12,093,236,079,000"
