종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
282330,BGF리테일,"122,000","1,700","1.41","9,793,131,500","2,108,636,532,000"
001040,CJ,"212,000","1,000","0.47","47,498,109,500","6,185,523,576,000"
097950,CJ제일제당,"212,000","1,500","0.71","16,443,378,250","3,191,487,432,000"
007070,GS리테일,"23,300","1,100","4.95","8,073,240,950","1,948,052,769,500"
030200,KT,"56,500","1,300","2.36","20,264,083,058","14,239,225,202,500"
033780,KT&G,"157,700","3,000","1.94","39,795,524,000","18,604,916,916,500"
051900,LG생활건강,"257,500","500","0.19","25,420,317,250","3,940,383,192,500"
032640,LG유플러스,"16,060","160","1.01","13,101,110,920","6,903,043,381,300"
302440,SK바이오사이언스,"49,900","1,300","2.67","6,625,794,000","3,913,891,579,900"
326030,SK바이오팜,"115,100","3,600","3.23","24,192,691,550","9,013,855,075,000"
017670,SK텔레콤,"73,600","4,500","6.51","116,201,608,850","15,808,547,900,800"
006280,녹십자,"163,300","6,600","4.21","7,085,573,350","1,908,411,655,400"
005250,녹십자홀딩스,"15,100","250","1.68","1,190,204,805","710,125,971,000"
004370,농심,"413,500","9,500","2.35","15,512,459,250","2,515,172,467,000"
001680,대상,"21,700","400","1.88","3,465,307,875","751,862,142,500"
003090,대웅,"25,000","1,800","7.76","4,432,301,050","1,453,549,500,000"
069620,대웅제약,"168,200","6,400","3.96","4,486,172,250","1,948,861,915,000"
026960,동서,"25,750","600","2.39","2,302,559,475","2,567,275,000,000"
006040,동원산업,"41,600","1,300","3.23","2,880,285,750","1,836,556,217,600"
280360,롯데웰푸드,"118,800","-300","0.25","2,519,114,450","1,105,383,391,200"
004990,롯데지주,"31,750","1,700","5.66","13,362,581,675","3,330,868,274,750"
005300,롯데칠성,"135,300","700","0.52","6,186,616,250","1,255,433,005,200"
207940,삼성바이오로직스,"1,749,000","38,000","2.22","87,157,472,500","80,962,873,299,000"
0126Z0,삼성에피스홀딩스,"598,000","14,000","2.40","48,668,278,500","14,880,063,302,000"
003230,삼양식품,"1,112,000","12,000","1.09","95,482,238,500","8,376,712,680,000"
068270,셀트리온,"207,500","4,500","2.22","91,535,784,250","47,924,401,067,500"
090430,아모레퍼시픽,"139,300","1,100","0.80","33,692,732,150","8,148,041,328,700"
002790,아모레퍼시픽홀딩스,"29,900","1,300","4.55","7,059,439,025","2,375,799,582,000"
137310,에스디바이오센서,"8,880","110","1.25","1,462,687,715","1,081,132,025,760"
278470,에이피알,"272,000","-2,000","0.73","215,805,938,250","10,181,138,160,000"
007310,오뚜기,"382,000","3,000","0.79","3,321,073,750","1,530,991,060,000"
271560,오리온,"118,000","200","0.17","14,461,932,500","4,665,263,576,000"
001800,오리온홀딩스,"21,300","600","2.90","2,379,493,325","1,334,347,488,600"
000100,유한양행,"108,100","3,500","3.35","31,267,709,300","8,644,588,039,700"
139480,이마트,"91,900","3,600","4.08","23,705,637,100","2,536,055,766,100"
185750,종근당,"85,200","1,400","1.67","3,175,388,850","1,175,996,856,000"
071320,지역난방공사,"101,300","2,300","2.32","2,749,010,600","1,172,926,767,200"
192820,코스맥스,"194,900","5,500","2.90","13,820,672,350","2,212,019,304,100"
000080,하이트진로,"17,420","50","0.29","4,455,453,450","1,221,727,503,620"
036460,한국가스공사,"40,450","1,050","2.66","15,155,210,725","3,734,060,850,000"
015760,한국전력,"59,500","2,200","3.84","153,317,541,700","38,196,862,581,500"
161890,한국콜마,"69,000","1,700","2.53","12,939,308,250","1,628,750,313,000"
008930,한미사이언스,"42,600","3,300","8.40","9,025,158,900","2,913,480,030,000"
128940,한미약품,"503,000","36,000","7.71","60,684,188,000","6,443,928,473,000"
009420,한올바이오파마,"53,800","4,450","9.02","33,598,782,450","2,810,546,324,400"
