종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
078930,GS,"68,100","3,700","5.75","19,849,620,150","6,327,537,241,800"
267250,HD현대,"233,500","10,500","4.71","43,809,399,250","18,444,885,347,500"
298050,HS효성첨단소재,"261,000","30,000","12.99","14,789,506,500","1,169,266,428,000"
051910,LG화학,"306,500","10,000","3.37","105,780,735,250","21,636,553,129,500"
010060,OCI홀딩스,"118,000","7,300","6.59","19,035,659,100","2,203,087,376,000"
010950,S-Oil,"97,700","-3,300","3.27","48,594,356,950","10,999,338,778,400"
034730,SK,"324,000","24,500","8.18","80,356,755,000","23,490,875,772,000"
011790,SKC,"117,000","5,600","5.03","30,349,778,000","4,430,590,866,000"
096770,SK이노베이션,"109,500","2,600","2.43","43,916,219,350","18,511,280,286,000"
285130,SK케미칼,"65,900","1,700","2.65","4,153,033,500","1,139,988,679,400"
069260,TKG휴켐스,"19,740","180","0.92","2,109,849,865","806,943,327,120"
011780,금호석유화학,"138,400","1,400","1.02","16,376,812,600","3,602,793,092,800"
006650,대한유화,"146,200","-1,600","1.08","13,560,352,150","950,300,000,000"
004000,롯데정밀화학,"48,800","2,150","4.61","3,714,089,125","1,259,040,000,000"
011170,롯데케미칼,"80,800","3,500","4.53","14,378,317,450","3,456,253,855,200"
002840,미원상사,"138,200","2,900","2.14","368,230,400","656,450,000,000"
268280,미원에스씨,"132,000","0","0.00","314,412,800","660,000,000,000"
457190,이수스페셜티케미컬,"107,500","3,900","3.76","93,236,704,700","3,247,390,100,000"
005420,코스모화학,"16,550","610","3.83","3,805,155,555","635,656,173,400"
120110,코오롱인더,"57,300","4,400","8.32","33,199,661,450","1,576,843,914,300"
003240,태광산업,"936,000","59,000","6.73","5,708,079,500","1,042,142,400,000"
017960,한국카본,"33,800","1,850","5.79","15,518,431,400","1,754,505,677,600"
014680,한솔케미칼,"297,500","24,000","8.78","24,744,893,500","3,372,220,512,500"
000880,한화,"117,500","9,100","8.39","104,870,833,600","8,807,651,362,500"
009830,한화솔루션,"28,050","1,550","5.85","28,725,309,525","4,821,585,634,800"
298020,효성티앤씨,"414,500","45,500","12.33","28,432,223,500","1,793,824,189,000"
093370,후성,"8,380","270","3.33","7,225,899,510","898,799,665,400"
