종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
003550,LG,"91,500","3,600","4.10","24,300,667,900","14,111,275,027,500"
034220,LG디스플레이,"11,370","330","2.99","23,802,858,905","5,685,000,000,000"
064400,LG씨엔에스,"69,600","2,400","3.57","79,941,708,300","6,743,261,980,800"
011070,LG이노텍,"244,500","6,500","2.73","48,724,648,750","5,786,607,661,500"
066570,LG전자,"100,300","3,700","3.83","103,644,636,024","16,337,504,616,100"
402340,SK스퀘어,"546,000","41,000","8.12","740,106,474,784","72,119,564,790,000"
000660,SK하이닉스,"907,000","77,000","9.28","4,709,002,033,767","660,298,145,055,000"
006400,삼성SDI,"374,500","18,500","5.20","344,944,552,750","30,179,280,985,000"
018260,삼성에스디에스,"171,300","3,400","2.03","29,193,094,800","13,254,817,140,000"
009150,삼성전기,"307,500","24,500","8.66","410,776,672,500","22,968,311,520,000"
005930,삼성전자,"167,500","17,100","11.37","5,927,187,709,457","991,539,351,935,000"
007660,이수페타시스,"118,400","7,800","7.05","137,850,151,350","8,691,651,529,600"
022100,포스코DX,"38,750","1,250","3.33","24,450,671,950","5,891,345,748,750"
042700,한미반도체,"199,300","12,200","6.52","359,129,379,400","18,995,721,460,000"
307950,현대오토에버,"442,000","12,000","2.79","72,962,749,000","12,121,400,044,000"
