종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
009540,HD한국조선해양,"417,500","16,000","3.99","63,801,087,658","29,547,775,930,000"
443060,HD현대마린솔루션,"185,400","11,200","6.43","25,989,582,350","8,311,729,509,000"
071970,HD현대마린엔진,"87,100","3,100","3.69","25,192,282,750","2,954,562,214,500"
267260,HD현대일렉트릭,"889,000","53,000","6.34","154,704,242,000","32,045,903,015,000"
329180,HD현대중공업,"582,000","33,000","6.01","117,493,869,000","61,087,432,950,000"
000150,두산,"899,000","67,000","8.05","125,975,326,500","14,558,257,665,000"
454910,두산로보틱스,"111,000","3,800","3.54","45,148,869,600","7,195,017,780,000"
241560,두산밥캣,"64,900","7,200","12.48","55,280,450,800","6,221,058,618,500"
034020,두산에너빌리티,"91,200","5,000","5.80","417,808,549,700","58,419,176,515,200"
062040,산일전기,"148,200","12,000","8.81","64,234,540,600","4,526,798,640,000"
010140,삼성중공업,"28,650","1,250","4.56","122,737,982,226","25,212,000,000,000"
112610,씨에스윈드,"41,850","2,650","6.76","15,855,571,575","1,764,873,215,550"
082740,한화엔진,"57,200","4,100","7.72","48,967,699,400","4,773,176,522,400"
042660,한화오션,"141,400","7,800","5.84","288,329,736,450","43,326,853,911,600"
064350,현대로템,"222,000","7,500","3.50","187,789,321,000","24,229,589,046,000"
017800,현대엘리베이터,"96,800","3,200","3.42","24,224,093,650","3,784,142,868,000"
298040,효성중공업,"2,367,000","86,000","3.77","235,252,965,830","22,071,205,116,000"
