종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
005490,POSCO홀딩스,"357,000","15,500","4.54","174,077,256,000","28,893,063,864,000"
010130,고려아연,"1,716,000","66,000","4.00","82,271,674,500","35,818,014,804,000"
014820,동원시스템즈,"27,950","1,050","3.90","1,357,597,600","810,306,331,900"
001430,세아베스틸지주,"81,500","10,600","14.95","56,740,180,450","2,922,762,698,500"
003030,세아제강지주,"132,600","2,100","1.61","2,544,972,800","549,183,718,200"
002030,아세아,"289,000","6,000","2.12","441,720,250","598,994,694,000"
000670,영풍,"59,200","1,000","1.72","2,746,956,800","1,070,214,640,000"
008730,율촌화학,"26,950","900","3.45","1,645,331,050","668,360,000,000"
103140,풍산,"123,600","6,500","5.55","31,687,423,000","3,463,800,760,800"
004020,현대제철,"30,550","1,000","3.38","23,335,381,000","4,076,768,731,750"
