종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
282330,BGF리테일,"122,000","1,700","1.41","9,793,131,500","2,108,636,532,000"
138930,BNK금융지주,"17,500","1,030","6.25","18,551,826,405","5,430,723,077,500"
001040,CJ,"212,000","1,000","0.47","47,498,109,500","6,185,523,576,000"
000120,CJ대한통운,"102,300","3,300","3.33","5,709,521,500","2,333,702,791,200"
097950,CJ제일제당,"212,000","1,500","0.71","16,443,378,250","3,191,487,432,000"
005830,DB손해보험,"141,100","200","0.14","39,122,993,350","9,790,082,400,000"
000210,DL,"43,000","2,750","6.83","6,048,726,350","901,103,012,000"
375500,DL이앤씨,"45,800","2,250","5.17","19,275,701,125","1,772,167,933,400"
007340,DN오토모티브,"25,450","1,250","5.17","3,850,054,650","1,489,101,514,250"
383220,F&F,"70,900","100","0.14","6,292,145,750","2,715,971,617,500"
114090,GKL,"12,910","180","1.41","3,570,702,375","798,556,699,700"
078930,GS,"68,100","3,700","5.75","19,849,620,150","6,327,537,241,800"
006360,GS건설,"19,200","900","4.92","22,941,132,220","1,643,164,608,000"
007070,GS리테일,"23,300","1,100","4.95","8,073,240,950","1,948,052,769,500"
009540,HD한국조선해양,"417,500","16,000","3.99","63,801,087,658","29,547,775,930,000"
267250,HD현대,"233,500","10,500","4.71","43,809,399,250","18,444,885,347,500"
443060,HD현대마린솔루션,"185,400","11,200","6.43","25,989,582,350","8,311,729,509,000"
071970,HD현대마린엔진,"87,100","3,100","3.69","25,192,282,750","2,954,562,214,500"
267260,HD현대일렉트릭,"889,000","53,000","6.34","154,704,242,000","32,045,903,015,000"
329180,HD현대중공업,"582,000","33,000","6.01","117,493,869,000","61,087,432,950,000"
204320,HL만도,"62,900","1,500","2.44","64,890,927,100","2,953,602,848,000"
011200,HMM,"20,100","570","2.92","33,575,374,920","18,959,083,197,000"
298050,HS효성첨단소재,"261,000","30,000","12.99","14,789,506,500","1,169,266,428,000"
175330,JB금융지주,"26,500","1,200","4.74","15,372,803,025","5,031,941,926,500"
105560,KB금융,"138,800","5,100","3.81","127,240,145,050","52,946,939,896,400"
002380,KCC,"497,500","23,500","4.96","14,635,553,750","4,421,019,322,500"
