종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
030200,KT,"56,500","1,300","2.36","20,264,083,058","14,239,225,202,500"
032640,LG유플러스,"16,060","160","1.01","13,101,110,920","6,903,043,381,300"
035420,NAVER,"269,000","1,000","0.37","507,696,355,500","42,193,359,622,000"
017670,SK텔레콤,"73,600","4,500","6.51","116,201,608,850","15,808,547,900,800"
251270,넷마블,"51,700","1,000","1.97","8,152,111,650","4,443,796,053,400"
036570,엔씨소프트,"213,500","-6,500","2.95","54,596,230,750","4,599,648,697,000"
030000,제일기획,"20,900","-200","0.95","12,717,449,675","2,404,361,602,500"
035720,카카오,"59,200","800","1.37","117,541,133,350","26,195,717,024,000"
259960,크래프톤,"245,500","-3,500","1.41","35,634,131,500","11,637,640,510,500"
352820,하이브,"368,500","11,500","3.22","84,726,158,000","15,746,966,416,500"
