종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
009540,HD한국조선해양,"417,500","16,000","3.99","63,801,087,658","29,547,775,930,000"
267260,HD현대일렉트릭,"889,000","53,000","6.34","154,704,242,000","32,045,903,015,000"
329180,HD현대중공업,"582,000","33,000","6.01","117,493,869,000","61,087,432,950,000"
011200,HMM,"20,100","570","2.92","33,575,374,920","18,959,083,197,000"
105560,KB금융,"138,800","5,100","3.81","127,240,145,050","52,946,939,896,400"
030200,KT,"56,500","1,300","2.36","20,264,083,058","14,239,225,202,500"
033780,KT&G,"157,700","3,000","1.94","39,795,524,000","18,604,916,916,500"
003550,LG,"91,500","3,600","4.10","24,300,667,900","14,111,275,027,500"
373220,LG에너지솔루션,"391,000","11,000","2.89","105,214,004,500","91,494,000,000,000"
066570,LG전자,"100,300","3,700","3.83","103,644,636,024","16,337,504,616,100"
051910,LG화학,"306,500","10,000","3.37","105,780,735,250","21,636,553,129,500"
035420,NAVER,"269,000","1,000","0.37","507,696,355,500","42,193,359,622,000"
005490,POSCO홀딩스,"357,000","15,500","4.54","174,077,256,000","28,893,063,864,000"
034730,SK,"324,000","24,500","8.18","80,356,755,000","23,490,875,772,000"
402340,SK스퀘어,"546,000","41,000","8.12","740,106,474,784","72,119,564,790,000"
096770,SK이노베이션,"109,500","2,600","2.43","43,916,219,350","18,511,280,286,000"
017670,SK텔레콤,"73,600","4,500","6.51","116,201,608,850","15,808,547,900,800"
000660,SK하이닉스,"907,000","77,000","9.28","4,709,002,033,767","660,298,145,055,000"
010130,고려아연,"1,716,000","66,000","4.00","82,271,674,500","35,818,014,804,000"
000270,기아,"154,000","3,900","2.60","203,707,017,050","60,123,601,692,000"
024110,기업은행,"22,300","500","2.29","29,072,093,950","17,782,596,878,700"
034020,두산에너빌리티,"91,200","5,000","5.80","417,808,549,700","58,419,176,515,200"
138040,메리츠금융지주,"119,600","2,200","1.87","31,901,558,100","20,956,524,050,800"
006400,삼성SDI,"374,500","18,500","5.20","344,944,552,750","30,179,280,985,000"
028260,삼성물산,"315,000","24,000","8.25","108,699,570,500","53,542,611,360,000"
207940,삼성바이오로직스,"1,749,000","38,000","2.22","87,157,472,500","80,962,873,299,000"
032830,삼성생명,"186,300","7,300","4.08","50,305,808,850","37,260,000,000,000"
018260,삼성에스디에스,"171,300","3,400","2.03","29,193,094,800","13,254,817,140,000"
0126Z0,삼성에피스홀딩스,"598,000","14,000","2.40","48,668,278,500","14,880,063,302,000"
009150,삼성전기,"307,500","24,500","8.66","410,776,672,500","22,968,311,520,000"
005930,삼성전자,"167,500","17,100","11.37","5,927,187,709,457","991,539,351,935,000"
010140,삼성중공업,"28,650","1,250","4.56","122,737,982,226","25,212,000,000,000"
000810,삼성화재,"491,500","10,000","2.08","47,309,989,250","22,614,482,682,500"
068270,셀트리온,"207,500","4,500","2.22","91,535,784,250","47,924,401,067,500"
055550,신한지주,"88,000","5,500","6.67","128,748,002,350","42,723,554,192,000"
316140,우리금융지주,"31,300","1,200","3.99","54,455,933,625","22,976,588,816,000"
035720,카카오,"59,200","800","1.37","117,541,133,350","26,195,717,024,000"
323410,카카오뱅크,"23,100","1,000","4.52","24,636,372,125","11,018,964,194,700"
259960,크래프톤,"245,500","-3,500","1.41","35,634,131,500","11,637,640,510,500"
003670,포스코퓨처엠,"226,500","9,000","4.14","105,881,076,000","20,146,318,830,000"
086790,하나금융지주,"110,200","6,900","6.68","114,448,910,164","30,671,504,702,800"
352820,하이브,"368,500","11,500","3.22","84,726,158,000","15,746,966,416,500"
015760,한국전력,"59,500","2,200","3.84","153,317,541,700","38,196,862,581,500"
042700,한미반도체,"199,300","12,200","6.52","359,129,379,400","18,995,721,460,000"
012450,한화에어로스페이스,"1,299,000","60,000","4.84","263,753,031,500","66,980,857,899,000"
042660,한화오션,"141,400","7,800","5.84","288,329,736,450","43,326,853,911,600"
086280,현대글로비스,"250,000","4,000","1.63","108,897,421,250","18,750,000,000,000"
064350,현대로템,"222,000","7,500","3.50","187,789,321,000","24,229,589,046,000"
012330,현대모비스,"444,500","8,500","1.95","158,586,185,500","40,330,633,143,500"
005380,현대차,"491,500","13,500","2.82","1,107,562,522,460","100,638,441,989,000"
