종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
095570,AJ네트웍스,"5,460","170","3.21","3,716,305,635","247,080,064,140"
006840,AK홀딩스,"7,660","20","0.26","123,078,000","101,476,317,260"
027410,BGF,"4,015","95","2.42","441,738,727","384,302,915,865"
282330,BGF리테일,"122,000","1,700","1.41","9,793,131,500","2,108,636,532,000"
138930,BNK금융지주,"17,500","1,030","6.25","18,551,826,405","5,430,723,077,500"
001460,BYC,"44,450","2,750","6.59","341,613,950","277,641,367,500"
001040,CJ,"212,000","1,000","0.47","47,498,109,500","6,185,523,576,000"
079160,CJ CGV,"5,980","100","1.70","2,350,176,455","990,179,271,640"
000120,CJ대한통운,"102,300","3,300","3.33","5,709,521,500","2,333,702,791,200"
011150,CJ씨푸드,"2,805","40","1.45","660,731,733","100,785,818,265"
097950,CJ제일제당,"212,000","1,500","0.71","16,443,378,250","3,191,487,432,000"
000480,CR홀딩스,"4,700","25","0.53","108,090,451","220,385,303,000"
000590,CS홀딩스,"83,300","-900","1.07","138,782,450","96,168,350,600"
012030,DB,"1,743","4","0.23","2,833,038,345","350,646,165,219"
005830,DB손해보험,"141,100","200","0.14","39,122,993,350","9,790,082,400,000"
016610,DB증권,"13,600","740","5.75","2,508,122,890","577,270,890,400"
000990,DB하이텍,"112,900","9,900","9.61","60,696,292,800","4,911,667,985,200"
000300,DH오토넥스,"-","0","0.00","0","174,035,631,000"
001530,DI동일,"20,300","910","4.69","2,125,325,205","400,504,384,000"
015590,DKME,"-","0","0.00","0","122,045,495,160"
000210,DL,"43,000","2,750","6.83","6,048,726,350","901,103,012,000"
375500,DL이앤씨,"45,800","2,250","5.17","19,275,701,125","1,772,167,933,400"
007340,DN오토모티브,"25,450","1,250","5.17","3,850,054,650","1,489,101,514,250"
004840,DRB동일,"5,740","0","0.00","1,006,020,210","114,398,200,000"
155660,DSR,"3,890","50","1.30","20,220,585","62,240,000,000"
069730,DSR제강,"3,845","85","2.26","150,806,595","55,368,000,000"
017860,DS단석,"19,020","430","2.31","1,559,195,655","334,451,712,240"
092780,DYP,"5,910","150","2.60","2,016,722,585","77,825,598,600"
017940,E1,"91,800","5,300","6.13","3,340,739,150","629,748,000,000"
365550,ESR켄달스퀘어리츠,"4,365","-5","0.11","1,152,188,650","1,074,178,485,000"
383220,F&F,"70,900","100","0.14","6,292,145,750","2,715,971,617,500"
007700,F&F홀딩스,"20,250","300","1.50","640,307,010","792,065,931,750"
114090,GKL,"12,910","180","1.41","3,570,702,375","798,556,699,700"
078930,GS,"68,100","3,700","5.75","19,849,620,150","6,327,537,241,800"
006360,GS건설,"19,200","900","4.92","22,941,132,220","1,643,164,608,000"
001250,GS글로벌,"2,290","40","1.78","620,624,520","189,002,319,560"
007070,GS리테일,"23,300","1,100","4.95","8,073,240,950","1,948,052,769,500"
499790,GS피앤엘,"53,900","4,150","8.34","18,945,384,650","1,068,882,329,900"
012630,HDC,"21,000","1,670","8.64","6,399,797,685","1,254,576,141,000"
039570,HDC랩스,"8,170","80","0.99","120,746,925","212,073,600,170"
089470,HDC현대EP,"5,140","730","16.55","3,168,455,699","163,966,000,000"
294870,HDC현대산업개발,"21,300","1,200","5.97","8,964,694,300","1,403,826,129,000"
267270,HD건설기계,"135,900","28,600","26.65","308,829,486,550","6,519,682,636,200"
009540,HD한국조선해양,"417,500","16,000","3.99","63,801,087,658","29,547,775,930,000"
267250,HD현대,"233,500","10,500","4.71","43,809,399,250","18,444,885,347,500"
443060,HD현대마린솔루션,"185,400","11,200","6.43","25,989,582,350","8,311,729,509,000"
071970,HD현대마린엔진,"87,100","3,100","3.69","25,192,282,750","2,954,562,214,500"
322000,HD현대에너지솔루션,"54,300","3,700","7.31","9,314,155,500","608,160,000,000"
267260,HD현대일렉트릭,"889,000","53,000","6.34","154,704,242,000","32,045,903,015,000"
329180,HD현대중공업,"582,000","33,000","6.01","117,493,869,000","61,087,432,950,000"
097230,HJ중공업,"25,000","900","3.73","14,610,961,250","2,257,383,600,000"
014790,HL D&I,"2,940","120","4.26","489,727,580","111,304,286,940"
003580,HLB글로벌,"2,205","45","2.08","428,345,116","111,713,028,525"
204320,HL만도,"62,900","1,500","2.44","64,890,927,100","2,953,602,848,000"
060980,HL홀딩스,"45,900","1,500","3.38","1,110,212,300","422,898,594,300"
011200,HMM,"20,100","570","2.92","33,575,374,920","18,959,083,197,000"
035000,HS애드,"8,170","30","0.37","93,826,450","132,416,451,480"
002460,HS화성,"12,080","160","1.34","156,646,815","122,612,000,000"
487570,HS효성,"64,000","4,500","7.56","2,345,234,650","238,459,328,000"
298050,HS효성첨단소재,"261,000","30,000","12.99","14,789,506,500","1,169,266,428,000"
015360,INVENI,"79,000","1,900","2.46","458,807,650","450,300,000,000"
175330,JB금융지주,"26,500","1,200","4.74","15,372,803,025","5,031,941,926,500"
234080,JW생명과학,"12,740","280","2.25","856,066,580","201,732,217,960"
001060,JW중외제약,"33,200","2,850","9.39","13,268,257,025","773,092,876,000"
096760,JW홀딩스,"3,960","80","2.06","1,500,283,202","292,742,770,320"
008970,KBI동양철관,"1,837","57","3.20","2,178,822,391","190,619,808,159"
105560,KB금융,"138,800","5,100","3.81","127,240,145,050","52,946,939,896,400"
415640,KB발해인프라,"10,030","20","0.20","1,179,094,215","1,229,131,846,440"
432320,KB스타리츠,"3,415","10","0.29","280,793,592","346,329,783,275"
002380,KCC,"497,500","23,500","4.96","14,635,553,750","4,421,019,322,500"
344820,KCC글라스,"26,900","150","0.56","1,425,451,050","429,606,772,800"
009070,KCTC,"6,880","510","8.01","32,488,360,485","206,400,000,000"
009440,KC그린홀딩스,"-","0","0.00","0","17,568,790,596"
119650,KC코트렐,"-","0","0.00","0","100,782,913,662"
092220,KEC,"779","17","2.23","930,298,802","156,394,486,839"
003620,KG모빌리티,"3,750","85","2.32","9,943,199,191","758,905,920,000"
016380,KG스틸,"5,490","100","1.86","1,378,176,780","549,048,844,530"
001390,KG케미칼,"5,870","210","3.71","1,602,974,380","394,657,886,100"
001940,KISCO홀딩스,"23,300","500","2.19","390,144,625","330,309,654,000"
025000,KPX케미칼,"48,400","700","1.47","284,480,800","211,929,515,600"
092230,KPX홀딩스,"76,000","1,500","2.01","166,483,800","321,073,096,000"
000040,KR모터스,"428","12","2.88","53,283,984","36,968,578,752"
044450,KSS해운,"9,670","220","2.33","1,449,537,675","223,240,459,600"
030200,KT,"56,500","1,300","2.36","20,264,083,058","14,239,225,202,500"
033780,KT&G,"157,700","3,000","1.94","39,795,524,000","18,604,916,916,500"
058850,KTcs,"2,765","65","2.41","807,295,484","118,024,025,000"
058860,KTis,"2,785","5","0.18","244,720,775","96,923,570,000"
093050,LF,"19,400","400","2.11","1,015,229,240","567,256,000,000"
003550,LG,"91,500","3,600","4.10","24,300,667,900","14,111,275,027,500"
034220,LG디스플레이,"11,370","330","2.99","23,802,858,905","5,685,000,000,000"
051900,LG생활건강,"257,500","500","0.19","25,420,317,250","3,940,383,192,500"
064400,LG씨엔에스,"69,600","2,400","3.57","79,941,708,300","6,743,261,980,800"
373220,LG에너지솔루션,"391,000","11,000","2.89","105,214,004,500","91,494,000,000,000"
032640,LG유플러스,"16,060","160","1.01","13,101,110,920","6,903,043,381,300"
011070,LG이노텍,"244,500","6,500","2.73","48,724,648,750","5,786,607,661,500"
066570,LG전자,"100,300","3,700","3.83","103,644,636,024","16,337,504,616,100"
037560,LG헬로비전,"2,320","45","1.98","389,834,495","179,676,726,800"
051910,LG화학,"306,500","10,000","3.37","105,780,735,250","21,636,553,129,500"
079550,LIG넥스원,"463,500","9,500","2.09","76,716,859,250","10,197,000,000,000"
006260,LS,"215,500","18,800","9.56","61,691,212,000","6,831,350,000,000"
010120,LS ELECTRIC,"612,000","86,000","16.35","263,846,604,000","18,360,000,000,000"
000680,LS네트웍스,"3,530","160","4.75","1,182,956,452","278,174,646,480"
229640,LS에코에너지,"40,950","2,150","5.54","6,559,735,675","1,254,088,795,050"
108320,LX세미콘,"54,400","1,300","2.45","4,486,679,150","884,777,920,000"
001120,LX인터내셔널,"39,400","1,600","4.23","5,767,840,500","1,527,144,000,000"
108670,LX하우시스,"28,850","300","1.05","1,202,584,875","258,717,279,500"
383800,LX홀딩스,"8,620","150","1.77","1,746,123,985","657,539,547,800"
023150,MH에탄올,"4,315","-5","0.12","53,811,985","31,838,339,690"
035420,NAVER,"269,000","1,000","0.37","507,696,355,500","42,193,359,622,000"
181710,NHN,"32,050","1,050","3.39","1,135,985,125","1,049,738,104,950"
400760,NH올원리츠,"3,305","25","0.76","506,067,400","181,541,253,875"
005940,NH투자증권,"27,050","1,900","7.55","31,170,755,425","9,639,115,181,450"
338100,NH프라임리츠,"4,385","20","0.46","238,754,877","81,824,100,000"
034310,NICE,"13,650","60","0.44","535,343,490","501,735,193,050"
030190,NICE평가정보,"16,360","-200","1.21","1,031,166,050","963,792,581,720"
008260,NI스틸,"3,430","15","0.44","389,600,554","98,098,401,310"
004250,NPC,"3,760","35","0.94","137,283,185","138,067,200,000"
456040,OCI,"73,000","4,500","6.57","4,897,932,000","653,532,135,000"
010060,OCI홀딩스,"118,000","7,300","6.59","19,035,659,100","2,203,087,376,000"
178920,PI첨단소재,"17,150","1,290","8.13","17,434,845,610","503,632,422,300"
001340,PKC,"6,110","230","3.91","1,299,166,750","274,451,466,770"
005490,POSCO홀딩스,"357,000","15,500","4.54","174,077,256,000","28,893,063,864,000"
010950,S-Oil,"97,700","-3,300","3.27","48,594,356,950","10,999,338,778,400"
034120,SBS,"18,410","90","0.49","431,237,265","341,528,291,580"
003080,SB성보,"2,735","-30","1.08","213,097,515","54,754,700,000"
005090,SGC에너지,"22,100","800","3.76","1,643,385,650","318,446,259,300"
001380,SG글로벌,"1,554","39","2.57","322,597,047","69,874,278,222"
004060,SG세계물산,"320","10","3.23","409,781,325","64,775,987,200"
