종목코드,종목명,현재가,대비,등락률,거래대금(원),상장시가총액(원)
138930,BNK금융지주,"17,500","1,030","6.25","18,551,826,405","5,430,723,077,500"
001040,CJ,"212,000","1,000","0.47","47,498,109,500","6,185,523,576,000"
005830,DB손해보험,"141,100","200","0.14","39,122,993,350","9,790,082,400,000"
078930,GS,"68,100","3,700","5.75","19,849,620,150","6,327,537,241,800"
009540,HD한국조선해양,"417,500","16,000","3.99","63,801,087,658","29,547,775,930,000"
267250,HD현대,"233,500","10,500","4.71","43,809,399,250","18,444,885,347,500"
443060,HD현대마린솔루션,"185,400","11,200","6.43","25,989,582,350","8,311,729,509,000"
267260,HD현대일렉트릭,"889,000","53,000","6.34","154,704,242,000","32,045,903,015,000"
329180,HD현대중공업,"582,000","33,000","6.01","117,493,869,000","61,087,432,950,000"
011200,HMM,"20,100","570","2.92","33,575,374,920","18,959,083,197,000"
175330,JB금융지주,"26,500","1,200","4.74","15,372,803,025","5,031,941,926,500"
105560,KB금융,"138,800","5,100","3.81","127,240,145,050","52,946,939,896,400"
030200,KT,"56,500","1,300","2.36","20,264,083,058","14,239,225,202,500"
033780,KT&G,"157,700","3,000","1.94","39,795,524,000","18,604,916,916,500"
003550,LG,"91,500","3,600","4.10","24,300,667,900","14,111,275,027,500"
034220,LG디스플레이,"11,370","330","2.99","23,802,858,905","5,685,000,000,000"
051900,LG생활건강,"257,500","500","0.19","25,420,317,250","3,940,383,192,500"
064400,LG씨엔에스,"69,600","2,400","3.57","79,941,708,300","6,743,261,980,800"
373220,LG에너지솔루션,"391,000","11,000","2.89","105,214,004,500","91,494,000,000,000"
032640,LG유플러스,"16,060","160","1.01","13,101,110,920","6,903,043,381,300"
066570,LG전자,"100,300","3,700","3.83","103,644,636,024","16,337,504,616,100"
051910,LG화학,"306,500","10,000","3.37","105,780,735,250","21,636,553,129,500"
079550,LIG넥스원,"463,500","9,500","2.09","76,716,859,250","10,197,000,000,000"
006260,LS,"215,500","18,800","9.56","61,691,212,000","6,831,350,000,000"
010120,LS ELECTRIC,"612,000","86,000","16.35","263,846,604,000","18,360,000,000,000"
035420,NAVER,"269,000","1,000","0.37","507,696,355,500","42,193,359,622,000"
005940,NH투자증권,"27,050","1,900","7.55","31,170,755,425","9,639,115,181,450"
005490,POSCO홀딩스,"357,000","15,500","4.54","174,077,256,000","28,893,063,864,000"
010950,S-Oil,"97,700","-3,300","3.27","48,594,356,950","10,999,338,778,400"
034730,SK,"324,000","24,500","8.18","80,356,755,000","23,490,875,772,000"
326030,SK바이오팜,"115,100","3,600","3.23","24,192,691,550","9,013,855,075,000"
402340,SK스퀘어,"546,000","41,000","8.12","740,106,474,784","72,119,564,790,000"
096770,SK이노베이션,"109,500","2,600","2.43","43,916,219,350","18,511,280,286,000"
017670,SK텔레콤,"73,600","4,500","6.51","116,201,608,850","15,808,547,900,800"
000660,SK하이닉스,"907,000","77,000","9.28","4,709,002,033,767","660,298,145,055,000"
035250,강원랜드,"17,270","210","1.23","14,179,403,900","3,694,752,435,000"
010130,고려아연,"1,716,000","66,000","4.00","82,271,674,500","35,818,014,804,000"
000270,기아,"154,000","3,900","2.60","203,707,017,050","60,123,601,692,000"
024110,기업은행,"22,300","500","2.29","29,072,093,950","17,782,596,878,700"
251270,넷마블,"51,700","1,000","1.97","8,152,111,650","4,443,796,053,400"
003490,대한항공,"23,050","550","2.44","32,719,198,875","8,487,486,236,050"
000150,두산,"899,000","67,000","8.05","125,975,326,500","14,558,257,665,000"
454910,두산로보틱스,"111,000","3,800","3.54","45,148,869,600","7,195,017,780,000"
241560,두산밥캣,"64,900","7,200","12.48","55,280,450,800","6,221,058,618,500"
034020,두산에너빌리티,"91,200","5,000","5.80","417,808,549,700","58,419,176,515,200"
088980,맥쿼리인프라,"11,190","50","0.45","14,392,815,100","5,359,137,101,670"
138040,메리츠금융지주,"119,600","2,200","1.87","31,901,558,100","20,956,524,050,800"
006800,미래에셋증권,"49,950","9,900","24.72","911,638,977,175","28,325,932,413,300"
028050,삼성E&A,"31,650","850","2.76","39,395,132,850","6,203,400,000,000"
006400,삼성SDI,"374,500","18,500","5.20","344,944,552,750","30,179,280,985,000"
028260,삼성물산,"315,000","24,000","8.25","108,699,570,500","53,542,611,360,000"
207940,삼성바이오로직스,"1,749,000","38,000","2.22","87,157,472,500","80,962,873,299,000"
032830,삼성생명,"186,300","7,300","4.08","50,305,808,850","37,260,000,000,000"
018260,삼성에스디에스,"171,300","3,400","2.03","29,193,094,800","13,254,817,140,000"
009150,삼성전기,"307,500","24,500","8.66","410,776,672,500","22,968,311,520,000"
005930,삼성전자,"167,500","17,100","11.37","5,927,187,709,457","991,539,351,935,000"
010140,삼성중공업,"28,650","1,250","4.56","122,737,982,226","25,212,000,000,000"
016360,삼성증권,"93,000","9,300","11.11","75,271,521,150","8,304,900,000,000"
029780,삼성카드,"56,500","1,600","2.91","3,748,410,850","6,546,027,341,500"
000810,삼성화재,"491,500","10,000","2.08","47,309,989,250","22,614,482,682,500"
003230,삼양식품,"1,112,000","12,000","1.09","95,482,238,500","8,376,712,680,000"
068270,셀트리온,"207,500","4,500","2.22","91,535,784,250","47,924,401,067,500"
055550,신한지주,"88,000","5,500","6.67","128,748,002,350","42,723,554,192,000"
090430,아모레퍼시픽,"139,300","1,100","0.80","33,692,732,150","8,148,041,328,700"
278470,에이피알,"272,000","-2,000","0.73","215,805,938,250","10,181,138,160,000"
036570,엔씨소프트,"213,500","-6,500","2.95","54,596,230,750","4,599,648,697,000"
271560,오리온,"118,000","200","0.17","14,461,932,500","4,665,263,576,000"
316140,우리금융지주,"31,300","1,200","3.99","54,455,933,625","22,976,588,816,000"
000100,유한양행,"108,100","3,500","3.35","31,267,709,300","8,644,588,039,700"
007660,이수페타시스,"118,400","7,800","7.05","137,850,151,350","8,691,651,529,600"
035720,카카오,"59,200","800","1.37","117,541,133,350","26,195,717,024,000"
323410,카카오뱅크,"23,100","1,000","4.52","24,636,372,125","11,018,964,194,700"
377300,카카오페이,"66,800","3,300","5.20","116,331,146,650","9,027,696,020,000"
021240,코웨이,"84,700","1,100","1.32","46,227,563,870","6,090,703,565,100"
259960,크래프톤,"245,500","-3,500","1.41","35,634,131,500","11,637,640,510,500"
039490,키움증권,"455,000","38,000","9.11","85,100,482,750","12,305,778,030,000"
047050,포스코인터내셔널,"65,200","4,100","6.71","66,997,857,150","11,470,165,777,600"
003670,포스코퓨처엠,"226,500","9,000","4.14","105,881,076,000","20,146,318,830,000"
086790,하나금융지주,"110,200","6,900","6.68","114,448,910,164","30,671,504,702,800"
352820,하이브,"368,500","11,500","3.22","84,726,158,000","15,746,966,416,500"
071050,한국금융지주,"218,500","18,700","9.36","63,697,276,000","12,176,129,252,000"
015760,한국전력,"59,500","2,200","3.84","153,317,541,700","38,196,862,581,500"
161390,한국타이어앤테크놀로지,"63,400","1,300","2.09","20,900,348,000","7,853,679,374,600"
047810,한국항공우주,"163,700","3,700","2.31","194,648,495,500","15,956,675,015,900"
042700,한미반도체,"199,300","12,200","6.52","359,129,379,400","18,995,721,460,000"
180640,한진칼,"115,100","4,500","4.07","10,999,353,650","7,684,338,312,900"
000880,한화,"117,500","9,100","8.39","104,870,833,600","8,807,651,362,500"
009830,한화솔루션,"28,050","1,550","5.85","28,725,309,525","4,821,585,634,800"
272210,한화시스템,"119,500","26,600","28.63","1,569,106,813,400","22,575,866,985,500"
012450,한화에어로스페이스,"1,299,000","60,000","4.84","263,753,031,500","66,980,857,899,000"
042660,한화오션,"141,400","7,800","5.84","288,329,736,450","43,326,853,911,600"
000720,현대건설,"108,600","9,800","9.92","159,215,964,400","12,093,236,079,000"
086280,현대글로비스,"250,000","4,000","1.63","108,897,421,250","18,750,000,000,000"
064350,현대로템,"222,000","7,500","3.50","187,789,321,000","24,229,589,046,000"
012330,현대모비스,"444,500","8,500","1.95","158,586,185,500","40,330,633,143,500"
307950,현대오토에버,"442,000","12,000","2.79","72,962,749,000","12,121,400,044,000"
004020,현대제철,"30,550","1,000","3.38","23,335,381,000","4,076,768,731,750"
005380,현대차,"491,500","13,500","2.82","1,107,562,522,460","100,638,441,989,000"
298040,효성중공업,"2,367,000","86,000","3.77","235,252,965,830","22,071,205,116,000"
