rank,stock_code,name,closing_price,market_cap,pe,pb,roe,gpa,debt_ratio,score
1,052400,코나아이,63100,918943662100,16.818954374890865,3.861371011590638,0.22958448697353656,0.19594115150702393,1.2301322323704047,0.6133619576201232
2,009540,한국조선해양,422500,29901641510000,15.449884771422786,1.87444312497844,0.12132408446472974,0.10048929726130823,1.4089041024168796,0.6047281647344697
3,192820,코스맥스,195000,2213154255000,51.31160059434189,4.368222886561884,0.0851312926504882,0.15322959901122374,3.0590431612067492,0.6035055176641172
4,183300,코미코,126000,1318046184000,23.247333144098487,3.8416895710551557,0.16525291512976825,0.20640735727469212,1.6997571417035415,0.6017413588578961
5,226950,올릭스,150500,3038577391500,234.53640941373115,21.314554935278096,-0.21839720301228605,0.08479388826244716,0.30879570932150596,0.5997471209883073
6,259960,크래프톤,263000,12467207553000,16.481330053973647,1.7125980626932795,0.10391139896384591,0.10904997296037545,0.15956200894158473,0.593553637358693
7,483650,달바글로벌,160000,1982826400000,33.855874936278084,9.733145617315198,0.28748764093778295,1.0635316778634414,0.2655213359341599,0.5910488810373026
8,000150,두산,907000,14687808345000,41.26797376044146,1.1988846786530034,0.02905121258466601,0.07441430609754926,1.6413012345620566,0.5909546299891668
9,079550,LIG넥스원,527000,11594000000000,48.79187386738333,7.953673126129557,0.16301224969853992,0.06762356342703085,4.048992714443743,0.587810510999951
10,042660,대우조선해양,143400,43939680699600,69.3504250692013,8.023962695066647,0.11570170892334025,0.07574732762110162,2.38453835768943,0.5851108963492727
11,171090,선익시스템,58000,554567232000,8.875539767467954,5.062254012719433,0.5703601296762157,0.20761579229915877,2.302280096840719,0.5807420892885004
12,012450,한화에어로스페이스,1288000,66413660488000,54.977076520494315,4.276501178928013,0.07778698776996304,0.07584771433876712,2.217846200051833,0.579311154241167
13,298040,효성중공업,2518000,23479211864000,68.50356423715972,10.080507231919523,0.1471530327534601,0.12378084984026021,1.9856546759624412,0.5788510553288922
14,329180,HD현대중공업,586000,61507277850000,66.42741606386555,9.513889471255645,0.14322233250964742,0.10050984671605598,2.2163370056907636,0.5784258118500598
15,064350,현대로템,223000,24338731339000,44.65279253306803,8.544949153859642,0.191364272403156,0.15787864736363658,1.278428045361985,0.577846474356593
16,006280,녹십자,170100,1987880113800,27.19125570634763,1.3346147624644658,0.04908249831775545,0.12966866315593245,1.1427148352836307,0.575352009122909
17,083650,비에이치아이,72700,2249656062500,44.78344327781629,13.71616121250032,0.30627750366159745,0.10332704656266438,3.7937150435251565,0.5731777614801737
