rank,stock_code,name,closing_price,market_cap,score,mom_20d,drawdown_from_high,volume_surprise,past_glory_1y,fallen_angel_score,vcp_score
1,035250,강원랜드,17430,3728982915000,0.5605673161788807,-0.07680084745762716,-0.15797101449275364,1.5391050555626582,0.4100817438692097,0.0,0.0
2,096530,씨젠,27500,1436214835000,0.5354345720218137,0.12016293279022405,-0.24965893587994548,3.188416983413838,0.7086247086247086,0.0,0.0
3,028670,팬오션,4690,2507131011280,0.5195488415309751,0.19338422391857502,-0.013669821240799185,1.8443462123596053,0.5823627287853577,0.0,0.0
4,082740,HSD엔진,57600,4806555379200,0.5184476428160315,0.28859060402684555,-0.025380710659898442,1.1144044372535813,1.955,0.0,0.0
5,195940,HK이노엔,54500,1543979059500,0.5088729866175673,0.08349900596421467,-0.01446654611211573,1.1892285616101939,0.7472353870458135,0.0,0.0
6,000270,기아차,149700,58444825800600,0.49930589425241084,0.23719008264462804,-0.15423728813559323,0.8089195485678015,1.177121771217712,0.0,0.0
7,112610,씨에스윈드,40050,1688964690150,0.49838964328159413,-0.08036739380022961,-0.24433962264150944,1.2958464373417504,0.7637271214642263,0.0,0.0
8,009520,포스코엠텍,20450,851593276350,0.4906547815369861,0.2584615384615385,-0.046620046620046596,2.675136999616491,1.058541266794626,0.0,0.0
9,108320,LX세미콘,54700,889657210000,0.4794959993814732,0.0874751491053678,-0.19558823529411762,2.6584002675092298,0.4734561213434454,0.0,0.0
10,023590,다우기술,51400,2306144113800,0.46703171351397305,0.30456852791878175,-0.04283054003724396,4.057024847696164,2.0703259005145798,0.0,0.0
11,293490,카카오게임즈,17200,1544334869200,0.46673041468594945,0.12565445026178002,-0.27118644067796616,3.7742006489218505,0.8294573643410852,0.0,0.0
12,214430,아이쓰리시스템,117300,857136319500,0.46548324969901883,0.48293299620733254,-0.058587479935794495,1.4934530592543176,1.918032786885246,0.0,0.0
13,053030,바이넥스,16170,528503319960,0.4629058359431414,0.0547945205479452,-0.3045161290322581,3.1503453238672763,0.81640625,0.0,0.0
14,068760,셀트리온제약,74000,3232462080000,0.46022037628226165,0.2032520325203253,-0.010695187165775444,2.9202905495962757,0.6808988764044943,0.0,0.0
15,294870,HDC현대산업개발,21350,1407121495500,0.4600454284038885,0.009456264775413725,-0.23339317773788149,2.257561919509186,0.7548834278512917,0.0,0.0
16,017960,한국카본,34850,1809009552200,0.4579694949523431,0.09591194968553451,-0.148962148962149,0.45128309520040244,2.3759274525968674,0.0,0.0
17,014620,성광벤드,31950,848507779800,0.45487763258850006,0.1789667896678966,-0.17654639175257736,1.6046420690736511,0.7206208425720622,0.0,0.0
18,376300,디어유,38500,913928631000,0.4506320063239593,-0.038701622971285876,-0.39082278481012656,1.659868699352206,1.0619902120717781,0.4150499721229892,0.0
